date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,367.3432,353600,369.5999,370.4833,365.9123,0.0001,-0.0082,0.0191,0.0010,0.0117,63.7801,0.0055,0.0039,0.0005,0.6829,-0.2891,0.7816,sell
2021-09-13,364.1165,345300,369.9647,371.6260,359.6703,-0.0088,-0.0161,0.0035,-0.0082,0.0020,50.1314,0.0062,0.0032,-0.0002,0.4514,-0.0235,0.7687,buy
2021-09-14,365.0576,352100,365.6914,367.0838,363.5019,0.0026,-0.0042,-0.0025,-0.0054,0.0039,59.0216,0.0055,0.0027,-0.0005,0.5336,0.0197,0.7869,hold
2021-09-15,364.7311,418700,366.5173,368.0345,361.7926,-0.0009,-0.0056,-0.0025,-0.0060,0.0025,57.9860,0.0055,0.0023,-0.0008,0.5143,0.1892,0.9425,hold
2021-09-16,365.2305,461400,365.5378,367.5064,364.9808,0.0014,-0.0057,-0.0047,-0.0042,0.0036,61.9002,0.0054,0.0020,-0.0009,0.5294,0.1020,1.0568,sell
2021-09-17,355.3105,1260600,362.6088,363.6651,354.1390,-0.0272,-0.0328,-0.0407,-0.0272,-0.0235,36.3191,0.0091,-0.0004,-0.0027,-0.1676,1.7321,2.6523,sell
2021-09-20,354.2830,704900,351.4693,355.8291,350.8835,-0.0029,-0.0270,-0.0427,-0.0258,-0.0260,27.0741,0.0090,-0.0026,-0.0039,-0.1029,-0.4408,1.4662,hold
2021-09-21,354.7728,363200,356.1076,357.1735,354.2926,0.0014,-0.0282,-0.0323,-0.0213,-0.0244,28.7911,0.0090,-0.0042,-0.0043,0.0147,-0.4847,0.7765,hold
2021-09-22,355.6755,335700,357.5768,357.5768,352.5641,0.0025,-0.0248,-0.0303,-0.0158,-0.0217,27.7086,0.0091,-0.0051,-0.0042,0.1056,-0.0757,0.7270,buy
2021-09-23,361.9558,485300,356.4629,362.4840,356.4629,0.0177,-0.0090,-0.0146,0.0031,-0.0045,35.0190,0.0112,-0.0043,-0.0028,0.4187,0.4456,1.0307,hold
2021-09-24,361.3316,337300,360.8899,363.5787,358.4892,-0.0017,0.0169,-0.0164,0.0030,-0.0063,34.6052,0.0112,-0.0039,-0.0019,0.3846,-0.3050,0.7170,sell
2021-09-27,353.5820,488400,359.6991,359.6991,351.2005,-0.0214,-0.0020,-0.0289,-0.0156,-0.0272,30.0854,0.0127,-0.0053,-0.0026,0.0602,0.4480,1.0218,sell
2021-09-28,341.3766,702100,350.0385,351.5461,339.0142,-0.0345,-0.0378,-0.0649,-0.0433,-0.0600,21.6264,0.0160,-0.0094,-0.0052,-0.2085,0.4376,1.4087,buy
2021-09-29,345.1507,511700,343.2685,347.1769,341.5015,0.0111,-0.0296,-0.0537,-0.0274,-0.0487,26.9111,0.0169,-0.0113,-0.0058,0.0137,-0.2712,1.0303,sell
2021-09-30,341.0117,661700,347.1097,348.5405,340.8101,-0.0120,-0.0579,-0.0663,-0.0324,-0.0590,24.7330,0.0168,-0.0139,-0.0066,-0.0112,0.2931,1.2949,buy
2021-10-01,344.9874,415800,343.3069,347.5130,339.6097,0.0117,-0.0452,-0.0291,-0.0183,-0.0469,31.9042,0.0160,-0.0145,-0.0059,0.1404,-0.3716,0.8125,sell
2021-10-04,335.8453,637000,343.4317,345.1314,333.1084,-0.0265,-0.0502,-0.0520,-0.0393,-0.0706,26.0776,0.0177,-0.0176,-0.0070,-0.0133,0.5320,1.2094,buy
2021-10-05,341.2710,562300,337.7851,345.0834,336.9497,0.0162,-0.0003,-0.0381,-0.0200,-0.0544,32.2690,0.0189,-0.0179,-0.0060,0.1609,-0.1173,1.0550,buy
2021-10-06,343.7390,454700,337.0457,344.3632,335.9125,0.0072,-0.0041,-0.0336,-0.0095,-0.0464,34.2262,0.0191,-0.0174,-0.0045,0.2467,-0.1914,0.8787,buy
2021-10-07,348.5789,842200,347.9643,352.5065,347.8106,0.0141,0.0222,-0.0370,0.0084,-0.0322,44.6611,0.0187,-0.0156,-0.0023,0.3818,0.8522,1.5751,hold
2021-10-08,347.8874,388400,349.8944,350.3266,345.5731,-0.0020,0.0084,-0.0372,0.0103,-0.0334,44.9005,0.0187,-0.0144,-0.0008,0.3829,-0.5388,0.7240,sell
2021-10-11,345.7556,360800,346.4086,351.8055,345.7460,-0.0061,0.0295,-0.0221,0.0064,-0.0386,42.9937,0.0177,-0.0139,-0.0002,0.3453,-0.0711,0.6716,hold
2021-10-12,346.6006,366100,347.8970,350.6723,345.3234,0.0024,0.0156,0.0153,0.0073,-0.0353,42.9425,0.0135,-0.0130,0.0006,0.3872,0.0147,0.6806,hold
2021-10-13,347.1192,342200,348.9918,348.9918,344.1615,0.0015,0.0098,0.0057,0.0082,-0.0330,37.3257,0.0131,-0.0120,0.0012,0.4221,-0.0653,0.6407,buy
2021-10-14,355.7811,329000,351.1908,355.8675,351.1908,0.0250,0.0207,0.0433,0.0290,-0.0082,45.8309,0.0143,-0.0089,0.0032,0.7341,-0.0386,0.6237,hold
