date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,488.8000,1295600,479.2000,499.0000,475.5100,0.0292,0.2170,0.2573,0.1081,0.2945,78.6858,0.0862,0.0620,0.0205,0.9178,0.4937,1.3174,hold
2021-09-13,485.0000,809700,485.5100,488.3800,470.8900,-0.0078,-0.0442,0.2260,0.0776,0.2758,76.4056,0.0869,0.0648,0.0184,0.8532,-0.3750,0.8057,buy
2021-09-14,505.2100,924300,486.4700,506.4800,486.4700,0.0417,0.0316,0.2752,0.0960,0.3190,77.6789,0.0866,0.0664,0.0175,0.8978,0.1415,0.9198,hold
2021-09-15,503.5000,1121800,503.8100,506.4400,495.0000,-0.0034,0.0673,0.2850,0.0664,0.3052,76.0343,0.0863,0.0689,0.0159,0.8481,0.2137,1.0851,hold
2021-09-16,509.6500,921400,501.2800,510.5000,496.5300,0.0122,0.0731,0.2954,0.0535,0.3108,78.5199,0.0861,0.0701,0.0141,0.8375,-0.1786,0.8675,hold
2021-09-17,506.9900,1976200,512.8100,514.1300,502.4000,-0.0052,0.0372,0.2623,0.0257,0.2936,76.8063,0.0868,0.0708,0.0116,0.7951,1.1448,1.7244,sell
2021-09-20,489.2700,1104800,492.0000,500.3400,483.0100,-0.0350,0.0088,-0.0358,-0.0065,0.2398,70.6965,0.0270,0.0699,0.0069,0.6944,-0.4409,0.9323,hold
2021-09-21,488.6400,1300900,494.3200,502.1600,484.8900,-0.0013,-0.0328,-0.0023,-0.0076,0.2296,71.8839,0.0246,0.0663,0.0026,0.6717,0.1775,1.0566,buy
2021-09-22,510.6800,855800,487.5700,515.5000,484.2920,0.0451,0.0143,0.0825,0.0290,0.2749,74.2623,0.0246,0.0635,0.0020,0.7540,-0.3421,0.6844,hold
2021-09-23,514.0600,547500,513.4800,518.3400,504.9800,0.0066,0.0087,0.0824,0.0278,0.2722,73.7362,0.0246,0.0629,0.0014,0.7463,-0.3602,0.4355,sell
2021-09-24,508.0400,439300,510.0700,512.8000,500.0340,-0.0117,0.0021,0.0394,0.0118,0.2466,50.2298,0.0242,0.0618,-0.0003,0.6959,-0.1976,0.3496,sell
2021-09-27,483.0400,761600,499.2700,500.9000,480.7800,-0.0492,-0.0127,-0.0040,-0.0376,0.1766,47.6764,0.0294,0.0586,-0.0053,0.5411,0.7337,0.6000,sell
2021-09-28,463.5700,794900,475.1800,477.5500,460.0500,-0.0403,-0.0513,-0.0824,-0.0687,0.1223,47.1992,0.0279,0.0518,-0.0118,0.3982,0.0437,0.6185,sell
2021-09-29,458.4900,587500,471.0500,476.2900,456.8050,-0.0110,-0.1022,-0.0894,-0.0705,0.1038,44.4362,0.0278,0.0436,-0.0166,0.3185,-0.2609,0.4558,buy
2021-09-30,471.5100,809800,460.4800,478.9000,460.4800,0.0284,-0.0828,-0.0748,-0.0366,0.1286,44.1146,0.0296,0.0374,-0.0169,0.3556,0.3784,0.6190,hold
2021-10-01,474.5100,566000,474.0100,478.2000,458.8100,0.0064,-0.0660,-0.0641,-0.0240,0.1292,46.4097,0.0299,0.0334,-0.0165,0.2716,-0.3011,0.4429,sell
2021-10-04,444.9700,1271500,461.0000,463.1900,434.4500,-0.0623,-0.0788,-0.0905,-0.0763,0.0547,30.6203,0.0338,0.0267,-0.0212,-0.0415,1.2465,1.2262,buy
2021-10-05,452.6800,518700,445.4400,457.6500,444.2000,0.0173,-0.0235,-0.0736,-0.0533,0.0682,34.2585,0.0348,0.0205,-0.0213,0.1103,-0.5921,0.5264,buy
2021-10-06,466.2400,519100,445.6500,469.6690,444.0000,0.0300,0.0169,-0.0870,-0.0158,0.0948,37.1439,0.0325,0.0176,-0.0184,0.2781,0.0008,0.5770,buy
2021-10-07,472.8700,485200,470.0000,481.6800,468.1100,0.0142,0.0029,-0.0801,0.0070,0.1047,40.1273,0.0330,0.0165,-0.0152,0.3582,-0.0653,0.5510,sell
2021-10-08,449.0000,877000,473.4400,474.0000,449.0000,-0.0505,-0.0538,-0.1162,-0.0317,0.0447,38.7483,0.0357,0.0122,-0.0169,0.1253,0.8075,1.0202,buy
2021-10-11,454.2000,439700,447.9500,460.6500,443.0000,0.0116,0.0207,-0.0597,-0.0143,0.0521,40.6168,0.0337,0.0089,-0.0159,0.2111,-0.4986,0.5227,buy
2021-10-12,470.9400,532100,459.5600,477.6600,457.2000,0.0369,0.0403,0.0159,0.0204,0.0853,38.8509,0.0337,0.0089,-0.0120,0.4050,0.2101,0.6477,buy
2021-10-13,494.0200,983800,473.9400,494.5200,473.9400,0.0490,0.0596,0.0775,0.0622,0.1314,44.9373,0.0364,0.0123,-0.0061,0.6651,0.8489,1.2077,hold
2021-10-14,489.3000,615700,499.5400,506.0000,488.3600,-0.0096,0.0347,0.0377,0.0480,0.1142,45.2345,0.0360,0.0146,-0.0032,0.6298,-0.3742,0.7702,hold
