date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,112.1253,4278700,114.3740,114.5450,111.6807,-0.0172,-0.0266,-0.0167,-0.0206,0.0122,53.9898,0.0076,0.0100,-0.0013,0.3853,0.2419,1.0315,sell
2021-09-13,111.1848,4703200,112.9888,113.0230,110.0904,-0.0084,-0.0341,-0.0282,-0.0261,0.0031,55.1248,0.0076,0.0074,-0.0031,0.2492,0.0992,1.1052,buy
2021-09-14,111.6465,3333600,111.8346,112.1851,110.9710,0.0042,-0.0296,-0.0244,-0.0196,0.0067,41.4739,0.0079,0.0056,-0.0039,0.2984,-0.2912,0.7824,buy
2021-09-15,112.5613,3303800,111.8602,113.3565,111.1591,0.0082,-0.0260,-0.0137,-0.0102,0.0142,36.5242,0.0086,0.0047,-0.0038,0.4126,-0.0089,0.7764,sell
2021-09-16,111.9372,3049500,112.5699,113.1513,111.2874,-0.0055,-0.0188,-0.0242,-0.0133,0.0081,38.1184,0.0083,0.0036,-0.0040,0.3129,-0.0770,0.7252,sell
2021-09-17,110.8941,6832800,111.4584,111.8602,110.4409,-0.0093,-0.0110,-0.0373,-0.0188,-0.0016,31.4697,0.0082,0.0019,-0.0046,0.1534,1.2406,1.5722,sell
2021-09-20,110.0647,3385100,109.6885,110.5435,109.0216,-0.0075,-0.0101,-0.0438,-0.0218,-0.0092,28.7616,0.0082,-0.0000,-0.0052,0.0622,-0.5046,0.7890,sell
2021-09-21,109.3038,2999300,110.9026,111.1933,109.2354,-0.0069,-0.0210,-0.0500,-0.0235,-0.0160,27.5479,0.0081,-0.0021,-0.0059,-0.0218,-0.1140,0.7160,buy
2021-09-22,110.2186,3479800,110.1160,110.8941,109.5859,0.0084,-0.0208,-0.0463,-0.0106,-0.0080,29.6757,0.0087,-0.0030,-0.0054,0.1423,0.1602,0.9046,buy
2021-09-23,112.2463,3890600,110.4592,112.6759,110.3819,0.0184,0.0028,-0.0161,0.0092,0.0097,38.3117,0.0108,-0.0022,-0.0037,0.4107,0.1181,1.0466,sell
2021-09-24,111.7136,2801300,111.9370,112.8220,111.3785,-0.0047,0.0074,-0.0037,0.0048,0.0041,36.9997,0.0095,-0.0020,-0.0028,0.3575,-0.2800,0.7707,sell
2021-09-27,110.6224,2931400,111.4816,111.7566,110.2358,-0.0098,0.0051,-0.0051,-0.0045,-0.0062,34.2710,0.0096,-0.0026,-0.0027,0.2452,0.0464,0.8162,sell
2021-09-28,108.2597,6100400,109.8148,109.9265,108.0706,-0.0214,-0.0096,-0.0303,-0.0228,-0.0281,27.0799,0.0115,-0.0049,-0.0040,0.0285,1.0811,1.6404,buy
2021-09-29,108.7580,2693800,108.5604,109.2563,107.7269,0.0046,-0.0133,-0.0338,-0.0149,-0.0238,32.2018,0.0111,-0.0061,-0.0042,0.1337,-0.5584,0.7451,sell
2021-09-30,107.7012,5647000,108.7580,109.9609,107.6754,-0.0097,-0.0405,-0.0378,-0.0207,-0.0332,34.2659,0.0113,-0.0079,-0.0047,0.0759,1.0963,1.4954,buy
2021-10-01,109.3852,4042600,108.2596,109.9265,107.5465,0.0156,-0.0208,-0.0136,-0.0040,-0.0182,43.9213,0.0126,-0.0078,-0.0037,0.2756,-0.2841,1.0837,sell
2021-10-04,107.4434,5125900,109.1274,110.4592,106.7560,-0.0178,-0.0287,-0.0238,-0.0194,-0.0352,37.0933,0.0135,-0.0093,-0.0041,0.1024,0.2680,1.3239,buy
2021-10-05,108.0878,3853200,108.0019,109.6258,107.3918,0.0060,-0.0016,-0.0111,-0.0124,-0.0291,36.0308,0.0137,-0.0097,-0.0037,0.1964,-0.2483,0.9871,hold
2021-10-06,108.3370,4005500,107.3059,108.3885,106.5154,0.0023,-0.0039,-0.0171,-0.0084,-0.0264,38.4883,0.0133,-0.0098,-0.0030,0.2336,0.0395,1.0026,buy
2021-10-07,108.9728,3135600,109.1962,110.7084,108.7924,0.0059,0.0118,-0.0292,0.0004,-0.0202,43.6925,0.0117,-0.0092,-0.0020,0.3350,-0.2172,0.7879,sell
2021-10-08,107.6324,4116300,109.1188,109.3422,107.4520,-0.0123,-0.0160,-0.0365,-0.0082,-0.0315,42.2739,0.0121,-0.0098,-0.0020,0.1699,0.3128,1.0365,sell
2021-10-11,106.1460,3588300,107.2544,107.8472,106.0944,-0.0138,-0.0121,-0.0405,-0.0178,-0.0439,40.4115,0.0124,-0.0113,-0.0027,0.0306,-0.1283,0.9164,sell
2021-10-12,105.6219,4298100,106.3608,106.5412,105.1149,-0.0049,-0.0228,-0.0244,-0.0203,-0.0474,35.7027,0.0108,-0.0127,-0.0033,0.0345,0.1978,1.0843,hold
2021-10-13,105.3126,4063500,105.5360,105.8796,104.7885,-0.0029,-0.0279,-0.0317,-0.0200,-0.0490,25.8528,0.0106,-0.0139,-0.0035,0.0490,-0.0546,1.0154,buy
2021-10-14,107.2286,4658000,106.0686,107.5121,105.9140,0.0182,-0.0160,-0.0044,-0.0018,-0.0313,35.7532,0.0122,-0.0130,-0.0022,0.3077,0.1463,1.1410,buy
