date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,375.3935,11549600,378.0403,380.4491,374.9673,0.0018,0.0091,0.0393,0.0011,0.0486,68.3442,0.0133,0.0144,0.0013,0.7332,0.2693,1.0856,sell
2021-09-13,373.2325,13026300,378.3574,378.4268,371.0913,-0.0058,0.0007,0.0104,-0.0057,0.0413,62.9375,0.0119,0.0137,0.0003,0.6565,0.1279,1.1918,hold
2021-09-14,373.2522,8711600,374.1146,375.2943,371.8446,0.0001,-0.0148,-0.0108,-0.0045,0.0401,61.3095,0.0094,0.0128,-0.0004,0.6430,-0.3312,0.8063,sell
2021-09-15,370.6650,17940300,373.7182,374.2733,364.4694,-0.0069,-0.0097,-0.0144,-0.0100,0.0317,55.7070,0.0096,0.0116,-0.0014,0.5536,1.0594,1.6184,hold
2021-09-16,369.8124,11934200,369.5448,370.3081,366.4916,-0.0023,-0.0131,-0.0235,-0.0099,0.0280,59.5805,0.0091,0.0103,-0.0022,0.5038,-0.3348,1.0675,sell
2021-09-17,361.5451,26299000,368.1769,368.1769,358.4423,-0.0224,-0.0369,-0.0281,-0.0293,0.0040,41.2867,0.0101,0.0074,-0.0042,0.1805,1.2037,2.2110,sell
2021-09-20,352.6036,19822800,356.1723,357.8872,346.7550,-0.0247,-0.0553,-0.0546,-0.0481,-0.0212,23.0918,0.0120,0.0031,-0.0071,-0.1053,-0.2463,1.5921,buy
2021-09-21,354.3681,11751900,355.3792,356.9058,352.0981,0.0050,-0.0506,-0.0646,-0.0370,-0.0165,26.6425,0.0102,-0.0001,-0.0082,0.0021,-0.4072,0.9408,sell
2021-09-22,340.2223,43692900,344.2073,346.7945,337.7242,-0.0399,-0.0821,-0.0910,-0.0668,-0.0553,16.7920,0.0147,-0.0060,-0.0116,-0.2063,2.7179,3.0739,buy
2021-09-23,342.9484,21806300,342.3536,346.6261,340.0142,0.0080,-0.0726,-0.0848,-0.0511,-0.0476,23.0812,0.0154,-0.0099,-0.0123,-0.0307,-0.5009,1.4714,buy
