date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,52.2780,4545100,53.0178,53.1124,52.2092,-0.0043,-0.0144,-0.0165,-0.0110,0.0190,51.8895,0.0088,0.0052,-0.0037,0.2424,-0.0016,1.1959,buy
2021-09-13,53.1555,3768800,52.8286,53.2501,52.4586,0.0168,0.0093,-0.0156,0.0072,0.0355,54.2818,0.0090,0.0055,-0.0026,0.6413,-0.1708,0.9854,sell
2021-09-14,52.2866,4449900,53.4910,53.5512,52.0629,-0.0163,-0.0016,-0.0176,-0.0075,0.0183,44.1138,0.0093,0.0045,-0.0030,0.2686,0.1807,1.1501,buy
2021-09-15,53.3963,5889300,52.4414,53.5942,52.3296,0.0212,0.0179,0.0011,0.0134,0.0386,47.5727,0.0118,0.0052,-0.0018,0.7548,0.3235,1.4888,hold
2021-09-16,53.5254,4664700,53.6028,54.0415,53.0952,0.0024,0.0195,0.0148,0.0143,0.0398,52.7886,0.0111,0.0059,-0.0008,0.7812,-0.2079,1.1558,sell
2021-09-17,53.0952,9183000,53.1985,54.0845,52.9404,-0.0080,0.0156,0.0010,0.0061,0.0296,42.7386,0.0114,0.0058,-0.0008,0.5753,0.9686,2.1301,sell
2021-09-20,51.0220,9661800,51.5296,51.6414,50.1962,-0.0390,-0.0401,-0.0312,-0.0302,-0.0109,35.3547,0.0168,0.0026,-0.0034,-0.2115,0.0521,2.0802,sell
2021-09-21,50.2994,6235000,51.4435,51.5210,50.0155,-0.0142,-0.0380,-0.0396,-0.0401,-0.0248,31.3227,0.0172,-0.0013,-0.0059,-0.2070,-0.3547,1.2953,buy
2021-09-22,51.1424,5198600,51.1510,51.5812,51.0392,0.0168,-0.0422,-0.0251,-0.0216,-0.0088,40.4518,0.0184,-0.0029,-0.0060,0.0939,-0.1662,1.0490,buy
2021-09-23,52.6995,4594400,51.5468,53.2071,51.5468,0.0304,-0.0154,0.0038,0.0078,0.0202,48.2143,0.0211,-0.0017,-0.0037,0.5219,-0.1162,0.9119,hold
2021-09-24,52.7855,4351400,52.8200,53.5426,52.6737,0.0016,-0.0058,0.0097,0.0085,0.0208,50.6445,0.0211,-0.0007,-0.0022,0.5511,-0.0529,0.8494,buy
2021-09-27,54.7211,5220000,53.5168,55.1168,53.5082,0.0367,0.0725,0.0295,0.0424,0.0559,60.6891,0.0235,0.0029,0.0012,1.0366,0.1996,1.0091,sell
2021-09-28,54.0157,4909100,54.7727,55.2975,53.9125,-0.0129,0.0739,0.0331,0.0255,0.0398,56.7086,0.0232,0.0048,0.0024,0.8309,-0.0596,0.9304,hold
2021-09-29,53.8351,3780000,54.2222,54.3168,53.7834,-0.0033,0.0526,0.0082,0.0213,0.0345,55.6776,0.0224,0.0058,0.0028,0.7739,-0.2300,0.7268,sell
2021-09-30,53.1038,6132900,54.2910,54.2910,52.9232,-0.0136,0.0077,-0.0079,0.0082,0.0193,53.3708,0.0229,0.0056,0.0020,0.5924,0.6225,1.1640,buy
2021-10-01,53.7834,4391700,53.2071,54.3082,53.0092,0.0128,0.0189,0.0130,0.0198,0.0306,52.6053,0.0231,0.0063,0.0022,0.7413,-0.2839,0.8437,hold
2021-10-04,53.6544,4950300,53.6974,54.7383,53.5426,-0.0024,-0.0195,0.0516,0.0123,0.0264,56.0456,0.0183,0.0066,0.0020,0.6960,0.1272,0.9389,buy
2021-10-05,55.2889,6076300,53.9727,55.4868,53.4221,0.0305,0.0236,0.0992,0.0334,0.0553,57.9942,0.0185,0.0089,0.0035,0.9832,0.2275,1.1450,hold
2021-10-06,55.0394,4418300,54.5663,55.3405,54.1792,-0.0045,0.0224,0.0762,0.0213,0.0483,56.3309,0.0188,0.0104,0.0040,0.8799,-0.2729,0.8261,buy
