date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,130.0857,2668874,131.7140,131.9748,130.0505,-0.0065,-0.0531,-0.0551,-0.0350,-0.0597,28.6539,0.0159,-0.0147,-0.0059,-0.0195,-0.2656,0.9790,hold
2021-09-13,130.5650,6035614,130.6144,132.4612,129.4161,0.0037,-0.0471,-0.0503,-0.0265,-0.0551,29.1575,0.0161,-0.0159,-0.0057,0.0770,1.2615,2.0715,sell
2021-09-14,128.5843,3975624,130.8610,131.1078,128.0627,-0.0152,-0.0170,-0.0701,-0.0342,-0.0679,25.7379,0.0159,-0.0182,-0.0062,-0.0068,-0.3413,1.3180,buy
2021-09-15,129.8319,3055182,128.8662,130.4804,128.5208,0.0097,-0.0197,-0.0542,-0.0194,-0.0577,31.0422,0.0168,-0.0186,-0.0054,0.1299,-0.2315,1.0076,sell
2021-09-16,128.7534,3054106,129.8037,130.1209,128.1613,-0.0083,-0.0166,-0.0557,-0.0219,-0.0641,26.8302,0.0168,-0.0196,-0.0051,0.1059,-0.0004,0.9986,sell
2021-09-17,127.9287,12820283,127.6468,128.7534,126.4626,-0.0064,-0.0166,-0.0688,-0.0212,-0.0686,25.9746,0.0162,-0.0208,-0.0049,0.1049,3.1977,3.6001,sell
2021-09-20,127.2521,4965912,125.9198,128.1050,125.6731,-0.0053,-0.0254,-0.0713,-0.0190,-0.0717,22.1312,0.0161,-0.0219,-0.0047,0.1139,-0.6127,1.3546,sell
2021-09-21,125.7648,3564200,127.5622,127.6397,125.2573,-0.0117,-0.0219,-0.0386,-0.0267,-0.0807,21.6076,0.0094,-0.0236,-0.0050,0.0831,-0.2823,0.9565,buy
2021-09-22,126.7657,2656077,126.3921,127.5481,126.1313,0.0080,-0.0236,-0.0428,-0.0146,-0.0716,26.4380,0.0086,-0.0237,-0.0042,0.1781,-0.2548,0.7035,buy
2021-09-23,127.9569,2615054,126.9842,128.8874,126.8785,0.0094,-0.0062,-0.0227,-0.0031,-0.0610,27.0447,0.0092,-0.0226,-0.0027,0.2702,-0.0154,0.6864,hold
2021-09-24,127.6115,2483972,127.9358,128.3376,127.3155,-0.0027,-0.0025,-0.0190,-0.0038,-0.0616,27.0540,0.0090,-0.0220,-0.0016,0.2732,-0.0501,0.6457,buy
2021-09-27,128.1402,2454312,127.4635,129.1059,127.4494,0.0041,0.0070,-0.0186,0.0022,-0.0561,40.9891,0.0091,-0.0208,-0.0004,0.3241,-0.0119,0.6389,sell
2021-09-28,126.9137,2739318,128.1614,128.8874,126.7164,-0.0096,0.0091,-0.0130,-0.0061,-0.0636,30.8406,0.0083,-0.0207,-0.0000,0.2667,0.1161,0.7019,buy
2021-09-29,127.4987,2003061,126.8221,127.8582,126.2934,0.0046,0.0058,-0.0180,0.0003,-0.0575,37.2845,0.0077,-0.0197,0.0007,0.3233,-0.2688,0.5223,sell
2021-09-30,123.6501,3869778,128.0909,128.3305,123.6149,-0.0302,-0.0337,-0.0396,-0.0260,-0.0836,30.4996,0.0118,-0.0219,-0.0007,0.0803,0.9319,0.9889,buy
2021-10-01,124.5383,2893483,124.2352,125.0529,122.8043,0.0072,-0.0241,-0.0265,-0.0164,-0.0750,32.1801,0.0122,-0.0221,-0.0008,0.1498,-0.2523,0.7358,hold
2021-10-04,124.0871,3600080,122.7549,124.8343,122.4941,-0.0036,-0.0316,-0.0249,-0.0175,-0.0762,35.3804,0.0122,-0.0225,-0.0010,0.0859,0.2442,0.8944,buy
2021-10-05,125.3841,2258407,124.1858,125.8987,123.7558,0.0105,-0.0121,-0.0030,-0.0069,-0.0643,35.5871,0.0124,-0.0215,-0.0001,0.2487,-0.3727,0.5965,hold
