date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,62.8421,11084500,63.2956,63.4924,62.5598,-0.0050,-0.0476,-0.0407,-0.0313,-0.0452,16.4309,0.0094,-0.0085,-0.0051,-0.0787,-0.2423,1.2845,sell
2021-09-13,62.6111,11245200,63.1159,63.1673,62.3374,-0.0037,-0.0528,-0.0409,-0.0309,-0.0475,16.4945,0.0094,-0.0107,-0.0058,-0.0189,0.0145,1.2705,sell
2021-09-14,62.2486,15202800,63.0600,63.1377,62.2054,-0.0058,-0.0424,-0.0489,-0.0317,-0.0516,17.0124,0.0091,-0.0128,-0.0063,0.0096,0.3519,1.6628,buy
2021-09-15,62.8528,12555900,62.2227,63.1464,62.0500,0.0097,-0.0252,-0.0371,-0.0186,-0.0412,26.2037,0.0102,-0.0133,-0.0055,0.1444,-0.1741,1.3567,sell
2021-09-16,62.1277,14818900,63.0341,63.0341,61.8860,-0.0115,-0.0163,-0.0468,-0.0253,-0.0508,25.0550,0.0105,-0.0148,-0.0055,0.0899,0.1802,1.5399,sell
2021-09-17,61.8774,43406600,61.4544,62.1536,61.1954,-0.0040,-0.0154,-0.0622,-0.0229,-0.0532,24.9837,0.0086,-0.0160,-0.0054,0.1019,1.9291,3.8243,buy
2021-09-20,62.0932,15989400,61.4285,62.6802,61.3940,0.0035,-0.0083,-0.0606,-0.0133,-0.0485,25.4737,0.0088,-0.0164,-0.0047,0.1646,-0.6316,1.3510,hold
2021-09-21,62.1277,11995900,62.5680,62.7406,61.9551,0.0006,-0.0019,-0.0443,-0.0082,-0.0468,26.5407,0.0082,-0.0166,-0.0038,0.1965,-0.2498,0.9905,hold
2021-09-22,62.1882,9028700,62.4385,62.5076,62.0328,0.0010,-0.0106,-0.0355,-0.0036,-0.0446,27.5809,0.0083,-0.0164,-0.0029,0.2311,-0.2474,0.7445,buy
2021-09-23,63.0600,12813500,62.7406,63.9147,62.6457,0.0140,0.0150,-0.0016,0.0105,-0.0302,28.3083,0.0076,-0.0147,-0.0012,0.3846,0.4192,1.0321,buy
2021-09-24,63.5434,14714700,63.5262,64.4239,63.3190,0.0077,0.0269,0.0112,0.0171,-0.0218,31.9805,0.0078,-0.0128,0.0006,0.4781,0.1484,1.1479,sell
2021-09-27,63.3276,8630600,63.4571,64.1132,63.3104,-0.0034,0.0199,0.0114,0.0125,-0.0241,36.5017,0.0078,-0.0115,0.0015,0.4568,-0.4135,0.6664,hold
2021-09-28,63.2931,11836200,63.4916,63.7247,62.7234,-0.0005,0.0188,0.0168,0.0103,-0.0239,39.6643,0.0074,-0.0103,0.0021,0.4681,0.3714,0.8984,buy
2021-09-29,64.8211,16054500,63.5435,65.3476,63.5176,0.0241,0.0423,0.0313,0.0314,-0.0002,64.0064,0.0101,-0.0072,0.0040,0.7557,0.3564,1.1954,hold
