date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,60.0446,4430200,60.7808,61.4483,59.9955,-0.0013,-0.0024,-0.0327,-0.0006,0.0304,56.5737,0.0136,0.0075,-0.0025,0.5480,0.3405,0.8348,buy
2021-09-13,61.2323,5246900,60.7906,61.3109,59.9268,0.0198,0.0141,0.0170,0.0174,0.0490,52.0879,0.0116,0.0084,-0.0011,0.7334,0.1843,0.9696,hold
2021-09-14,61.1538,3323700,61.4483,61.8704,60.7219,-0.0013,0.0173,0.0055,0.0156,0.0459,48.5516,0.0113,0.0091,-0.0004,0.6987,-0.3665,0.6271,hold
2021-09-15,61.3109,4436900,61.1734,61.7820,60.6925,0.0026,0.0346,0.0208,0.0161,0.0469,45.4545,0.0103,0.0096,0.0002,0.7084,0.3349,0.8538,buy
2021-09-16,62.0863,4391500,60.7808,62.1648,60.4961,0.0126,0.0327,0.0417,0.0247,0.0577,50.0562,0.0102,0.0108,0.0012,0.8641,-0.0102,0.8417,sell
2021-09-17,60.9575,11428300,61.9783,61.9783,60.6041,-0.0182,0.0152,0.0127,0.0048,0.0365,54.6684,0.0121,0.0105,0.0006,0.5878,1.6024,2.0628,sell
2021-09-20,59.5636,7158700,59.6814,60.1133,58.2973,-0.0229,-0.0273,-0.0135,-0.0169,0.0116,42.8411,0.0143,0.0083,-0.0015,0.1734,-0.3736,1.2632,buy
2021-09-21,59.9072,3468500,59.9268,60.3587,59.0630,0.0058,-0.0204,-0.0034,-0.0108,0.0161,49.0610,0.0144,0.0068,-0.0024,0.2922,-0.5155,0.6336,buy
2021-09-22,61.5170,3595700,60.3685,61.7035,60.1427,0.0269,0.0034,0.0381,0.0120,0.0414,60.0619,0.0158,0.0075,-0.0012,0.7537,0.0367,0.6698,buy
2021-09-23,62.2728,4530000,61.7035,62.8029,61.6642,0.0123,0.0030,0.0358,0.0208,0.0516,60.7505,0.0156,0.0089,0.0003,0.9559,0.2598,0.8582,hold
2021-09-24,62.4397,2912400,61.8409,62.7734,61.4777,0.0027,0.0243,0.0399,0.0195,0.0517,60.6708,0.0155,0.0102,0.0013,0.9795,-0.3571,0.5722,sell
2021-09-27,61.9096,4097500,61.6053,62.4103,60.9182,-0.0085,0.0394,0.0111,0.0098,0.0396,59.0505,0.0149,0.0105,0.0012,0.8026,0.4069,0.8995,sell
2021-09-28,59.6323,6982100,60.2900,60.7513,59.5538,-0.0368,-0.0046,-0.0249,-0.0250,-0.0006,51.6436,0.0192,0.0080,-0.0013,0.2339,0.7040,1.5320,sell
2021-09-29,59.0434,4583700,59.9562,60.6826,58.9746,-0.0099,-0.0402,-0.0370,-0.0310,-0.0116,45.1241,0.0192,0.0048,-0.0037,0.1206,-0.3435,1.0133,hold
2021-09-30,59.2004,4970000,59.3477,60.5059,59.1317,0.0027,-0.0493,-0.0465,-0.0238,-0.0097,46.2148,0.0185,0.0024,-0.0048,0.1705,0.0843,1.0987,sell
2021-10-01,58.7292,6822700,59.6814,59.7501,57.2765,-0.0080,-0.0594,-0.0366,-0.0280,-0.0181,38.0056,0.0180,-0.0001,-0.0059,0.1062,0.3728,1.4437,sell
2021-10-04,56.5305,6955500,58.3562,58.3759,55.8139,-0.0374,-0.0869,-0.0509,-0.0597,-0.0545,31.5872,0.0202,-0.0053,-0.0091,-0.1538,0.0195,1.4058,buy
2021-10-05,58.2973,7195800,57.3059,58.9550,57.1881,0.0313,-0.0224,-0.0269,-0.0277,-0.0251,39.3624,0.0231,-0.0066,-0.0082,0.1795,0.0345,1.3955,buy
2021-10-06,62.5771,16659300,57.6004,63.0876,57.4433,0.0734,0.0599,0.0172,0.0419,0.0445,51.3889,0.0324,-0.0017,-0.0025,0.8370,1.3151,2.8601,buy
2021-10-07,64.0116,15222500,63.8642,66.0159,63.3828,0.0229,0.0813,0.0279,0.0627,0.0663,58.4957,0.0330,0.0036,0.0022,0.9756,-0.0862,2.3709,hold
2021-10-08,63.4909,5665700,64.2965,64.4537,63.1961,-0.0081,0.0811,0.0168,0.0522,0.0561,61.4823,0.0332,0.0071,0.0045,0.8573,-0.6278,0.8740,sell
2021-10-11,62.3315,4063400,63.1371,63.7365,62.2823,-0.0183,0.1026,0.0068,0.0322,0.0358,56.7653,0.0337,0.0084,0.0046,0.6935,-0.2828,0.6326,hold
2021-10-12,62.4789,6357800,63.3140,63.4024,61.4079,0.0024,0.0717,0.0477,0.0298,0.0372,52.9228,0.0309,0.0094,0.0045,0.7005,0.5647,0.9670,hold
2021-10-13,62.3118,6696100,63.2158,63.5695,62.0957,-0.0027,-0.0042,0.0554,0.0216,0.0337,50.1230,0.0306,0.0099,0.0040,0.6707,0.0532,1.0012,buy
2021-10-14,64.1491,8489200,63.7758,64.9843,63.3926,0.0295,0.0021,0.0836,0.0432,0.0630,54.8740,0.0315,0.0121,0.0051,0.8693,0.2678,1.2316,hold
2021-10-15,64.5029,5971300,64.7485,65.1219,64.1197,0.0055,0.0159,0.0983,0.0392,0.0672,57.4690,0.0310,0.0143,0.0059,0.8665,-0.2966,0.9020,buy
2021-10-18,65.9963,5342300,64.1786,66.0454,63.8839,0.0232,0.0588,0.1674,0.0473,0.0896,69.1962,0.0263,0.0174,0.0073,0.9571,-0.1053,0.8182,buy
2021-10-19,66.6644,7367500,66.1732,66.9297,65.4559,0.0101,0.0670,0.1435,0.0441,0.0980,72.8788,0.0257,0.0204,0.0084,0.9507,0.3791,1.0957,sell
2021-10-20,66.0160,3979700,66.4974,66.8118,65.4854,-0.0097,0.0594,0.0550,0.0284,0.0847,69.8742,0.0159,0.0222,0.0080,0.8479,-0.4598,0.5902,hold
2021-10-21,65.8981,5297600,65.4166,65.9374,64.7878,-0.0018,0.0273,0.0295,0.0235,0.0802,71.3442,0.0148,0.0230,0.0071,0.8074,0.3312,0.7812,sell
2021-10-22,65.1513,5228000,66.3205,66.5170,64.7190,-0.0113,0.0101,0.0262,0.0093,0.0657,78.0968,0.0151,0.0228,0.0053,0.7265,-0.0131,0.7580,buy
2021-10-25,66.4876,4999700,65.5345,66.7921,65.2201,0.0205,0.0074,0.0667,0.0234,0.0850,77.4642,0.0140,0.0232,0.0049,0.8059,-0.0437,0.7202,hold
2021-10-26,66.5465,6211600,67.4799,67.8828,66.4876,0.0009,-0.0018,0.0651,0.0180,0.0830,68.5662,0.0141,0.0238,0.0043,0.7804,0.2424,0.8997,hold
2021-10-27,66.5170,4912000,66.3205,67.3522,65.9767,-0.0004,0.0076,0.0675,0.0110,0.0793,63.4920,0.0139,0.0239,0.0036,0.7527,-0.2092,0.7098,buy
2021-10-28,67.2834,3526800,66.9592,67.3915,66.4581,0.0115,0.0210,0.0489,0.0178,0.0880,69.8968,0.0116,0.0243,0.0034,0.7865,-0.2820,0.5150,hold
2021-10-29,67.3031,5436700,66.6939,67.6764,66.5662,0.0003,0.0330,0.0434,0.0138,0.0850,79.6251,0.0117,0.0247,0.0030,0.7662,0.5415,0.8020,buy
2021-11-01,67.7550,6106600,67.4701,67.7649,66.5858,0.0067,0.0191,0.0266,0.0179,0.0892,80.3387,0.0098,0.0250,0.0028,0.8148,0.1232,0.9065,buy
2021-11-02,68.6884,7087800,67.7943,70.1524,67.7059,0.0138,0.0322,0.0304,0.0288,0.1014,83.6966,0.0101,0.0258,0.0031,0.9307,0.1607,1.0530,sell
2021-11-03,68.0400,4134800,68.4428,68.4919,67.6077,-0.0094,0.0229,0.0307,0.0160,0.0887,73.5153,0.0101,0.0260,0.0024,0.8165,-0.4166,0.6773,buy
2021-11-04,70.2900,8692300,68.5902,70.3784,67.6371,0.0331,0.0447,0.0666,0.0428,0.1217,78.4539,0.0136,0.0273,0.0036,1.0065,1.1022,1.5043,buy
2021-11-05,70.6044,6343900,70.7419,71.6458,70.0541,0.0045,0.0491,0.0837,0.0390,0.1237,75.6282,0.0122,0.0289,0.0043,0.9669,-0.2702,1.0915,buy
2021-11-08,71.7244,6823700,70.8893,72.4712,70.5356,0.0159,0.0586,0.0788,0.0475,0.1373,76.7948,0.0117,0.0308,0.0052,1.0120,0.0756,1.1468,hold
2021-11-09,71.6655,4937900,72.4515,72.7659,70.9188,-0.0008,0.0433,0.0769,0.0388,0.1325,81.9086,0.0118,0.0321,0.0052,0.9545,-0.2764,0.8399,sell
2021-11-10,69.7299,6471400,70.7026,71.9701,69.3959,-0.0270,0.0248,0.0483,0.0061,0.0986,67.9556,0.0160,0.0315,0.0031,0.7427,0.3106,1.1028,buy
2021-11-11,72.1371,5485300,70.3292,72.2353,70.3096,0.0345,0.0263,0.0721,0.0336,0.1320,78.3266,0.0186,0.0317,0.0034,0.9517,-0.1524,0.9593,hold
2021-11-12,72.1961,5454900,72.5301,73.1884,71.3216,0.0008,0.0225,0.0727,0.0272,0.1287,75.8221,0.0185,0.0323,0.0032,0.9102,-0.0055,0.9583,sell
2021-11-15,71.6458,4021200,72.2747,72.3729,70.2801,-0.0076,-0.0011,0.0574,0.0138,0.1161,72.0850,0.0191,0.0320,0.0022,0.8160,-0.2628,0.7148,buy
2021-11-16,72.5301,5087200,71.4100,72.8052,70.6830,0.0123,0.0121,0.0559,0.0207,0.1256,74.2472,0.0191,0.0319,0.0019,0.8618,0.2651,0.9229,hold
2021-11-17,72.3532,4145700,72.5890,73.0312,71.8620,-0.0024,0.0376,0.0634,0.0121,0.1183,71.4640,0.0186,0.0316,0.0012,0.8105,-0.1851,0.7510,buy
2021-11-18,73.8369,5796100,73.3947,73.9351,72.9035,0.0205,0.0236,0.0505,0.0278,0.1364,74.6113,0.0169,0.0319,0.0017,0.9068,0.3981,1.0453,sell
2021-11-19,73.2769,5458300,73.8172,74.4657,73.0509,-0.0076,0.0150,0.0379,0.0162,0.1232,70.6315,0.0174,0.0319,0.0012,0.8265,-0.0583,0.9823,sell
2021-11-22,71.4788,8644300,73.7878,74.7899,71.1742,-0.0245,-0.0023,-0.0034,-0.0084,0.0922,59.7931,0.0189,0.0302,-0.0010,0.6271,0.5837,1.5063,buy
2021-11-23,71.9406,5790300,71.7539,72.7070,70.0247,0.0065,-0.0081,0.0038,-0.0024,0.0957,63.8714,0.0190,0.0282,-0.0023,0.6571,-0.3302,1.0127,buy
2021-11-24,72.5694,4826000,71.2037,72.7070,70.5454,0.0087,0.0030,0.0407,0.0024,0.1015,59.1626,0.0165,0.0269,-0.0026,0.7104,-0.1665,0.8447,sell
2021-11-26,70.7321,4596000,71.4297,72.8445,70.2801,-0.0253,-0.0420,-0.0195,-0.0211,0.0708,50.4574,0.0150,0.0244,-0.0047,0.4606,-0.0477,0.7969,buy
2021-11-29,73.7091,9161400,72.0781,73.9744,71.7244,0.0421,0.0059,0.0210,0.0180,0.1115,56.2732,0.0205,0.0239,-0.0032,0.8411,0.9933,1.5389,sell
2021-11-30,69.9264,13173200,73.5323,73.8270,69.5629,-0.0513,-0.0217,-0.0240,-0.0320,0.0512,45.5505,0.0266,0.0211,-0.0060,0.2544,0.4379,2.0888,hold
2021-12-01,69.7102,8805800,71.4788,73.7091,69.5923,-0.0031,-0.0310,-0.0389,-0.0312,0.0449,49.9448,0.0261,0.0174,-0.0079,0.1955,-0.3315,1.3775,hold
2021-12-02,69.7888,10772600,69.1109,70.8991,68.0891,0.0011,-0.0383,-0.0354,-0.0266,0.0435,42.4223,0.0261,0.0143,-0.0087,0.1528,0.2234,1.6020,buy
2021-12-03,82.1294,51023700,84.3892,86.9438,79.0639,0.1768,0.1611,0.1123,0.1324,0.2207,67.8811,0.0629,0.0220,0.0019,1.4349,3.7364,5.7713,buy
2021-12-06,83.9372,15634400,82.0508,84.8608,78.9657,0.0220,0.1388,0.1455,0.1406,0.2397,71.1675,0.0625,0.0305,0.0087,1.2476,-0.6936,1.6801,buy
2021-12-07,89.9110,21126700,85.9318,90.7855,85.3717,0.0712,0.2858,0.2579,0.1919,0.3170,75.4679,0.0631,0.0400,0.0158,1.2614,0.3513,2.1083,hold
2021-12-08,89.6949,14554700,89.1839,92.2101,87.8379,-0.0024,0.2867,0.2468,0.1617,0.3024,75.3811,0.0634,0.0485,0.0194,1.0913,-0.3111,1.3860,hold
2021-12-09,88.4569,11836000,89.0759,91.1686,88.1032,-0.0138,0.2675,0.2189,0.1226,0.2735,71.5527,0.0644,0.0542,0.0197,0.9630,-0.1868,1.0990,hold
2021-12-10,87.4645,9660000,89.7341,90.6675,86.6785,-0.0112,0.0650,0.2366,0.0869,0.2491,70.6521,0.0634,0.0573,0.0179,0.8763,-0.1838,0.8799,sell
2021-12-13,85.0770,7371500,87.8772,88.2505,84.9787,-0.0273,0.0136,0.1542,0.0425,0.2059,69.4600,0.0649,0.0580,0.0140,0.7671,-0.2369,0.6656,hold
2021-12-14,83.7997,8596000,83.4067,85.1163,82.8859,-0.0150,-0.0680,0.1984,0.0097,0.1787,66.5842,0.0616,0.0562,0.0093,0.7038,0.1661,0.7605,buy
2021-12-15,86.8259,14422000,83.9372,87.2877,82.5322,0.0361,-0.0320,0.2455,0.0250,0.2115,68.6840,0.0613,0.0544,0.0073,0.7739,0.6778,1.2253,sell
2021-12-16,82.1294,17014800,88.0246,88.3095,81.1862,-0.0541,-0.0715,0.1768,-0.0444,0.1398,63.8955,0.0658,0.0525,0.0021,0.6080,0.1798,1.3707,hold
2021-12-17,82.5617,16185600,80.5672,83.8783,80.1545,0.0053,-0.0561,0.0053,-0.0398,0.1399,61.5070,0.0351,0.0481,-0.0016,0.6085,-0.0487,1.2515,hold
2021-12-20,82.6992,9546800,81.2844,83.0628,81.0584,0.0017,-0.0279,-0.0147,-0.0368,0.1358,68.3408,0.0343,0.0443,-0.0042,0.5989,-0.4102,0.7267,buy
2021-12-21,84.7920,10103700,85.1261,85.7647,82.9842,0.0253,0.0118,-0.0569,-0.0065,0.1574,70.5489,0.0256,0.0419,-0.0043,0.6500,0.0583,0.7648,buy
2021-12-22,86.7473,9516400,84.6840,86.8554,83.9766,0.0231,-0.0009,-0.0329,0.0199,0.1763,71.9817,0.0271,0.0413,-0.0031,0.6954,-0.0581,0.7104,hold
2021-12-23,86.1479,8016500,86.6981,87.9558,85.9219,-0.0069,0.0489,-0.0261,0.0156,0.1606,57.4881,0.0269,0.0408,-0.0031,0.6556,-0.1576,0.5914,buy
2021-12-27,89.2232,7116000,86.4623,89.5868,86.2658,0.0357,0.0807,0.0201,0.0497,0.1940,59.4056,0.0292,0.0411,-0.0011,0.7443,-0.1123,0.5201,sell
2021-12-28,86.4525,5798700,89.3903,89.4688,86.2265,-0.0311,0.0454,0.0162,0.0154,0.1502,43.0544,0.0296,0.0408,-0.0022,0.6216,-0.1851,0.4291,hold
2021-12-29,86.9929,3583000,86.5311,87.4154,86.1774,0.0063,0.0260,0.0381,0.0180,0.1509,44.6436,0.0290,0.0393,-0.0027,0.6252,-0.3821,0.2749,sell
2021-12-30,85.9121,4303100,86.9929,87.4350,85.7058,-0.0124,-0.0096,-0.0105,0.0064,0.1309,44.9236,0.0271,0.0373,-0.0042,0.5504,0.2010,0.3359,hold
2021-12-31,85.9613,3611600,86.0595,86.9929,85.9219,0.0006,-0.0022,0.0467,0.0025,0.1256,46.8839,0.0196,0.0350,-0.0052,0.5118,-0.1607,0.2901,buy
2022-01-03,87.8674,6813000,86.4132,88.4765,86.2855,0.0222,-0.0152,0.0643,0.0184,0.1440,55.9019,0.0204,0.0338,-0.0044,0.6870,0.8864,0.6653,sell
2022-01-04,86.8259,11874900,88.7025,90.1763,84.9001,-0.0119,0.0043,0.0499,0.0015,0.1241,56.4651,0.0212,0.0326,-0.0049,0.5606,0.7430,1.1813,sell
2022-01-05,82.6501,11010500,85.5191,88.1228,82.5224,-0.0481,-0.0499,-0.0253,-0.0443,0.0656,41.4966,0.0256,0.0284,-0.0088,0.1347,-0.0728,1.1533,buy
2022-01-06,84.0955,9697100,81.3228,84.8231,80.6247,0.0175,-0.0211,-0.0306,-0.0246,0.0793,54.6147,0.0251,0.0245,-0.0096,0.3151,-0.1193,1.0423,sell
2022-01-07,81.7161,10289300,84.0365,84.4298,81.2048,-0.0283,-0.0494,-0.0514,-0.0473,0.0447,48.1814,0.0263,0.0198,-0.0122,0.0824,0.0611,1.1152,sell
2022-01-10,80.8312,16685000,79.7496,80.9492,76.0920,-0.0108,-0.0801,-0.0941,-0.0483,0.0298,46.1076,0.0221,0.0147,-0.0142,0.0503,0.6216,1.7421,buy
2022-01-11,84.7837,15358700,79.8184,84.9705,79.4448,0.0489,-0.0235,-0.0193,0.0002,0.0754,49.9839,0.0273,0.0136,-0.0112,0.4818,-0.0795,1.5394,sell
2022-01-12,83.5154,9308700,85.2360,85.9538,82.9844,-0.0150,0.0105,-0.0400,-0.0107,0.0551,43.5797,0.0275,0.0121,-0.0104,0.3460,-0.3939,0.9297,sell
2022-01-13,77.3309,13860600,84.4691,85.1967,77.1834,-0.0741,-0.0804,-0.0999,-0.0745,-0.0252,35.6655,0.0354,0.0051,-0.0154,-0.1326,0.4890,1.3882,buy
2022-01-14,81.6079,14780100,76.5148,81.7357,76.5148,0.0553,-0.0013,-0.0506,-0.0182,0.0252,38.0849,0.0410,0.0030,-0.0131,0.2514,0.0663,1.4970,sell
2022-01-18,76.3673,12375000,78.9532,80.1724,76.1215,-0.0642,-0.0552,-0.1309,-0.0684,-0.0421,35.3526,0.0438,-0.0038,-0.0168,-0.0790,-0.1627,1.2781,hold
2022-01-19,75.6004,12153300,77.0261,77.9995,74.4992,-0.0100,-0.1083,-0.1293,-0.0649,-0.0529,33.5620,0.0438,-0.0102,-0.0186,-0.0308,-0.0179,1.2385,sell
2022-01-20,72.5622,10401200,76.0428,77.3309,72.4934,-0.0402,-0.1312,-0.1221,-0.0912,-0.0911,31.7675,0.0432,-0.0190,-0.0222,-0.0785,-0.1442,1.0584,sell
2022-01-21,71.3332,14820400,71.6871,74.8531,70.9890,-0.0169,-0.0776,-0.1518,-0.0920,-0.1065,30.6457,0.0419,-0.0271,-0.0244,-0.0316,0.4249,1.4684,hold
2022-01-24,70.8809,22085000,69.8682,71.0087,65.8468,-0.0063,-0.1314,-0.1326,-0.0852,-0.1124,26.6261,0.0417,-0.0337,-0.0247,0.0299,0.4902,2.0456,sell
2022-01-25,65.8959,17846800,68.4228,69.0816,65.8271,-0.0703,-0.1371,-0.1848,-0.1328,-0.1735,24.0193,0.0454,-0.0472,-0.0301,-0.0672,-0.1919,1.5748,hold
2022-01-26,66.5252,19451800,68.8358,70.9891,65.8075,0.0095,-0.1200,-0.2154,-0.1030,-0.1644,28.0514,0.0402,-0.0540,-0.0296,0.0355,0.0899,1.6189,sell
2022-01-27,63.8017,13587900,68.1967,69.0718,63.6345,-0.0409,-0.1207,-0.2360,-0.1162,-0.1971,23.3058,0.0405,-0.0650,-0.0316,0.0198,-0.3015,1.0857,buy
2022-01-28,65.2077,11456300,63.8017,65.2273,61.5009,0.0220,-0.0859,-0.1568,-0.0813,-0.1778,27.7143,0.0392,-0.0678,-0.0281,0.1166,-0.1569,0.8899,buy
2022-01-31,70.2025,12501700,65.7681,70.2418,65.7583,0.0766,-0.0096,-0.1398,0.0052,-0.1144,37.0848,0.0438,-0.0597,-0.0182,0.2971,0.0913,0.9387,buy
2022-02-01,71.2054,10089300,71.0186,71.4020,68.1279,0.0143,0.0806,-0.0676,0.0272,-0.1011,32.2265,0.0407,-0.0544,-0.0109,0.3485,-0.1930,0.7484,buy
2022-02-02,72.8375,11005500,72.8670,73.8699,70.6548,0.0229,0.0949,-0.0365,0.0549,-0.0804,36.1550,0.0417,-0.0475,-0.0039,0.4231,0.0908,0.8190,sell
2022-02-03,67.4789,11944300,69.8288,71.3234,67.1938,-0.0736,0.0576,-0.0701,-0.0154,-0.1472,36.9463,0.0461,-0.0522,-0.0041,0.2534,0.0853,0.8858,buy
2022-02-04,69.9075,7967100,67.6166,70.7334,67.5084,0.0360,0.0721,-0.0200,0.0221,-0.1161,33.6987,0.0478,-0.0477,-0.0010,0.3615,-0.3330,0.5946,hold
2022-02-07,70.3696,6969200,70.0845,71.9821,69.8977,0.0066,0.0024,-0.0072,0.0297,-0.1097,40.3603,0.0478,-0.0442,0.0017,0.3971,-0.1253,0.5267,buy
2022-02-08,75.2169,13362600,69.9272,75.4726,69.9173,0.0689,0.0563,0.1415,0.0858,-0.0495,49.4552,0.0451,-0.0335,0.0076,0.6092,0.9174,1.0227,buy
2022-02-09,76.4361,10748200,76.3476,76.6524,74.0174,0.0162,0.0494,0.1490,0.0878,-0.0347,55.8043,0.0451,-0.0252,0.0122,0.7000,-0.1957,0.8374,sell
2022-02-10,72.6016,12088800,73.6339,76.8786,71.9526,-0.0502,0.0759,0.1379,0.0205,-0.0838,51.7628,0.0464,-0.0240,0.0122,0.5511,0.1247,0.9317,sell
