date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,284.3352,19633400,286.9410,288.3833,284.0179,-0.0052,-0.0181,-0.0113,-0.0152,0.0221,26.3526,0.0061,0.0096,-0.0039,0.2979,-0.0147,0.9371,buy
2021-09-13,285.5660,23652900,286.1045,287.0564,282.7680,0.0043,-0.0138,-0.0091,-0.0100,0.0247,30.1349,0.0062,0.0083,-0.0041,0.3504,0.2047,1.1145,buy
2021-09-14,288.2583,21853400,288.0371,289.7968,286.6333,0.0094,-0.0013,-0.0125,0.0006,0.0327,42.9425,0.0054,0.0079,-0.0035,0.5122,-0.0761,1.0313,buy
2021-09-15,293.0948,28356300,291.5948,293.5755,290.2102,0.0168,0.0154,0.0097,0.0164,0.0480,55.7418,0.0076,0.0088,-0.0020,0.8312,0.2976,1.3126,hold
2021-09-16,293.4794,19550800,292.0756,293.5660,289.1910,0.0013,0.0268,0.0112,0.0166,0.0476,63.9636,0.0076,0.0095,-0.0009,0.8764,-0.3105,0.9098,sell
2021-09-17,288.3351,41372500,292.4698,292.7871,288.0082,-0.0175,0.0141,-0.0043,-0.0008,0.0276,50.2812,0.0096,0.0088,-0.0015,0.3847,1.1162,1.8749,sell
2021-09-20,282.9794,38278700,284.9313,287.2294,278.3833,-0.0186,-0.0091,-0.0227,-0.0171,0.0073,33.6270,0.0112,0.0066,-0.0031,-0.0318,-0.0748,1.7448,hold
2021-09-21,283.4602,22364100,284.3160,286.0948,282.7583,0.0017,-0.0166,-0.0179,-0.0137,0.0078,36.9661,0.0113,0.0048,-0.0039,0.0678,-0.4158,1.0204,buy
2021-09-22,287.0948,26626300,285.3160,288.6717,283.1814,0.0128,-0.0205,-0.0054,-0.0005,0.0195,44.7392,0.0122,0.0044,-0.0034,0.3905,0.1906,1.1919,hold
2021-09-23,288.0371,18604600,287.3545,289.3256,286.0852,0.0033,-0.0185,0.0078,0.0020,0.0216,47.4512,0.0117,0.0042,-0.0028,0.4813,-0.3013,0.8355,hold
2021-09-24,287.8353,14999000,286.7584,288.2680,285.5084,-0.0007,-0.0017,0.0123,0.0001,0.0195,47.1489,0.0116,0.0040,-0.0024,0.4626,-0.1938,0.6776,sell
2021-09-27,282.8544,23571700,284.7487,285.0659,281.6717,-0.0173,-0.0004,-0.0095,-0.0163,0.0010,41.5614,0.0129,0.0025,-0.0032,0.0874,0.5716,1.0626,sell
2021-09-28,272.6141,43186200,278.6525,279.5948,271.8737,-0.0362,-0.0383,-0.0543,-0.0467,-0.0357,31.9490,0.0164,-0.0017,-0.0061,-0.2985,0.8321,1.8357,hold
2021-09-29,273.0757,26353700,274.1333,275.7391,272.1237,0.0017,-0.0488,-0.0683,-0.0384,-0.0345,34.8572,0.0148,-0.0050,-0.0075,-0.1049,-0.3898,1.1201,sell
2021-09-30,271.0757,32343600,274.7198,276.7583,270.7872,-0.0073,-0.0589,-0.0763,-0.0378,-0.0416,34.4322,0.0145,-0.0081,-0.0085,-0.0627,0.2273,1.3367,buy
2021-10-01,277.9795,30086300,271.2680,278.8256,270.4699,0.0255,-0.0342,-0.0359,-0.0097,-0.0174,42.1399,0.0174,-0.0082,-0.0069,0.2397,-0.0698,1.2089,sell
2021-10-04,272.2198,31350700,276.3448,276.6814,269.4699,-0.0207,-0.0376,-0.0380,-0.0265,-0.0374,34.3762,0.0176,-0.0102,-0.0071,0.0785,0.0420,1.2191,buy
2021-10-05,277.6525,24993000,273.1237,279.2294,273.1237,0.0200,0.0185,-0.0205,-0.0050,-0.0182,35.1298,0.0191,-0.0097,-0.0053,0.2977,-0.2028,0.9573,buy
2021-10-06,281.8352,28002600,274.7872,282.3353,274.5276,0.0151,0.0321,-0.0183,0.0119,-0.0039,39.5514,0.0193,-0.0080,-0.0030,0.4614,0.1204,1.0466,buy
2021-10-07,283.5083,20430500,283.8256,285.2295,282.6141,0.0059,0.0459,-0.0157,0.0196,0.0014,45.3810,0.0194,-0.0062,-0.0010,0.5276,-0.2704,0.7629,hold
2021-10-08,283.5083,17685700,284.8256,285.2295,282.4602,0.0000,0.0199,-0.0150,0.0212,0.0008,50.5639,0.0194,-0.0048,0.0004,0.5292,-0.1343,0.6628,hold
2021-10-11,282.9122,19298600,281.6526,286.5083,281.4891,-0.0021,0.0393,0.0002,0.0190,-0.0020,49.4171,0.0186,-0.0038,0.0011,0.5120,0.0912,0.7292,hold
2021-10-12,281.6141,17974100,283.9795,284.0756,281.1045,-0.0046,0.0143,0.0330,0.0110,-0.0071,43.8658,0.0138,-0.0034,0.0013,0.4754,-0.0686,0.6842,buy
2021-10-13,284.9121,23416300,283.5659,285.8448,282.2005,0.0117,0.0109,0.0433,0.0186,0.0038,46.6775,0.0140,-0.0020,0.0021,0.6258,0.3028,0.8998,buy
2021-10-14,291.1044,27262900,287.7006,291.6044,286.3737,0.0217,0.0268,0.0739,0.0333,0.0245,53.0830,0.0143,0.0008,0.0038,0.8995,0.1643,1.0323,buy
2021-10-15,292.5082,25384800,290.7102,292.7390,288.9602,0.0048,0.0317,0.0523,0.0330,0.0284,59.7627,0.0128,0.0033,0.0050,0.9276,-0.0689,0.9912,buy
2021-10-18,295.4698,22729300,291.8929,296.3544,291.0467,0.0101,0.0444,0.0854,0.0349,0.0375,77.1037,0.0091,0.0060,0.0061,0.9689,-0.1046,0.9153,buy
2021-10-19,296.3736,17682100,296.4890,297.4024,295.4025,0.0031,0.0524,0.0674,0.0313,0.0392,77.3414,0.0082,0.0082,0.0067,0.9363,-0.2221,0.7188,sell
2021-10-20,295.5852,16537100,297.3159,297.7871,294.3352,-0.0027,0.0375,0.0488,0.0237,0.0350,79.6051,0.0080,0.0097,0.0066,0.8735,-0.0648,0.6863,buy
2021-10-21,298.8063,16918100,295.3544,299.0563,294.5756,0.0109,0.0265,0.0540,0.0294,0.0445,77.6134,0.0083,0.0115,0.0067,0.9231,0.0230,0.7046,sell
2021-10-22,297.2679,17449300,298.4601,299.1236,295.9602,-0.0051,0.0163,0.0485,0.0192,0.0378,87.3959,0.0088,0.0126,0.0062,0.8467,0.0314,0.7231,sell
2021-10-25,296.2775,17554500,297.4601,297.4986,294.6717,-0.0033,0.0027,0.0472,0.0112,0.0332,82.0589,0.0089,0.0129,0.0052,0.7900,0.0060,0.7366,buy
2021-10-26,298.1813,28107300,299.0371,300.3832,296.7294,0.0064,0.0061,0.0588,0.0120,0.0387,80.5316,0.0083,0.0135,0.0047,0.8091,0.6011,1.2179,buy
2021-10-27,310.7390,52588700,303.8447,313.5562,303.8447,0.0421,0.0513,0.0906,0.0454,0.0802,86.1593,0.0142,0.0165,0.0064,1.0427,0.8710,2.1562,hold
2021-10-28,311.8736,26297900,311.8544,312.3736,308.9986,0.0037,0.0437,0.0713,0.0420,0.0818,86.5642,0.0135,0.0193,0.0074,1.0008,-0.4999,1.0918,buy
2021-10-29,318.8639,34766000,311.6620,319.2293,311.4408,0.0224,0.0726,0.0901,0.0560,0.1034,89.7850,0.0143,0.0226,0.0088,1.0493,0.3220,1.4294,sell
2021-11-01,316.7004,27073200,318.6139,318.7389,313.8158,-0.0068,0.0689,0.0719,0.0415,0.0941,88.0977,0.0151,0.0249,0.0088,0.9519,-0.2213,1.1230,buy
2021-11-02,320.3159,26487100,317.6043,320.6236,317.3063,0.0114,0.0742,0.0808,0.0452,0.1045,88.1792,0.0151,0.0269,0.0088,0.9609,-0.0216,1.0953,hold
2021-11-03,321.1523,21500100,321.0562,322.0177,317.9312,0.0026,0.0335,0.0865,0.0393,0.1051,86.6353,0.0148,0.0285,0.0084,0.9197,-0.1883,0.9012,buy
2021-11-04,323.4985,23992200,320.0850,323.5946,316.8351,0.0073,0.0373,0.0826,0.0386,0.1107,86.9355,0.0147,0.0299,0.0079,0.9089,0.1159,0.9982,hold
2021-11-05,323.1331,22570100,325.4889,325.7581,321.5562,-0.0011,0.0134,0.0870,0.0288,0.1067,85.1454,0.0144,0.0307,0.0070,0.8608,-0.0593,0.9296,hold
2021-11-08,324.0273,20897000,324.3254,324.6620,321.5754,0.0028,0.0231,0.0937,0.0227,0.1070,85.1418,0.0140,0.0311,0.0059,0.8418,-0.0741,0.8579,hold
2021-11-09,323.0273,21307400,324.1427,325.6908,321.6620,-0.0031,0.0085,0.0833,0.0116,0.1013,84.6865,0.0145,0.0310,0.0046,0.7992,0.0196,0.8688,sell
2021-11-10,318.0754,25500900,321.7004,321.7581,317.2293,-0.0153,-0.0096,0.0236,-0.0062,0.0824,73.3349,0.0103,0.0297,0.0023,0.6878,0.1968,1.0353,buy
2021-11-11,319.6427,16849800,318.5081,320.9312,317.7966,0.0049,-0.0119,0.0249,-0.0037,0.0855,77.0771,0.0103,0.0282,0.0008,0.6983,-0.3392,0.6989,buy
2021-11-12,323.7677,23831000,321.0754,324.2581,320.9504,0.0129,0.0020,0.0154,0.0076,0.0970,80.9215,0.0085,0.0276,0.0004,0.7595,0.4143,0.9916,hold
2021-11-15,323.1428,16723000,324.5562,324.8832,321.1813,-0.0019,-0.0027,0.0203,0.0036,0.0924,78.9089,0.0081,0.0269,-0.0003,0.7239,-0.2983,0.7047,buy
2021-11-16,326.4504,20886800,322.7677,327.5658,322.6043,0.0102,0.0106,0.0192,0.0120,0.1007,73.1578,0.0080,0.0265,-0.0003,0.7719,0.2490,0.8742,hold
2021-11-17,326.6720,19053400,326.4986,329.6293,325.5931,0.0007,0.0270,0.0172,0.0109,0.0987,72.4153,0.0080,0.0262,-0.0005,0.7565,-0.0878,0.7933,buy
2021-11-18,328.7430,22463500,325.7665,329.8798,324.7454,0.0063,0.0285,0.0162,0.0157,0.1025,67.5846,0.0079,0.0260,-0.0004,0.7835,0.1790,0.9246,buy
2021-11-19,330.5154,21963400,330.0627,332.4324,329.6389,0.0054,0.0208,0.0228,0.0188,0.1050,74.9375,0.0079,0.0260,-0.0002,0.8130,-0.0223,0.8957,sell
2021-11-22,327.3560,31031100,331.9701,336.8348,327.0862,-0.0096,0.0130,0.0103,0.0081,0.0914,62.9208,0.0088,0.0253,-0.0010,0.7227,0.4129,1.2317,sell
2021-11-23,325.2848,30427600,324.6779,326.9899,321.3161,-0.0063,-0.0036,0.0070,0.0010,0.0818,57.2556,0.0090,0.0239,-0.0020,0.6523,-0.0194,1.2022,hold
2021-11-24,325.5064,21661300,323.9362,325.7472,321.6532,0.0007,-0.0036,0.0234,-0.0006,0.0802,53.8096,0.0070,0.0224,-0.0028,0.6476,-0.2881,0.9115,sell
2021-11-26,317.5784,24217200,322.0770,325.5256,316.0757,-0.0244,-0.0340,-0.0065,-0.0243,0.0522,41.8111,0.0109,0.0196,-0.0050,0.1350,0.1180,1.0235,buy
2021-11-29,324.2733,28563500,322.6453,326.5852,322.4527,0.0211,-0.0189,0.0016,-0.0039,0.0718,50.3097,0.0122,0.0180,-0.0049,0.5561,0.1795,1.2233,sell
