date,close,volume,open,high,low
07/02/2026,$422.66,"549,682",$422.08,$424.49,$419.1001
07/01/2026,$418.94,"948,390",$414.35,$422.54,$413.50
06/30/2026,$415.29,"1,459,158",$411.41,$418.99,$408.08
06/29/2026,$412.60,"1,329,220",$403.02,$417.00,$401.145
06/26/2026,$402.89,"1,304,153",$396.39,$403.6399,$395.09
06/25/2026,$397.01,"1,080,935",$398.98,$408.80,$396.66
06/24/2026,$400.60,"1,204,812",$390.30,$403.46,$389.02
06/23/2026,$389.44,"966,584",$391.80,$395.81,$389.41
06/22/2026,$392.23,"1,512,648",$397.03,$401.23,$390.605
06/18/2026,$395.17,"2,444,915",$400.60,$400.60,$392.4201
06/17/2026,$400.70,"1,339,201",$403.29,$407.2139,$397.50
06/16/2026,$404.93,"1,025,417",$410.67,$416.455,$401.97
06/15/2026,$411.72,"1,345,350",$412.99,$415.00,$408.29
06/12/2026,$412.25,"602,521",$413.13,$413.83,$407.77
06/11/2026,$410.35,"994,460",$411.44,$413.99,$403.99
06/10/2026,$411.64,"1,089,243",$415.00,$418.9699,$411.62
06/09/2026,$414.07,"1,087,092",$405.73,$415.61,$403.66
06/08/2026,$406.80,"1,165,641",$408.70,$410.07,$401.62
06/05/2026,$410.34,"910,372",$411.23,$412.90,$407.45
06/04/2026,$410.72,"783,647",$412.78,$416.338,$410.08
06/03/2026,$408.39,"922,285",$413.45,$416.205,$408.27
06/02/2026,$415.42,"888,795",$414.57,$417.01,$406.00
06/01/2026,$411.58,"1,067,397",$407.00,$415.561,$405.20
05/29/2026,$403.28,"2,105,684",$409.72,$411.40,$401.85
05/28/2026,$411.54,"1,141,335",$408.78,$416.55,$405.13
05/27/2026,$408.71,"705,000",$410.39,$413.08,$407.555
05/26/2026,$410.48,"1,354,788",$403.05,$413.4099,$401.04
05/22/2026,$404.08,"957,116",$402.37,$407.085,$399.85
05/21/2026,$400.24,"1,589,711",$393.78,$400.96,$390.8001
05/20/2026,$395.92,"1,259,965",$398.06,$403.77,$392.46
05/19/2026,$398.73,"1,091,003",$409.98,$411.69,$398.19
05/18/2026,$410.27,"1,971,400",$397.35,$411.01,$395.195
05/15/2026,$393.28,"1,176,620",$396.80,$400.08,$391.31
05/14/2026,$399.33,"975,053",$402.00,$403.505,$392.35
05/13/2026,$397.89,"1,368,509",$390.90,$400.14,$386.79
05/12/2026,$391.39,"1,663,455",$396.10,$400.27,$390.895
05/11/2026,$392.17,"2,008,971",$389.34,$399.60,$388.60
05/08/2026,$383.99,"3,101,642",$417.00,$424.40,$381.25
05/07/2026,$433.20,"1,121,080",$430.95,$435.94,$429.78
05/06/2026,$433.66,"1,441,571",$435.01,$436.905,$426.70
05/05/2026,$438.00,"851,708",$437.99,$444.24,$436.03
05/04/2026,$437.59,"746,273",$434.65,$440.89,$433.5018
05/01/2026,$435.90,"618,133",$440.99,$441.95,$435.88
04/30/2026,$439.03,"1,155,558",$430.22,$440.815,$428.32
04/29/2026,$429.23,"922,843",$434.57,$437.13,$424.0517
