date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,88.3671,5958600,89.0579,89.3649,88.0175,-0.0021,-0.0115,-0.0021,-0.0061,0.0559,65.7782,0.0076,0.0148,-0.0036,0.5391,-0.0304,0.9006,buy
2021-09-13,89.0323,6112200,88.5548,89.1347,88.0260,0.0075,0.0014,-0.0100,0.0024,0.0611,62.9330,0.0060,0.0141,-0.0033,0.6701,0.0258,0.9394,sell
2021-09-14,86.9089,8400600,88.9897,89.8851,86.6957,-0.0239,-0.0218,-0.0209,-0.0195,0.0336,44.2270,0.0088,0.0119,-0.0048,0.2599,0.3744,1.2729,buy
2021-09-15,87.8725,6691900,87.1220,88.1283,86.8236,0.0111,-0.0051,-0.0133,-0.0073,0.0422,44.9274,0.0096,0.0105,-0.0048,0.4496,-0.2034,1.0125,sell
2021-09-16,87.3864,5881600,88.2733,88.8362,86.7724,-0.0055,-0.0132,-0.0176,-0.0110,0.0337,43.5800,0.0097,0.0090,-0.0051,0.3353,-0.1211,0.9032,sell
2021-09-17,86.7724,17485600,87.0965,88.5974,86.4825,-0.0070,-0.0180,-0.0294,-0.0150,0.0233,31.0840,0.0095,0.0072,-0.0056,0.1316,1.9729,2.5513,sell
2021-09-20,84.1117,15443800,84.2140,84.6404,82.6107,-0.0307,-0.0553,-0.0539,-0.0400,-0.0098,26.3433,0.0130,0.0033,-0.0079,-0.2997,-0.1168,2.1153,hold
2021-09-21,83.8302,8985600,84.7939,85.0497,83.5318,-0.0033,-0.0354,-0.0564,-0.0377,-0.0144,23.4174,0.0129,-0.0002,-0.0092,-0.1583,-0.4182,1.2015,buy
2021-09-22,85.9622,9497700,84.7939,86.8321,84.7939,0.0254,-0.0217,-0.0267,-0.0106,0.0090,37.3832,0.0162,-0.0010,-0.0078,0.2047,0.0570,1.2356,buy
2021-09-23,88.3074,6087900,86.7809,88.6827,86.6445,0.0273,0.0105,-0.0028,0.0167,0.0341,46.0347,0.0188,0.0006,-0.0048,0.5632,-0.3590,0.7896,sell
2021-09-24,87.7617,5529300,88.1710,88.8021,87.6764,-0.0062,0.0114,-0.0069,0.0111,0.0255,45.8642,0.0189,0.0014,-0.0033,0.4861,-0.0918,0.7235,buy
2021-09-27,89.6293,8195200,88.5633,90.1921,88.5462,0.0213,0.0656,0.0067,0.0320,0.0443,52.5108,0.0200,0.0036,-0.0008,0.7768,0.4821,1.0564,sell
2021-09-28,87.0197,14183500,88.9215,90.3542,86.7468,-0.0291,0.0380,0.0013,0.0018,0.0112,46.3168,0.0208,0.0030,-0.0012,0.3868,0.7307,1.7417,sell
2021-09-29,84.8962,11543000,86.2010,86.6530,84.5210,-0.0244,-0.0124,-0.0339,-0.0193,-0.0150,40.6698,0.0217,0.0005,-0.0030,0.1111,-0.1862,1.3807,sell
2021-09-30,82.9860,12258400,85.4762,85.6041,82.0820,-0.0225,-0.0603,-0.0504,-0.0365,-0.0376,37.3851,0.0226,-0.0033,-0.0056,-0.0470,0.0620,1.4115,buy
2021-10-01,84.4699,7912700,83.5147,85.2033,82.7728,0.0179,-0.0375,-0.0265,-0.0166,-0.0212,39.6996,0.0237,-0.0048,-0.0056,0.1794,-0.3545,0.8997,sell
2021-10-04,82.8496,9482100,84.4699,85.7150,82.6961,-0.0192,-0.0756,-0.0150,-0.0341,-0.0406,40.6226,0.0224,-0.0077,-0.0068,0.0469,0.1983,1.0643,buy
2021-10-05,84.5978,8850300,83.7620,85.0498,83.1224,0.0211,-0.0278,0.0092,-0.0146,-0.0210,42.6996,0.0235,-0.0079,-0.0056,0.2765,-0.0666,0.9820,hold
2021-10-06,84.5125,6912700,83.7620,84.8195,82.9092,-0.0010,-0.0045,-0.0169,-0.0139,-0.0226,43.4765,0.0218,-0.0082,-0.0047,0.2887,-0.2189,0.7615,hold
2021-10-07,84.2567,7959600,85.7576,86.0646,84.1629,-0.0030,0.0153,-0.0459,-0.0122,-0.0263,44.1952,0.0194,-0.0086,-0.0041,0.2813,0.1514,0.8681,buy
2021-10-08,85.3141,5301100,84.4443,85.8684,83.9070,0.0126,0.0100,-0.0279,0.0031,-0.0148,52.9962,0.0201,-0.0077,-0.0026,0.4243,-0.3340,0.5803,sell
2021-10-11,82.9689,7003900,85.3482,85.8599,82.9007,-0.0275,0.0014,-0.0743,-0.0168,-0.0421,48.0539,0.0196,-0.0094,-0.0033,0.1648,0.3212,0.7629,hold
2021-10-12,83.3868,7913300,82.9689,84.1884,82.4572,0.0050,-0.0143,-0.0417,-0.0076,-0.0376,43.6926,0.0183,-0.0100,-0.0032,0.2445,0.1298,0.8643,buy
2021-10-13,84.0605,10170900,83.6768,84.5807,82.4487,0.0081,-0.0053,-0.0098,0.0014,-0.0302,38.6715,0.0171,-0.0097,-0.0024,0.3471,0.2853,1.0901,buy
2021-10-14,86.1413,14766800,86.3204,86.6274,83.4124,0.0248,0.0224,0.0380,0.0224,-0.0071,46.0050,0.0170,-0.0073,-0.0001,0.6250,0.4519,1.5108,buy
2021-10-15,87.1050,11678100,87.3779,88.0260,86.8577,0.0112,0.0210,0.0312,0.0306,0.0032,43.4859,0.0165,-0.0045,0.0021,0.7476,-0.2092,1.2314,sell
