date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,71.6726,18240600,71.9359,73.7496,71.6336,0.0086,-0.0066,0.0100,0.0005,-0.0272,64.9589,0.0104,-0.0084,0.0033,0.6890,0.2461,1.0490,buy
2021-09-13,72.5014,15796700,72.7062,73.3498,71.6921,0.0116,0.0073,0.0047,0.0116,-0.0144,62.7070,0.0096,-0.0065,0.0040,0.8080,-0.1340,0.9340,sell
2021-09-14,71.6628,13945100,71.9554,72.2772,71.0973,-0.0116,-0.0020,0.0045,-0.0006,-0.0241,56.9330,0.0096,-0.0060,0.0037,0.6367,-0.1172,0.8349,buy
2021-09-15,71.9846,15258800,71.1362,72.0919,69.9758,0.0045,0.0214,0.0016,0.0037,-0.0178,48.7991,0.0094,-0.0052,0.0037,0.6777,0.0942,0.9198,buy
2021-09-16,72.7745,12867700,71.4776,73.0963,70.9705,0.0110,0.0242,0.0123,0.0135,-0.0061,60.6898,0.0100,-0.0035,0.0042,0.8102,-0.1567,0.7783,sell
2021-09-17,72.4527,20449600,72.5600,72.6477,71.4971,-0.0044,0.0109,0.0042,0.0086,-0.0097,51.9231,0.0101,-0.0026,0.0041,0.7344,0.5892,1.2279,sell
2021-09-20,70.5707,23228300,70.7950,70.9510,69.4200,-0.0260,-0.0266,-0.0195,-0.0157,-0.0338,45.5567,0.0132,-0.0040,0.0023,0.1840,0.1359,1.3596,hold
2021-09-21,70.3464,16026800,71.1070,71.3118,69.8783,-0.0032,-0.0184,-0.0204,-0.0168,-0.0350,40.9090,0.0132,-0.0053,0.0008,0.0884,-0.3100,0.9555,buy
2021-09-22,72.1309,16996100,71.2240,72.7257,70.8340,0.0254,0.0020,0.0235,0.0058,-0.0093,51.2031,0.0143,-0.0041,0.0015,0.6557,0.0605,1.0166,hold
2021-09-23,72.1992,17304500,71.7798,72.9305,71.4288,0.0009,-0.0079,0.0161,0.0051,-0.0072,50.2454,0.0142,-0.0031,0.0020,0.6802,0.0181,1.0983,hold
2021-09-24,72.2089,14804300,71.4776,72.6477,71.2533,0.0001,-0.0034,0.0075,0.0045,-0.0063,51.1978,0.0139,-0.0023,0.0022,0.6646,-0.1445,0.9563,buy
2021-09-27,73.3108,18435200,71.8189,73.9934,71.6823,0.0153,0.0388,0.0112,0.0187,0.0089,57.0127,0.0143,-0.0004,0.0032,0.9911,0.2453,1.1778,sell
2021-09-28,71.2825,27311500,72.6477,73.1255,71.2435,-0.0277,0.0133,-0.0053,-0.0089,-0.0187,53.5501,0.0166,-0.0012,0.0020,0.3249,0.4815,1.6676,sell
2021-09-29,69.8588,38169200,69.3908,71.4970,68.4741,-0.0200,-0.0315,-0.0295,-0.0259,-0.0373,45.0995,0.0176,-0.0035,-0.0001,-0.0287,0.3976,2.1754,sell
2021-09-30,69.3120,16923300,70.5033,70.8939,69.1948,-0.0078,-0.0400,-0.0476,-0.0288,-0.0433,40.3020,0.0169,-0.0059,-0.0020,-0.0535,-0.5566,0.9566,hold
2021-10-01,69.3218,17813800,69.6635,69.8881,68.4527,0.0001,-0.0400,-0.0432,-0.0244,-0.0420,35.9942,0.0170,-0.0076,-0.0030,0.0322,0.0526,0.9984,sell
2021-10-04,68.9605,19525700,68.9409,69.8881,68.7066,-0.0052,-0.0593,-0.0228,-0.0273,-0.0456,37.5741,0.0152,-0.0094,-0.0038,0.0349,0.0961,1.0637,hold
2021-10-05,68.8433,14512100,69.5366,69.5366,67.9742,-0.0017,-0.0342,-0.0214,-0.0269,-0.0458,35.2788,0.0152,-0.0108,-0.0042,0.0771,-0.2568,0.7852,sell
2021-10-06,68.2964,17899300,68.1597,68.7261,67.4078,-0.0079,-0.0224,-0.0532,-0.0293,-0.0523,28.5254,0.0118,-0.0125,-0.0046,0.0426,0.2334,0.9671,buy
2021-10-07,68.8823,15236100,68.7456,69.9858,68.4722,0.0086,-0.0062,-0.0459,-0.0164,-0.0429,33.3012,0.0125,-0.0128,-0.0040,0.1749,-0.1488,0.8219,sell
2021-10-08,68.4722,13666200,69.2632,69.2729,68.0621,-0.0060,-0.0123,-0.0517,-0.0170,-0.0468,38.6182,0.0124,-0.0136,-0.0038,0.1530,-0.1030,0.7464,sell
2021-10-11,67.5933,12700200,68.2574,68.7065,67.5543,-0.0128,-0.0198,-0.0780,-0.0216,-0.0569,36.0579,0.0103,-0.0151,-0.0042,0.0804,-0.0707,0.6996,sell
2021-10-12,65.1521,36911700,67.7593,67.7984,64.1268,-0.0361,-0.0536,-0.0860,-0.0484,-0.0883,16.8621,0.0122,-0.0197,-0.0066,-0.1023,1.9064,1.9123,sell
2021-10-13,64.8201,17532400,65.1716,65.8356,64.6736,-0.0051,-0.0509,-0.0721,-0.0463,-0.0894,15.8177,0.0116,-0.0231,-0.0080,-0.0300,-0.5250,0.9030,buy
2021-10-14,66.2067,15541600,65.6989,66.4801,65.2400,0.0214,-0.0388,-0.0448,-0.0214,-0.0663,25.3412,0.0147,-0.0232,-0.0067,0.1550,-0.1135,0.7950,hold
2021-10-15,66.0895,11786100,66.4899,66.8512,65.8942,-0.0018,-0.0348,-0.0466,-0.0184,-0.0644,17.7213,0.0147,-0.0236,-0.0057,0.1775,-0.2416,0.6165,sell
2021-10-18,65.6794,11849300,65.4353,66.0407,64.7322,-0.0062,-0.0283,-0.0476,-0.0198,-0.0665,20.7185,0.0147,-0.0242,-0.0050,0.1737,0.0054,0.6389,buy
2021-10-19,65.9821,16930300,65.7868,66.2946,65.0740,0.0046,0.0127,-0.0416,-0.0110,-0.0589,27.0520,0.0150,-0.0239,-0.0038,0.2322,0.4288,0.9106,buy
