date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,59.8720,39508000,59.8160,60.9450,59.3670,0.0020,0.0173,0.0883,0.0209,0.1094,81.6716,0.0121,0.0330,0.0071,0.8081,0.3374,1.1368,sell
2021-09-13,58.9290,30629000,59.8570,59.8570,58.2780,-0.0158,-0.0021,0.0543,-0.0003,0.0897,71.1978,0.0140,0.0320,0.0045,0.7091,-0.2247,0.8702,sell
2021-09-14,57.7760,34570000,58.4890,58.7280,57.5560,-0.0196,-0.0477,0.0205,-0.0218,0.0666,62.6467,0.0157,0.0295,0.0011,0.5889,0.1287,0.9627,buy
2021-09-15,58.2870,27556000,57.8170,58.4620,57.5370,0.0088,-0.0382,0.0240,-0.0154,0.0744,68.4668,0.0158,0.0271,-0.0008,0.6184,-0.2029,0.7627,buy
2021-09-16,58.6500,18320000,58.4300,58.7480,57.7720,0.0062,-0.0185,0.0076,-0.0100,0.0791,68.8224,0.0143,0.0255,-0.0018,0.6394,-0.3352,0.5124,buy
2021-09-17,58.9350,41451000,58.7850,59.0280,58.0850,0.0049,-0.0157,0.0014,-0.0054,0.0820,66.7769,0.0139,0.0243,-0.0023,0.6543,1.2626,1.2163,sell
2021-09-20,57.5430,37322000,58.6790,59.1530,56.8080,-0.0236,-0.0235,-0.0256,-0.0264,0.0549,54.7509,0.0157,0.0218,-0.0043,0.4586,-0.0996,1.0959,hold
2021-09-21,57.3140,22509000,57.8310,58.1880,56.9370,-0.0040,-0.0080,-0.0553,-0.0247,0.0494,52.0439,0.0117,0.0190,-0.0058,0.4101,-0.3969,0.6643,buy
2021-09-22,59.0650,40218000,57.9690,59.5650,57.9690,0.0306,0.0133,-0.0254,0.0077,0.0795,54.2366,0.0164,0.0183,-0.0046,0.6390,0.7868,1.1544,hold
2021-09-23,59.3260,25262000,59.0790,59.9320,58.9130,0.0044,0.0115,-0.0072,0.0129,0.0824,52.4181,0.0160,0.0183,-0.0036,0.6616,-0.3719,0.7204,hold
2021-09-24,59.2390,21262000,59.2500,59.2980,58.3640,-0.0015,0.0052,-0.0106,0.0125,0.0789,50.9659,0.0160,0.0180,-0.0031,0.6305,-0.1583,0.6017,hold
2021-09-27,59.2640,25047000,58.7950,59.3580,57.6930,0.0004,0.0299,0.0057,0.0124,0.0769,41.2446,0.0151,0.0176,-0.0028,0.6172,0.1780,0.7165,sell
2021-09-28,58.3850,44311000,58.9000,59.9540,58.0160,-0.0148,0.0187,0.0105,-0.0037,0.0590,37.4548,0.0144,0.0162,-0.0036,0.3877,0.7691,1.2323,buy
2021-09-29,59.9060,62210000,58.9010,60.9880,58.8010,0.0261,0.0142,0.0278,0.0195,0.0839,50.7985,0.0164,0.0163,-0.0024,0.7527,0.4039,1.6435,buy
2021-09-30,61.0340,66126000,60.8050,61.9000,60.8050,0.0188,0.0288,0.0406,0.0345,0.1004,55.5186,0.0171,0.0177,-0.0005,0.9765,0.0629,1.7245,hold
2021-10-01,61.3150,40908000,60.4240,61.4990,59.7510,0.0046,0.0350,0.0404,0.0350,0.1015,62.0920,0.0171,0.0191,0.0008,0.9648,-0.3814,1.0967,sell
2021-10-04,60.3350,49959000,61.3390,62.6130,59.4680,-0.0160,0.0181,0.0485,0.0137,0.0804,63.2002,0.0159,0.0191,0.0004,0.7252,0.2213,1.2990,buy
2021-10-05,63.4810,95343000,60.6940,64.0390,60.6890,0.0521,0.0873,0.1076,0.0556,0.1320,71.0658,0.0214,0.0217,0.0031,1.1967,0.9084,2.3650,buy
2021-10-06,63.9100,45804000,62.8180,63.9870,62.6360,0.0068,0.0668,0.0820,0.0543,0.1348,71.2199,0.0202,0.0245,0.0049,1.1158,-0.5196,1.1482,sell
2021-10-07,63.1850,35569000,64.2230,64.6840,63.0450,-0.0113,0.0352,0.0650,0.0357,0.1174,66.5576,0.0211,0.0260,0.0049,0.9429,-0.2235,0.8849,hold
2021-10-08,63.2660,32721000,63.4170,64.3800,63.0860,0.0013,0.0318,0.0680,0.0303,0.1142,74.8329,0.0210,0.0267,0.0045,0.8997,-0.0801,0.8210,sell
2021-10-11,62.7040,28625000,63.3200,63.9420,62.6780,-0.0089,0.0393,0.0580,0.0154,0.1001,72.7311,0.0215,0.0265,0.0033,0.7986,-0.1252,0.7200,hold
2021-10-12,62.4940,32273000,63.3020,63.7660,62.1990,-0.0033,-0.0155,0.0704,0.0053,0.0922,66.6214,0.0206,0.0257,0.0019,0.7483,0.1274,0.8142,buy
2021-10-13,62.9760,24203000,63.2180,63.2180,62.2100,0.0077,-0.0146,0.0512,0.0081,0.0960,67.3216,0.0195,0.0251,0.0012,0.7754,-0.2501,0.6132,buy
2021-10-14,63.3800,26717000,63.2230,63.6880,62.6790,0.0064,0.0031,0.0384,0.0108,0.0986,69.0777,0.0189,0.0249,0.0009,0.7905,0.1039,0.6697,sell
2021-10-15,62.8290,41169000,63.8000,63.9420,62.5160,-0.0087,-0.0069,0.0247,-0.0004,0.0852,65.6648,0.0193,0.0240,-0.0001,0.7054,0.5409,1.0324,buy
2021-10-18,63.7970,46691000,63.2100,63.8410,62.0590,0.0154,0.0174,0.0574,0.0094,0.0974,73.5961,0.0185,0.0238,0.0000,0.7921,0.1341,1.1573,hold
2021-10-19,63.9000,76331000,63.6970,64.1000,63.2300,0.0016,0.0225,0.0066,0.0104,0.0947,69.8707,0.0087,0.0237,-0.0000,0.7868,0.6348,1.7736,sell
2021-10-20,62.5140,106220000,62.5570,63.7400,61.7150,-0.0217,-0.0073,-0.0218,-0.0094,0.0670,57.1789,0.0109,0.0222,-0.0017,0.5890,0.3916,2.2923,buy
