date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,150.8500,4252100,151.4586,152.7588,150.7117,0.0015,-0.0005,-0.0183,-0.0038,-0.0114,38.3410,0.0097,-0.0071,-0.0044,0.2654,-0.4947,0.9090,sell
2021-09-13,147.0970,8814500,148.9781,150.2322,145.9996,-0.0249,-0.0231,-0.0481,-0.0238,-0.0362,23.8518,0.0117,-0.0092,-0.0052,0.0220,1.0730,1.7734,sell
2021-09-14,146.3962,5323900,146.7743,146.9771,144.8378,-0.0048,-0.0239,-0.0552,-0.0229,-0.0407,21.9056,0.0114,-0.0111,-0.0056,0.0234,-0.3960,1.0521,sell
2021-09-15,145.6124,6827100,145.2343,145.9905,143.5468,-0.0054,-0.0174,-0.0415,-0.0240,-0.0456,21.1347,0.0103,-0.0129,-0.0059,0.0300,0.2823,1.3075,hold
2021-09-16,145.3265,5085900,145.3173,146.6267,144.9576,-0.0020,-0.0351,-0.0423,-0.0217,-0.0472,24.2675,0.0103,-0.0143,-0.0059,0.0718,-0.2550,0.9778,sell
2021-09-17,144.2384,7944800,145.6585,148.4617,143.9157,-0.0075,-0.0438,-0.0443,-0.0247,-0.0539,18.6867,0.0103,-0.0159,-0.0059,0.0649,0.5621,1.5186,sell
2021-09-20,142.2374,7041200,141.7579,143.1779,140.4577,-0.0139,-0.0330,-0.0554,-0.0328,-0.0663,14.7389,0.0107,-0.0183,-0.0065,0.0213,-0.1137,1.3083,buy
2021-09-21,142.9474,5857900,143.0120,143.9710,141.6196,0.0050,-0.0236,-0.0469,-0.0233,-0.0609,21.4453,0.0112,-0.0193,-0.0061,0.1089,-0.1681,1.0680,buy
2021-09-22,145.1790,6844800,144.5796,145.6954,143.4823,0.0156,-0.0030,-0.0203,-0.0060,-0.0458,31.5163,0.0126,-0.0184,-0.0043,0.2594,0.1685,1.2071,buy
2021-09-23,147.1523,11981500,146.3500,147.8070,145.9443,0.0136,0.0126,-0.0230,0.0099,-0.0326,40.0293,0.0121,-0.0164,-0.0020,0.3978,0.7505,1.9580,sell
2021-09-24,137.9403,26913300,139.2774,140.0243,136.4741,-0.0626,-0.0437,-0.0856,-0.0448,-0.0919,27.2576,0.0225,-0.0211,-0.0046,-0.0787,1.2462,3.7063,sell
2021-09-27,136.5110,11479300,137.8665,138.2354,135.8194,-0.0104,-0.0403,-0.0720,-0.0477,-0.1000,26.4668,0.0218,-0.0249,-0.0065,-0.0565,-0.5735,1.4938,sell
2021-09-28,133.9844,10692300,135.8655,136.0407,133.7077,-0.0185,-0.0627,-0.0848,-0.0572,-0.1153,25.7932,0.0220,-0.0293,-0.0085,-0.0793,-0.0686,1.3295,hold
2021-09-29,134.6483,7794900,134.3625,136.4188,134.3440,0.0050,-0.0725,-0.0753,-0.0452,-0.1095,21.0563,0.0224,-0.0316,-0.0087,0.0294,-0.2710,0.9677,hold
2021-09-30,133.9199,10133600,134.5192,135.9946,133.1729,-0.0054,-0.0899,-0.0785,-0.0426,-0.1126,19.8622,0.0224,-0.0337,-0.0086,0.0605,0.3000,1.2170,buy
2021-10-01,135.6073,8112300,133.9106,136.4741,133.1268,0.0126,-0.0169,-0.0598,-0.0245,-0.0996,27.9235,0.0233,-0.0334,-0.0069,0.1696,-0.1995,0.9543,hold
2021-10-04,135.6811,7951000,135.6073,136.1237,134.4085,0.0005,-0.0061,-0.0461,-0.0193,-0.0971,28.9034,0.0232,-0.0331,-0.0053,0.2037,-0.0199,0.9155,buy
2021-10-05,137.8204,10881900,136.4741,139.2405,136.3081,0.0158,0.0286,-0.0359,-0.0002,-0.0811,35.4361,0.0239,-0.0307,-0.0027,0.3145,0.3686,1.2163,hold
2021-10-06,137.2118,7610700,136.4741,137.8204,136.0223,-0.0044,0.0190,-0.0549,0.0012,-0.0834,35.0137,0.0230,-0.0294,-0.0010,0.3089,-0.3006,0.8458,buy
2021-10-07,140.0243,7958000,138.5950,141.6933,138.5581,0.0205,0.0456,-0.0484,0.0271,-0.0631,42.6833,0.0237,-0.0258,0.0017,0.4527,0.0456,0.8867,hold
2021-10-08,140.6052,6333700,140.3655,140.9648,138.9362,0.0041,0.0369,0.0193,0.0293,-0.0575,47.0192,0.0122,-0.0227,0.0037,0.5052,-0.2041,0.6976,sell
2021-10-11,138.5765,5551200,140.1533,141.6287,138.3736,-0.0144,0.0213,0.0151,0.0129,-0.0692,42.3842,0.0127,-0.0215,0.0042,0.4160,-0.1235,0.6226,buy
2021-10-12,141.4075,7408600,140.5499,141.6380,139.5171,0.0204,0.0260,0.0554,0.0280,-0.0484,43.5631,0.0118,-0.0181,0.0057,0.5929,0.3346,0.8213,buy
2021-10-13,144.1278,8456300,142.3020,144.4689,141.2323,0.0192,0.0504,0.0704,0.0406,-0.0283,44.9663,0.0125,-0.0138,0.0077,0.7634,0.1414,0.9291,buy
2021-10-14,144.9023,6024500,145.8613,146.1195,144.0816,0.0054,0.0348,0.0820,0.0380,-0.0213,66.1117,0.0118,-0.0100,0.0090,0.8136,-0.2876,0.6585,buy
2021-10-15,145.7045,5532100,145.5109,145.9996,144.3675,0.0055,0.0363,0.0745,0.0363,-0.0140,71.9119,0.0117,-0.0065,0.0099,0.8496,-0.0817,0.6128,buy
2021-10-18,147.0140,5765300,145.0591,147.0509,143.8050,0.0090,0.0609,0.0835,0.0372,-0.0035,82.9677,0.0115,-0.0030,0.0106,0.8881,0.0422,0.6432,sell
2021-10-19,145.5294,6198200,147.2445,147.4751,144.5888,-0.0101,0.0291,0.0559,0.0212,-0.0119,76.4337,0.0124,-0.0011,0.0102,0.7902,0.0751,0.6901,buy
2021-10-20,146.1103,4487000,146.1564,146.4330,145.0683,0.0040,0.0138,0.0649,0.0189,-0.0062,79.8285,0.0120,0.0007,0.0096,0.8153,-0.2761,0.5062,buy
2021-10-21,149.5498,6121700,146.1103,149.6973,145.9535,0.0235,0.0321,0.0680,0.0360,0.0183,81.4215,0.0124,0.0040,0.0101,0.9715,0.3643,0.7143,buy
2021-10-22,150.7486,5323000,149.6420,151.7998,149.6420,0.0080,0.0346,0.0721,0.0370,0.0273,82.3181,0.0124,0.0071,0.0105,0.9550,-0.1305,0.7106,buy
2021-10-25,151.4310,3878200,150.5180,151.9012,149.9924,0.0045,0.0300,0.0928,0.0326,0.0329,81.1393,0.0099,0.0097,0.0105,0.9229,-0.2714,0.5454,hold
2021-10-26,151.0344,4711200,151.9842,152.5652,150.4166,-0.0026,0.0378,0.0681,0.0232,0.0313,81.9344,0.0096,0.0116,0.0099,0.8649,0.2148,0.6916,sell
2021-10-27,149.7066,4163900,150.9054,151.2834,149.0703,-0.0088,0.0246,0.0387,0.0103,0.0232,74.0166,0.0096,0.0122,0.0084,0.7803,-0.1162,0.6280,buy
2021-10-28,151.6523,3762000,150.3152,151.7813,150.1307,0.0130,0.0141,0.0466,0.0188,0.0371,75.6642,0.0100,0.0134,0.0077,0.8367,-0.0965,0.5961,buy
2021-10-29,154.2618,6740600,150.3613,154.5754,150.3059,0.0172,0.0233,0.0587,0.0304,0.0547,85.4821,0.0108,0.0154,0.0079,0.9095,0.7918,1.0797,sell
2021-11-01,153.3766,3610800,154.7321,155.6542,152.9709,-0.0057,0.0128,0.0433,0.0202,0.0488,79.6891,0.0113,0.0166,0.0072,0.8411,-0.4643,0.5992,buy
2021-11-02,154.7598,5038000,153.7731,155.0641,153.1738,0.0090,0.0247,0.0634,0.0231,0.0584,78.2461,0.0102,0.0179,0.0068,0.8680,0.3953,0.8787,buy
2021-11-03,159.0661,7176700,155.8387,159.4073,155.5159,0.0278,0.0625,0.0887,0.0427,0.0875,81.6834,0.0122,0.0204,0.0078,1.0040,0.4245,1.2564,buy
2021-11-04,161.7771,5460100,158.7987,161.9524,158.6050,0.0170,0.0668,0.0818,0.0520,0.1052,83.1245,0.0115,0.0235,0.0088,1.0319,-0.2392,0.9773,buy
2021-11-05,163.6860,5892200,162.0446,165.1522,161.8325,0.0118,0.0611,0.0858,0.0555,0.1167,83.5313,0.0115,0.0266,0.0097,1.0209,0.0791,1.0588,sell
2021-11-08,158.4668,8301100,162.6163,162.7915,157.0928,-0.0319,0.0332,0.0465,0.0173,0.0805,72.6217,0.0172,0.0272,0.0078,0.7974,0.4088,1.4557,buy
2021-11-09,160.2833,4343000,157.9135,160.3847,157.6368,0.0115,0.0357,0.0612,0.0228,0.0921,73.7558,0.0171,0.0273,0.0065,0.8409,-0.4768,0.7826,sell
2021-11-10,155.1563,8185200,157.8950,158.7618,154.5016,-0.0320,-0.0246,0.0364,-0.0133,0.0567,58.8941,0.0206,0.0256,0.0033,0.6077,0.8847,1.4786,sell
2021-11-11,153.9668,4994900,156.3920,156.3920,153.6533,-0.0077,-0.0483,0.0153,-0.0223,0.0483,55.1069,0.0206,0.0228,0.0002,0.5373,-0.3898,0.9108,buy
2021-11-12,155.9217,5126300,154.4555,156.4657,154.3633,0.0127,-0.0474,0.0108,-0.0109,0.0609,56.8495,0.0203,0.0209,-0.0011,0.6099,0.0263,0.9382,hold
2021-11-15,155.7004,3856700,156.4842,157.0928,155.3961,-0.0014,-0.0175,0.0152,-0.0138,0.0587,57.1550,0.0201,0.0194,-0.0021,0.5816,-0.2477,0.7184,buy
2021-11-16,158.4483,4401000,156.0692,160.4493,156.0692,0.0176,-0.0114,0.0238,0.0013,0.0761,62.8455,0.0207,0.0190,-0.0017,0.7041,0.1411,0.8337,hold
2021-11-17,158.3653,3940200,158.2362,159.2874,156.9913,-0.0005,0.0207,-0.0044,0.0012,0.0741,60.4358,0.0187,0.0187,-0.0016,0.6827,-0.1047,0.7503,hold
2021-11-18,158.0057,4044200,158.9093,159.9513,157.0928,-0.0023,0.0262,-0.0233,0.0013,0.0705,56.2577,0.0176,0.0181,-0.0018,0.6420,0.0264,0.7857,buy
2021-11-19,161.2608,6145600,158.7434,163.4001,157.2495,0.0206,0.0342,-0.0148,0.0235,0.0911,62.2108,0.0186,0.0187,-0.0007,0.8175,0.5196,1.1844,hold
2021-11-22,160.6706,5906400,161.3530,163.9073,160.6614,-0.0037,0.0319,0.0139,0.0183,0.0851,59.3850,0.0153,0.0190,-0.0004,0.7540,-0.0389,1.1165,sell
2021-11-23,158.7434,5302100,159.5733,159.9237,157.1389,-0.0120,0.0019,-0.0096,0.0071,0.0703,49.4457,0.0154,0.0182,-0.0011,0.6096,-0.1023,0.9967,hold
2021-11-24,158.6327,4637600,155.3684,159.0016,154.6123,-0.0007,0.0017,0.0224,0.0042,0.0676,44.0696,0.0109,0.0171,-0.0017,0.5810,-0.1253,0.8679,sell
2021-11-26,154.9350,4751100,154.9719,156.4657,154.4924,-0.0233,-0.0194,0.0063,-0.0198,0.0414,34.5389,0.0133,0.0146,-0.0038,0.2557,0.0245,0.8810,buy
2021-11-29,156.6409,5448700,156.6041,157.8212,156.0508,0.0110,-0.0286,0.0046,-0.0095,0.0511,46.3169,0.0132,0.0129,-0.0043,0.3882,0.1468,1.0226,hold
2021-11-30,156.0600,11033700,155.6450,158.1901,154.4832,-0.0037,-0.0287,0.0023,-0.0134,0.0453,41.0337,0.0132,0.0112,-0.0048,0.3132,1.0250,1.9360,sell
2021-12-01,153.7178,6618200,157.5815,159.8684,153.6994,-0.0150,-0.0317,-0.0299,-0.0253,0.0281,46.5365,0.0125,0.0087,-0.0060,0.1072,-0.4002,1.1454,buy
2021-12-02,156.7608,4398900,154.2526,157.2679,153.9944,0.0198,-0.0118,-0.0101,-0.0050,0.0468,56.1760,0.0144,0.0079,-0.0052,0.3986,-0.3353,0.7800,hold
2021-12-03,157.2643,4878500,157.6153,158.9548,154.0495,0.0032,0.0150,-0.0047,-0.0013,0.0488,53.1712,0.0145,0.0076,-0.0044,0.4637,0.1090,0.8696,sell
2021-12-06,156.0357,5636900,157.8093,158.1604,155.2505,-0.0078,-0.0039,-0.0324,-0.0058,0.0381,50.7560,0.0126,0.0067,-0.0043,0.3575,0.1555,1.0070,buy
2021-12-07,158.2342,5898700,158.0679,160.1372,157.4121,0.0141,0.0139,-0.0152,0.0098,0.0497,49.5050,0.0137,0.0069,-0.0032,0.6168,0.0464,1.0769,sell
2021-12-08,157.2735,5614400,158.1696,158.6961,156.8948,-0.0061,0.0231,-0.0093,0.0046,0.0401,47.5743,0.0133,0.0066,-0.0028,0.5229,-0.0482,1.0133,sell
