date,close,volume,open,high,low
07/02/2026,$106.32,"20,276,620",$106.22,$107.6799,$103.84
07/01/2026,$105.80,"26,458,590",$103.60,$106.69,$101.765
06/30/2026,$99.28,"19,433,320",$97.31,$99.635,$96.95
06/29/2026,$99.97,"25,023,060",$100.48,$103.21,$99.47
06/26/2026,$98.34,"27,314,850",$90.44,$98.92,$90.00
06/25/2026,$89.52,"23,735,600",$91.70,$92.06,$89.39
06/24/2026,$93.80,"17,246,450",$94.00,$96.99,$93.42
06/23/2026,$95.94,"32,559,720",$95.14,$97.50,$94.61
06/22/2026,$93.01,"24,940,910",$93.30,$97.44,$91.48
06/18/2026,$95.04,"36,337,230",$95.31,$96.2413,$92.45
06/17/2026,$95.48,"32,165,610",$100.68,$102.89,$95.09
06/16/2026,$101.33,"17,198,410",$102.90,$105.6644,$101.20
06/15/2026,$104.15,"23,017,970",$104.80,$107.18,$103.35
06/12/2026,$102.15,"26,049,350",$103.38,$103.45,$98.42
06/11/2026,$103.08,"28,321,520",$103.025,$105.12,$101.33
06/10/2026,$106.06,"20,052,680",$105.28,$109.795,$104.73
06/09/2026,$106.97,"35,824,770",$110.31,$112.39,$103.08
06/08/2026,$114.19,"19,737,740",$111.685,$115.36,$111.20
06/05/2026,$112.45,"31,452,020",$119.19,$121.20,$111.562
06/04/2026,$119.36,"28,143,980",$121.94,$124.80,$119.36
06/03/2026,$117.90,"34,316,420",$127.99,$128.0786,$117.34
06/02/2026,$127.65,"41,371,640",$129.90,$132.7399,$124.12
06/01/2026,$135.86,"68,788,970",$135.77,$139.20,$131.61
05/29/2026,$124.37,"68,243,450",$118.48,$124.74,$116.29
05/28/2026,$108.73,"39,117,680",$107.00,$110.16,$104.60
05/27/2026,$102.12,"28,633,260",$99.21,$105.40,$98.55
05/26/2026,$99.92,"23,589,920",$100.555,$102.54,$98.72
05/22/2026,$102.13,"23,646,300",$102.18,$104.59,$99.4328
05/21/2026,$99.69,"26,474,040",$100.99,$101.59,$98.11
05/20/2026,$103.30,"30,037,720",$100.75,$103.35,$97.50
05/19/2026,$101.83,"55,624,410",$110.14,$110.83,$100.7723
05/18/2026,$103.42,"51,220,730",$98.86,$104.68,$97.85
05/15/2026,$95.07,"34,569,750",$92.09,$96.67,$91.97
05/14/2026,$90.50,"25,571,510",$87.32,$92.00,$85.44
05/13/2026,$87.05,"22,107,020",$88.58,$88.58,$86.0104
05/12/2026,$89.00,"22,354,590",$92.465,$92.77,$88.685
05/11/2026,$91.49,"21,402,860",$91.04,$94.75,$90.47
05/08/2026,$91.18,"24,699,020",$91.13,$91.85,$88.99
05/07/2026,$93.59,"27,960,740",$92.17,$95.56,$91.89
05/06/2026,$89.05,"23,117,900",$91.60,$91.68,$88.21
05/05/2026,$92.01,"22,756,770",$92.25,$92.8877,$89.14
05/04/2026,$91.97,"21,863,490",$91.27,$95.62,$91.10
05/01/2026,$91.16,"22,911,830",$90.93,$92.6049,$87.87
04/30/2026,$88.31,"22,152,200",$87.95,$88.71,$85.88
04/29/2026,$88.89,"18,646,580",$89.06,$89.30,$87.10
04/28/2026,$90.49,"20,990,420",$91.10,$93.00,$90.1335
04/27/2026,$90.45,"32,789,130",$89.06,$94.03,$87.81
