date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,22.4045,248376000,22.2749,22.5520,22.1971,0.0136,0.0037,0.0188,-0.0011,0.0960,69.3432,0.0138,0.0287,0.0000,0.6746,0.2617,0.8037,sell
2021-09-13,22.0795,297500000,22.6098,22.8889,21.7865,-0.0145,-0.0303,-0.0212,-0.0135,0.0781,52.8350,0.0118,0.0269,-0.0018,0.5920,0.1978,0.9452,buy
2021-09-14,22.1692,199755000,22.2021,22.3367,22.0138,0.0041,-0.0185,-0.0195,-0.0076,0.0806,56.6307,0.0119,0.0250,-0.0028,0.5922,-0.3286,0.6358,buy
2021-09-15,22.2679,166538000,22.2360,22.2938,21.8941,0.0045,0.0001,-0.0020,-0.0030,0.0837,52.1319,0.0113,0.0236,-0.0033,0.5943,-0.1663,0.5333,sell
2021-09-16,22.1692,156033000,22.1104,22.2041,21.8553,-0.0044,0.0029,-0.0089,-0.0065,0.0769,52.9182,0.0114,0.0221,-0.0040,0.5396,-0.0631,0.5103,sell
2021-09-17,21.8284,294503000,22.2271,22.2480,21.7586,-0.0154,-0.0257,-0.0221,-0.0196,0.0583,37.0302,0.0123,0.0196,-0.0055,0.3047,0.8874,1.0436,sell
2021-09-20,21.0439,349440000,21.0768,21.3629,20.5944,-0.0359,-0.0469,-0.0757,-0.0474,0.0192,27.9166,0.0137,0.0148,-0.0089,-0.2464,0.1865,1.3143,buy
2021-09-21,21.1765,204688000,21.3469,21.3549,20.8815,0.0063,-0.0448,-0.0625,-0.0353,0.0249,33.2055,0.0144,0.0108,-0.0102,-0.0526,-0.4142,0.8276,buy
2021-09-22,21.8692,268726000,21.2961,21.8882,21.1267,0.0327,-0.0179,-0.0178,-0.0019,0.0567,43.7967,0.0186,0.0099,-0.0084,0.3363,0.3129,1.0929,buy
2021-09-23,22.4085,248555000,22.0676,22.4613,21.8184,0.0247,0.0108,0.0138,0.0213,0.0800,50.9501,0.0202,0.0110,-0.0055,0.6398,-0.0751,1.0316,sell
