date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,193.8544,1835500,194.6038,197.8572,193.7447,0.0079,0.0010,-0.0455,-0.0130,0.0240,57.2446,0.0216,0.0048,-0.0052,0.4648,-0.2502,0.9116,buy
2021-09-13,196.2762,1416500,195.9654,197.6379,193.4522,0.0125,0.0084,-0.0518,0.0048,0.0355,54.4844,0.0209,0.0051,-0.0038,0.5650,-0.2283,0.7036,sell
2021-09-14,193.7775,1405300,198.0199,198.2123,193.4751,-0.0127,-0.0039,-0.0685,-0.0007,0.0214,47.2401,0.0207,0.0043,-0.0038,0.4647,-0.0079,0.7004,hold
2021-09-15,194.5655,1414800,194.8679,194.8953,192.3939,0.0041,0.0230,-0.0104,0.0044,0.0245,44.2579,0.0121,0.0039,-0.0033,0.4846,0.0068,0.7207,hold
2021-09-16,195.1977,1502900,193.3651,195.8208,191.3126,0.0032,0.0149,0.0099,0.0067,0.0263,38.8639,0.0108,0.0038,-0.0027,0.4919,0.0623,0.7663,sell
2021-09-17,191.8074,4877800,193.9148,194.4280,190.5062,-0.0174,-0.0106,-0.0096,-0.0099,0.0071,28.2776,0.0122,0.0024,-0.0034,0.3117,2.2456,2.3377,sell
2021-09-20,185.8057,2959400,187.7574,187.8399,182.2872,-0.0313,-0.0533,-0.0454,-0.0365,-0.0247,22.1755,0.0153,-0.0013,-0.0059,0.0371,-0.3933,1.3648,buy
2021-09-21,188.8112,1524200,187.5284,190.3780,186.0165,0.0162,-0.0256,-0.0294,-0.0180,-0.0091,37.6378,0.0166,-0.0030,-0.0059,0.1976,-0.4850,0.7064,buy
2021-09-22,195.2435,1734600,190.4146,195.4176,189.7732,0.0341,0.0035,0.0265,0.0128,0.0237,52.8230,0.0187,-0.0015,-0.0035,0.4933,0.1380,0.8031,buy
2021-09-23,198.2398,1430600,196.2239,199.8250,195.1794,0.0153,0.0156,0.0307,0.0252,0.0381,56.1424,0.0190,0.0008,-0.0009,0.6327,-0.1753,0.6698,hold
