date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,253.9800,1573500,265.5200,265.6250,253.3200,-0.0468,-0.0654,-0.0312,-0.0404,0.0240,67.0925,0.0198,0.0230,0.0015,0.5295,0.3244,0.9300,sell
2021-09-13,249.5300,1627800,254.0100,254.5100,247.0500,-0.0175,-0.0772,-0.0490,-0.0526,0.0054,60.3281,0.0203,0.0183,-0.0029,0.4475,0.0345,0.9392,buy
2021-09-14,253.2900,1157800,249.5300,254.3600,249.2400,0.0151,-0.0440,-0.0441,-0.0340,0.0196,54.8694,0.0208,0.0150,-0.0046,0.4904,-0.2887,0.6688,hold
2021-09-15,253.5800,1276100,252.6100,254.3000,249.7800,0.0011,-0.0375,-0.0380,-0.0292,0.0205,42.2367,0.0208,0.0126,-0.0056,0.4739,0.1022,0.7296,buy
2021-09-16,255.7800,1069100,253.5800,255.8800,249.0100,0.0087,-0.0401,-0.0339,-0.0174,0.0289,43.1745,0.0211,0.0112,-0.0055,0.4884,-0.1622,0.6054,buy
2021-09-17,258.1500,2538000,257.3900,258.7000,255.0000,0.0093,0.0164,-0.0500,-0.0031,0.0378,45.6810,0.0190,0.0107,-0.0047,0.5105,1.3740,1.3742,sell
2021-09-20,252.6500,1724700,252.5300,257.9100,250.0000,-0.0213,0.0125,-0.0656,-0.0176,0.0156,38.1145,0.0197,0.0087,-0.0056,0.3224,-0.3204,0.9281,hold
2021-09-21,251.7600,801500,253.6500,257.0200,250.0600,-0.0035,-0.0060,-0.0497,-0.0160,0.0116,38.4780,0.0191,0.0067,-0.0062,0.2189,-0.5353,0.4387,buy
2021-09-22,257.4500,1101400,251.1000,257.9500,249.7700,0.0226,0.0153,-0.0228,0.0086,0.0337,43.4627,0.0210,0.0066,-0.0048,0.3968,0.3742,0.6187,sell
2021-09-23,255.3800,1204700,259.2900,259.5000,251.5800,-0.0080,-0.0016,-0.0416,0.0048,0.0243,33.9478,0.0205,0.0060,-0.0044,0.3286,0.0938,0.7052,sell
