date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,46.8900,6946500,46.4000,47.5900,46.0600,0.0365,0.0328,0.0650,0.0338,0.1375,78.1609,0.0189,0.0263,0.0010,0.9406,1.3337,1.3652,buy
2021-09-13,47.6400,5018200,47.3300,47.7500,46.5800,0.0160,0.0422,0.0470,0.0454,0.1502,77.7423,0.0168,0.0283,0.0027,0.9707,-0.2776,0.9962,hold
2021-09-14,47.8500,5553200,48.0500,48.4600,47.2700,0.0044,0.0480,0.0570,0.0441,0.1501,75.2076,0.0165,0.0301,0.0037,0.9310,0.1066,1.0858,buy
2021-09-15,49.2100,5534000,48.2400,49.2300,47.5700,0.0284,0.0972,0.1093,0.0626,0.1765,79.3814,0.0151,0.0326,0.0056,1.0110,-0.0035,1.0826,hold
2021-09-16,49.4000,5785300,48.9300,49.7100,48.3800,0.0039,0.0920,0.1056,0.0559,0.1741,78.6553,0.0152,0.0351,0.0065,0.9658,0.0454,1.1391,sell
2021-09-17,48.8900,7268000,49.2900,49.4000,48.0900,-0.0103,0.0427,0.0769,0.0373,0.1553,70.1546,0.0163,0.0362,0.0059,0.8798,0.2563,1.4293,sell
2021-09-20,47.6700,5472600,47.3100,47.6800,46.7600,-0.0250,0.0006,0.0429,0.0072,0.1213,62.7659,0.0193,0.0353,0.0033,0.7227,-0.2470,1.0760,hold
2021-09-21,47.6800,4289700,48.1800,48.1800,46.9400,0.0002,-0.0036,0.0442,0.0031,0.1166,69.5294,0.0193,0.0335,0.0012,0.7053,-0.2161,0.8436,buy
2021-09-22,48.6000,3826000,48.0800,48.7900,47.7800,0.0193,-0.0124,0.0836,0.0145,0.1325,71.5384,0.0180,0.0326,0.0007,0.7994,-0.1081,0.7655,buy
2021-09-23,49.3600,3800000,48.7500,49.7800,48.5000,0.0156,-0.0008,0.0911,0.0215,0.1440,71.6630,0.0182,0.0327,0.0011,0.8669,-0.0068,0.7724,hold
2021-09-24,49.2900,3434500,49.0000,49.6500,48.8700,-0.0014,0.0082,0.0512,0.0151,0.1355,70.1123,0.0156,0.0328,0.0009,0.8256,-0.0962,0.7194,hold
2021-09-27,49.4800,5005200,48.5700,49.7300,48.5100,0.0039,0.0380,0.0386,0.0151,0.1324,71.1283,0.0151,0.0326,0.0007,0.8155,0.4573,1.0550,sell
2021-09-28,47.3300,7465000,48.3400,48.4600,46.9600,-0.0435,-0.0073,-0.0109,-0.0280,0.0770,61.9461,0.0213,0.0301,-0.0027,0.5099,0.4914,1.5099,sell
2021-09-29,45.8400,8159100,46.7500,47.1800,45.1600,-0.0315,-0.0568,-0.0685,-0.0520,0.0383,52.6132,0.0205,0.0248,-0.0072,0.2788,0.0930,1.6308,hold
2021-09-30,45.7700,4908500,46.2400,46.7700,45.6800,-0.0015,-0.0727,-0.0735,-0.0463,0.0325,44.3434,0.0203,0.0196,-0.0100,0.2494,-0.3984,0.9792,hold
2021-10-01,45.6100,6209100,45.8800,46.4200,45.4500,-0.0035,-0.0747,-0.0671,-0.0431,0.0244,39.0978,0.0203,0.0150,-0.0117,0.2207,0.2650,1.2056,sell
2021-10-04,44.8900,4666600,45.3100,45.6000,44.6500,-0.0158,-0.0928,-0.0583,-0.0527,0.0044,34.9287,0.0195,0.0101,-0.0137,0.1275,-0.2484,0.8974,buy
2021-10-05,45.6400,5068200,45.5000,46.1900,45.0000,0.0167,-0.0357,-0.0428,-0.0327,0.0171,30.6189,0.0208,0.0071,-0.0130,0.2410,0.0861,0.9659,sell
2021-10-06,44.7000,3735700,44.7800,45.4000,44.3600,-0.0206,-0.0249,-0.0802,-0.0447,-0.0078,26.4056,0.0196,0.0033,-0.0138,0.1033,-0.2629,0.7107,buy
2021-10-07,45.3900,4553200,45.2200,46.4000,45.2200,0.0154,-0.0083,-0.0804,-0.0216,0.0038,32.7416,0.0195,0.0013,-0.0124,0.2038,0.2188,0.8535,sell
2021-10-08,44.4800,3279500,45.6800,45.7600,44.4200,-0.0200,-0.0248,-0.0976,-0.0312,-0.0189,33.7742,0.0197,-0.0018,-0.0126,0.1126,-0.2797,0.6366,sell
2021-10-11,43.3500,4143500,44.0400,44.8500,43.3400,-0.0254,-0.0343,-0.1239,-0.0430,-0.0456,30.2283,0.0196,-0.0065,-0.0141,0.0353,0.2635,0.8112,sell
2021-10-12,42.3500,6725900,43.7600,43.8500,42.0600,-0.0231,-0.0721,-0.1052,-0.0547,-0.0671,21.6682,0.0169,-0.0121,-0.0159,0.0052,0.6232,1.3018,sell
2021-10-13,41.9000,4630200,42.3600,42.8700,41.8800,-0.0106,-0.0626,-0.0860,-0.0565,-0.0756,15.2052,0.0153,-0.0173,-0.0169,0.0312,-0.3116,0.9041,buy
2021-10-14,43.0100,6318600,42.6000,43.1800,42.5200,0.0265,-0.0524,-0.0603,-0.0254,-0.0500,23.2993,0.0190,-0.0185,-0.0145,0.1811,0.3646,1.2274,buy
2021-10-15,43.3300,3750300,43.2200,43.7600,43.0700,0.0074,-0.0259,-0.0500,-0.0131,-0.0423,24.1379,0.0194,-0.0188,-0.0119,0.2411,-0.4065,0.7543,buy
2021-10-18,44.1600,4047100,43.1000,44.2200,43.0000,0.0192,0.0187,-0.0163,0.0075,-0.0234,35.0047,0.0204,-0.0171,-0.0082,0.3461,0.0791,0.8258,buy
2021-10-19,44.9500,4420500,44.2500,45.1600,43.9000,0.0179,0.0614,-0.0151,0.0271,-0.0058,45.4914,0.0205,-0.0142,-0.0044,0.4434,0.0923,0.9008,buy
2021-10-20,45.5600,4768400,44.9000,45.9300,44.9000,0.0136,0.0874,0.0192,0.0390,0.0072,48.9914,0.0198,-0.0107,-0.0008,0.5275,0.0787,0.9624,buy
