date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,83.8345,10547400,83.8064,84.6478,83.6755,0.0016,-0.0013,0.0108,0.0019,0.0161,56.8772,0.0068,0.0045,-0.0013,0.5838,-0.0442,1.3347,sell
2021-09-13,83.0960,18883400,84.2458,84.6104,82.4790,-0.0088,-0.0123,-0.0051,-0.0064,0.0049,48.0800,0.0071,0.0037,-0.0017,0.3255,0.7903,2.2177,sell
2021-09-14,80.7589,22714200,80.5720,81.2824,79.2071,-0.0281,-0.0263,-0.0342,-0.0310,-0.0244,36.3637,0.0112,0.0008,-0.0038,-0.2841,0.2029,2.4439,buy
2021-09-15,82.0116,14951100,80.9085,82.6005,80.5533,0.0155,-0.0194,-0.0157,-0.0145,-0.0104,45.1577,0.0127,-0.0003,-0.0039,0.1192,-0.3418,1.5406,sell
2021-09-16,81.5629,12410500,81.9555,82.2359,80.5720,-0.0055,-0.0256,-0.0300,-0.0169,-0.0161,42.3197,0.0122,-0.0016,-0.0042,0.0470,-0.1699,1.2483,sell
2021-09-17,80.7589,58069000,80.5906,81.8620,80.3476,-0.0099,-0.0367,-0.0380,-0.0228,-0.0261,34.8981,0.0124,-0.0035,-0.0048,-0.0593,3.6790,4.6677,hold
2021-09-20,80.5533,13897700,79.4876,81.7124,79.3941,-0.0025,-0.0306,-0.0426,-0.0211,-0.0283,33.4678,0.0122,-0.0051,-0.0052,-0.0082,-0.7607,1.0943,buy
2021-09-21,81.2544,11124400,81.0861,81.9461,80.5065,0.0087,0.0061,-0.0203,-0.0105,-0.0198,39.3237,0.0123,-0.0055,-0.0045,0.1822,-0.1996,0.8625,buy
2021-09-22,82.6753,9908000,81.9088,83.1988,81.5535,0.0175,0.0081,-0.0115,0.0080,-0.0031,43.1674,0.0134,-0.0044,-0.0027,0.4822,-0.1093,0.7576,buy
2021-09-23,83.5914,9720200,83.1427,84.1897,82.8810,0.0111,0.0249,-0.0013,0.0193,0.0077,48.4007,0.0139,-0.0026,-0.0007,0.6650,-0.0190,0.7321,buy
2021-09-24,84.0775,7617800,83.4512,84.1897,83.1427,0.0058,0.0411,0.0029,0.0249,0.0127,49.7541,0.0141,-0.0007,0.0009,0.7473,-0.2163,0.5770,buy
2021-09-27,85.1058,11533000,83.9280,85.3582,83.3390,0.0122,0.0565,0.0242,0.0349,0.0243,59.6505,0.0141,0.0017,0.0026,0.9088,0.5140,0.8538,sell
2021-09-28,84.5917,15041800,84.7319,86.2556,84.1804,-0.0060,0.0411,0.0475,0.0239,0.0173,54.3147,0.0099,0.0031,0.0032,0.7933,0.3042,1.0750,buy
2021-09-29,85.3021,12007300,85.2087,86.0780,85.0684,0.0084,0.0318,0.0401,0.0284,0.0252,56.8345,0.0092,0.0048,0.0039,0.8787,-0.2017,0.8464,sell
2021-09-30,81.4507,15649900,85.3021,85.6106,81.4413,-0.0452,-0.0256,-0.0014,-0.0179,-0.0205,42.2681,0.0181,0.0026,0.0014,0.2485,0.3034,1.0749,buy
2021-10-01,83.8906,13320900,82.0396,84.3860,81.8900,0.0300,-0.0022,0.0388,0.0077,0.0091,52.3211,0.0199,0.0029,0.0014,0.6587,-0.1488,0.8977,hold
2021-10-04,83.4418,10853900,83.6475,84.5356,83.1614,-0.0053,-0.0196,0.0359,-0.0012,0.0033,58.8091,0.0201,0.0028,0.0010,0.5904,-0.1852,0.7256,buy
2021-10-05,85.5265,9788600,83.5260,85.9752,83.3577,0.0250,0.0111,0.0526,0.0186,0.0276,60.9430,0.0211,0.0046,0.0023,0.8936,-0.0981,0.6571,hold
2021-10-06,85.3863,10268300,84.5262,85.5358,83.8064,-0.0016,0.0010,0.0328,0.0136,0.0251,62.1365,0.0208,0.0059,0.0028,0.8400,0.0490,0.6861,buy
2021-10-07,86.2930,9124400,85.7321,86.8259,85.6761,0.0106,0.0595,0.0323,0.0211,0.0347,67.4528,0.0208,0.0075,0.0036,0.9211,-0.1114,0.6135,buy
2021-10-08,88.5444,13202300,86.6589,89.1354,86.4056,0.0261,0.0555,0.0531,0.0423,0.0601,72.3214,0.0220,0.0106,0.0054,1.0861,0.4469,0.8799,buy
2021-10-11,89.3887,12959300,88.4506,90.8052,88.3662,0.0095,0.0713,0.0503,0.0469,0.0681,72.5410,0.0219,0.0137,0.0069,1.0533,-0.0184,0.8811,hold
2021-10-12,89.6513,9964100,89.8952,90.5425,89.3605,0.0029,0.0482,0.0598,0.0438,0.0693,70.6574,0.0216,0.0162,0.0075,0.9942,-0.2311,0.7081,buy
2021-10-13,90.4299,9453900,90.1485,90.9834,90.0078,0.0087,0.0591,0.0601,0.0466,0.0769,70.4164,0.0216,0.0186,0.0080,0.9793,-0.0512,0.6853,sell
2021-10-14,89.3793,7911200,90.8052,91.3211,88.5257,-0.0116,0.0358,0.0973,0.0251,0.0631,65.3123,0.0140,0.0196,0.0071,0.8498,-0.1632,0.5830,hold
2021-10-15,89.4262,7422800,89.2011,90.0922,88.8634,0.0005,0.0100,0.0660,0.0191,0.0622,63.2278,0.0122,0.0201,0.0060,0.8214,-0.0617,0.6724,buy
2021-10-18,90.5331,7344100,89.5857,90.6644,89.2104,0.0124,0.0128,0.0850,0.0235,0.0736,67.5538,0.0116,0.0209,0.0057,0.8754,-0.0106,0.6857,buy
2021-10-19,91.0491,5616500,90.9928,91.2554,90.3549,0.0057,0.0156,0.0646,0.0229,0.0779,67.1766,0.0100,0.0219,0.0054,0.8796,-0.2352,0.5382,sell
2021-10-20,90.6551,6574100,91.2460,91.9027,90.2892,-0.0043,0.0025,0.0617,0.0125,0.0715,84.6772,0.0102,0.0222,0.0045,0.8139,0.1705,0.6402,sell
2021-10-21,90.3361,6224400,90.5894,90.8333,89.7827,-0.0035,0.0107,0.0469,0.0044,0.0661,78.9023,0.0105,0.0220,0.0034,0.7602,-0.0532,0.6166,buy
2021-10-22,92.1654,6819600,90.3267,92.1841,90.2611,0.0202,0.0306,0.0409,0.0206,0.0855,84.8074,0.0093,0.0226,0.0035,0.8673,0.0956,0.6783,sell
2021-10-25,91.8277,5083100,92.3436,92.8220,91.5087,-0.0037,0.0143,0.0273,0.0142,0.0797,79.2149,0.0093,0.0230,0.0030,0.8052,-0.2546,0.5223,sell
2021-10-26,90.9740,7089700,92.2123,92.4562,90.9365,-0.0093,-0.0008,0.0148,0.0033,0.0681,74.2997,0.0101,0.0224,0.0018,0.7151,0.3948,0.7596,sell
2021-10-27,90.0829,5941200,90.8145,91.2742,90.0547,-0.0098,-0.0063,-0.0038,-0.0062,0.0564,66.5033,0.0103,0.0210,0.0001,0.6271,-0.1620,0.6579,hold
2021-10-28,90.2705,5177200,90.6644,91.6494,89.9890,0.0021,-0.0007,0.0100,-0.0051,0.0569,59.1633,0.0095,0.0196,-0.0010,0.6258,-0.1286,0.6086,sell
2021-10-29,89.9984,7578600,89.8577,90.9646,89.5482,-0.0030,-0.0235,0.0064,-0.0087,0.0519,53.4465,0.0096,0.0181,-0.0020,0.5789,0.4638,0.9220,sell
2021-11-01,88.5350,7327600,90.0547,90.0829,88.0941,-0.0163,-0.0359,-0.0221,-0.0227,0.0335,44.4444,0.0100,0.0156,-0.0039,0.3686,-0.0331,0.9110,buy
2021-11-02,89.9328,6229600,87.9253,89.9797,87.7095,0.0158,-0.0114,-0.0123,-0.0060,0.0482,47.6694,0.0113,0.0143,-0.0039,0.5291,-0.1498,0.7920,hold
2021-11-03,90.1954,5746400,90.5237,90.8708,88.8821,0.0029,0.0012,-0.0051,-0.0026,0.0495,54.1311,0.0113,0.0135,-0.0037,0.5419,-0.0776,0.7522,sell
2021-11-04,89.7076,5857500,90.2705,90.6269,89.4168,-0.0054,-0.0062,-0.0070,-0.0073,0.0421,51.3636,0.0114,0.0124,-0.0039,0.3795,0.0193,0.7835,sell
2021-11-05,89.0697,6160200,90.2423,90.5706,88.2724,-0.0071,-0.0103,-0.0336,-0.0110,0.0332,42.5714,0.0088,0.0108,-0.0045,0.1861,0.0517,0.8647,hold
2021-11-08,89.2480,5056400,89.3512,89.3512,88.4694,0.0020,0.0081,-0.0281,-0.0062,0.0339,40.5326,0.0090,0.0096,-0.0046,0.2406,-0.1792,0.7514,sell
2021-11-09,88.7320,6102600,89.2198,89.6889,88.2349,-0.0058,-0.0134,-0.0246,-0.0094,0.0267,40.0196,0.0087,0.0081,-0.0049,0.1298,0.2069,0.9337,sell
2021-11-10,88.0191,5828800,88.2724,88.9759,87.5782,-0.0080,-0.0241,-0.0229,-0.0151,0.0174,38.4471,0.0086,0.0061,-0.0056,0.0266,-0.0449,0.9173,hold
2021-11-11,88.2161,3620600,88.2818,88.8915,87.9910,0.0022,-0.0166,-0.0228,-0.0106,0.0187,26.4807,0.0086,0.0047,-0.0056,0.1120,-0.3788,0.5897,sell
2021-11-12,87.7471,6435300,88.4506,88.6195,87.6439,-0.0053,-0.0148,-0.0250,-0.0134,0.0124,26.0728,0.0087,0.0031,-0.0058,0.0648,0.7774,1.0566,buy
2021-11-15,88.1973,5700900,88.0097,88.4131,87.1654,0.0051,-0.0118,-0.0038,-0.0080,0.0166,32.9100,0.0074,0.0022,-0.0053,0.1924,-0.1141,0.9488,buy
2021-11-16,89.6888,7392900,88.3099,90.4018,88.1973,0.0169,0.0108,-0.0027,0.0091,0.0322,47.7418,0.0077,0.0028,-0.0037,0.5018,0.2968,1.2125,sell
2021-11-17,89.4262,6257600,89.8296,90.1860,88.9478,-0.0029,0.0160,-0.0085,0.0070,0.0278,45.2027,0.0077,0.0030,-0.0028,0.4600,-0.1536,1.0290,sell
2021-11-18,88.7977,5725300,89.2574,89.4262,87.7095,-0.0070,0.0066,-0.0101,0.0009,0.0194,43.4427,0.0078,0.0026,-0.0026,0.3453,-0.0851,0.9453,sell
2021-11-19,88.1504,8936600,88.9384,90.9553,88.1223,-0.0073,0.0046,-0.0103,-0.0053,0.0110,47.6941,0.0078,0.0017,-0.0028,0.2216,0.5609,1.4502,buy
2021-11-22,88.7508,6488200,87.9253,89.7451,87.6251,0.0068,0.0063,-0.0056,0.0020,0.0165,42.1641,0.0082,0.0015,-0.0024,0.3789,-0.2740,1.0410,sell
2021-11-23,87.1842,8905500,88.3287,88.4506,86.5463,-0.0177,-0.0279,-0.0174,-0.0140,-0.0029,32.9800,0.0097,-0.0001,-0.0033,-0.0018,0.3726,1.4083,buy
2021-11-24,87.7846,10908500,86.5182,87.8971,86.4431,0.0069,-0.0184,-0.0027,-0.0069,0.0027,39.2671,0.0098,-0.0008,-0.0032,0.1964,0.2249,1.6599,sell
