date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,78.3167,8566200,79.1933,79.8333,77.5350,0.0073,0.0159,0.0272,0.0134,0.1594,92.6762,0.0072,0.0465,0.0063,0.7296,0.5451,0.7502,buy
2021-09-13,79.3533,15030000,78.6683,80.9583,76.4317,0.0132,0.0169,0.0322,0.0235,0.1687,92.7433,0.0078,0.0463,0.0053,0.7390,0.7546,1.2691,buy
2021-09-14,80.8050,14788800,81.3183,82.6533,80.2583,0.0183,0.0480,0.0567,0.0364,0.1835,85.4807,0.0085,0.0467,0.0051,0.7621,-0.0160,1.1972,sell
2021-09-15,79.9900,7688400,80.7583,80.9983,79.0267,-0.0101,0.0305,0.0410,0.0219,0.1666,77.2946,0.0098,0.0468,0.0038,0.7148,-0.4801,0.6143,buy
2021-09-16,80.8133,5805000,80.0650,80.8333,79.4800,0.0103,0.0394,0.0534,0.0270,0.1730,75.0365,0.0098,0.0463,0.0030,0.7294,-0.2450,0.4633,sell
2021-09-17,79.3950,10078800,80.8333,80.9917,79.1917,-0.0176,0.0138,0.0299,0.0060,0.1474,62.6871,0.0121,0.0451,0.0009,0.6595,0.7362,0.7958,sell
2021-09-20,79.0650,6870000,78.2683,79.5550,78.0483,-0.0042,-0.0036,0.0132,0.0005,0.1380,63.2079,0.0119,0.0429,-0.0012,0.6344,-0.3184,0.5432,hold
2021-09-21,78.8383,5623800,79.3333,79.6317,78.7517,-0.0029,-0.0243,0.0225,-0.0045,0.1302,60.3167,0.0111,0.0404,-0.0031,0.6416,-0.1814,0.4662,buy
2021-09-22,79.3283,6874200,79.2433,79.7683,78.3383,0.0062,-0.0083,0.0220,-0.0005,0.1325,62.9912,0.0110,0.0382,-0.0040,0.6941,0.2223,0.7582,buy
2021-09-23,80.5250,6593400,79.6800,80.9617,79.4017,0.0151,-0.0036,0.0357,0.0111,0.1443,65.7879,0.0117,0.0368,-0.0038,0.8619,-0.0408,0.7933,buy
2021-09-24,81.7450,12080400,80.0267,81.8317,80.0217,0.0152,0.0296,0.0438,0.0220,0.1560,66.6318,0.0123,0.0365,-0.0029,0.9893,0.8322,1.4985,sell
2021-09-27,81.0067,8248200,80.9300,81.4283,80.3500,-0.0090,0.0246,0.0208,0.0107,0.1403,67.7974,0.0125,0.0358,-0.0031,0.8348,-0.3172,1.0227,sell
2021-09-28,79.3917,7770000,80.0150,80.2000,78.5233,-0.0199,0.0070,-0.0175,-0.0077,0.1130,57.3404,0.0129,0.0337,-0.0048,0.5665,-0.0580,0.9620,sell
