date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,133.6043,3851500,134.0512,134.2832,133.2176,-0.0017,-0.0095,0.0123,-0.0018,0.0085,43.1454,0.0085,0.0032,-0.0007,0.4288,0.0818,1.0926,hold
2021-09-13,133.8621,3367200,134.0168,135.2716,133.5442,0.0019,-0.0085,0.0122,-0.0011,0.0093,46.1009,0.0085,0.0029,-0.0007,0.4854,-0.1257,0.9385,sell
2021-09-14,133.3379,2808600,134.3950,134.6442,133.0543,-0.0039,0.0040,0.0014,-0.0052,0.0044,51.3747,0.0084,0.0024,-0.0010,0.3800,-0.1659,0.7874,buy
2021-09-15,134.0856,3702400,133.3980,134.3949,133.0199,0.0056,-0.0045,0.0045,-0.0000,0.0090,57.9053,0.0085,0.0024,-0.0008,0.5658,0.3182,1.0385,sell
2021-09-16,133.6902,4589900,133.5441,134.1715,132.1863,-0.0029,-0.0011,-0.0081,-0.0022,0.0052,58.4279,0.0079,0.0022,-0.0008,0.4670,0.2397,1.2666,sell
2021-09-17,132.4613,8127400,133.4066,133.6386,132.2034,-0.0092,-0.0086,-0.0180,-0.0095,-0.0047,50.9497,0.0083,0.0013,-0.0014,0.1935,0.7707,2.1428,sell
2021-09-20,132.0144,5484600,132.2636,133.1660,130.9917,-0.0034,-0.0138,-0.0222,-0.0107,-0.0088,44.6243,0.0083,0.0002,-0.0020,0.1201,-0.3252,1.4089,hold
2021-09-21,131.9542,4479800,132.8738,134.1715,131.4643,-0.0005,-0.0104,-0.0064,-0.0105,-0.0099,42.5820,0.0066,-0.0006,-0.0023,0.1452,-0.1832,1.1307,buy
2021-09-22,132.3581,3001000,132.8824,133.2863,131.8769,0.0031,-0.0129,-0.0173,-0.0057,-0.0071,37.1532,0.0044,-0.0011,-0.0022,0.2608,-0.3301,0.7648,hold
2021-09-23,132.4613,2712500,132.0831,133.1488,131.9542,0.0008,-0.0092,-0.0103,-0.0039,-0.0064,37.1818,0.0042,-0.0013,-0.0019,0.2863,-0.0961,0.6969,hold
2021-09-24,132.5214,2366100,132.1347,132.8824,131.9628,0.0005,0.0005,-0.0081,-0.0027,-0.0059,36.7798,0.0042,-0.0015,-0.0017,0.2881,-0.1277,0.6147,sell
2021-09-27,131.2495,4482000,132.1777,132.4785,130.9659,-0.0096,-0.0058,-0.0195,-0.0103,-0.0152,40.8124,0.0049,-0.0023,-0.0020,0.0195,0.8943,1.1596,sell
2021-09-28,129.8143,5910900,130.9487,131.0604,128.9978,-0.0109,-0.0162,-0.0264,-0.0185,-0.0255,19.6143,0.0057,-0.0039,-0.0029,-0.1268,0.3188,1.4654,buy
2021-09-29,130.8886,3326500,130.0635,131.6362,129.5049,0.0083,-0.0111,-0.0238,-0.0080,-0.0172,32.1170,0.0061,-0.0044,-0.0027,0.1249,-0.4372,0.8453,sell
2021-09-30,129.2643,4949200,131.6792,131.8597,129.2299,-0.0124,-0.0241,-0.0331,-0.0170,-0.0289,27.4756,0.0069,-0.0058,-0.0033,-0.0489,0.4878,1.2462,buy
2021-10-01,129.7283,4274300,130.0721,130.2955,128.4994,0.0036,-0.0211,-0.0206,-0.0114,-0.0250,28.9956,0.0069,-0.0065,-0.0032,0.0787,-0.1364,1.0575,sell
2021-10-04,129.0838,5404900,129.6682,131.4901,128.4650,-0.0050,-0.0165,-0.0222,-0.0141,-0.0291,28.6454,0.0069,-0.0074,-0.0032,0.0407,0.2645,1.2837,buy
2021-10-05,129.8487,6103100,130.0807,130.9659,128.9721,0.0059,0.0003,-0.0160,-0.0067,-0.0227,28.7686,0.0074,-0.0075,-0.0027,0.1889,0.1292,1.4243,buy
2021-10-06,133.1746,5499200,129.6338,133.3465,128.8775,0.0256,0.0175,0.0062,0.0181,0.0026,48.0026,0.0113,-0.0053,-0.0005,0.6816,-0.0989,1.2498,buy
2021-10-07,134.4036,4605100,133.6559,135.5724,133.6559,0.0092,0.0398,0.0147,0.0260,0.0117,57.5234,0.0117,-0.0029,0.0015,0.8534,-0.1626,1.0343,hold
2021-10-08,134.0942,4186000,134.5583,134.6786,133.6301,-0.0023,0.0337,0.0119,0.0224,0.0093,58.1426,0.0117,-0.0013,0.0025,0.7996,-0.0910,0.9367,hold
2021-10-11,134.2747,2738100,134.4036,135.1255,133.7762,0.0013,0.0402,0.0230,0.0214,0.0106,59.0003,0.0111,0.0002,0.0031,0.8180,-0.3459,0.6170,buy
2021-10-12,134.8676,3195400,134.2574,135.6583,134.2488,0.0044,0.0387,0.0389,0.0220,0.0149,59.5925,0.0101,0.0016,0.0037,0.8722,0.1670,0.7170,buy
2021-10-13,135.7786,3599900,135.3231,135.8302,134.0856,0.0068,0.0196,0.0374,0.0251,0.0214,61.9431,0.0100,0.0033,0.0042,0.9523,0.1266,0.8086,buy
2021-10-14,136.8700,3677100,136.3200,137.0677,136.3114,0.0080,0.0184,0.0588,0.0275,0.0288,64.5736,0.0083,0.0051,0.0049,1.0085,0.0214,0.8345,sell
2021-10-15,136.4833,4313000,137.2138,137.2138,135.3661,-0.0028,0.0178,0.0521,0.0194,0.0251,68.6466,0.0087,0.0064,0.0049,0.9083,0.1729,1.0231,sell
2021-10-18,135.8645,3274200,135.9591,136.3888,134.7559,-0.0045,0.0118,0.0525,0.0097,0.0199,72.8869,0.0087,0.0069,0.0043,0.8103,-0.2409,0.7976,buy
2021-10-19,137.5920,3125800,136.3372,137.6436,135.3919,0.0127,0.0202,0.0596,0.0166,0.0319,74.1637,0.0090,0.0081,0.0045,0.9186,-0.0453,0.7742,buy
2021-10-20,138.6319,3716500,138.0045,139.1217,137.2310,0.0076,0.0210,0.0410,0.0202,0.0387,85.2524,0.0058,0.0096,0.0048,0.9420,0.1890,0.9125,sell
2021-10-21,136.8013,4164700,138.7006,138.7350,136.6294,-0.0132,-0.0005,0.0178,0.0050,0.0243,74.1350,0.0076,0.0097,0.0039,0.7630,0.1206,1.0046,buy
2021-10-22,137.4803,3240300,137.1451,137.9100,137.0506,0.0050,0.0073,0.0253,0.0074,0.0286,78.5841,0.0076,0.0100,0.0034,0.7878,-0.2220,0.7735,sell
2021-10-25,136.8357,3281200,137.4631,137.4631,136.4662,-0.0047,0.0071,0.0191,0.0008,0.0232,73.9824,0.0079,0.0098,0.0025,0.7148,0.0126,0.7946,buy
2021-10-26,138.5116,3684700,136.7927,138.7092,136.7326,0.0122,0.0067,0.0270,0.0104,0.0352,70.6588,0.0085,0.0104,0.0025,0.8138,0.1230,0.9171,sell
2021-10-27,138.0303,3751800,139.0100,139.0873,137.1279,-0.0035,-0.0043,0.0166,0.0052,0.0311,64.9011,0.0086,0.0105,0.0021,0.7501,0.0182,0.9288,buy
