date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,34.9913,20801500,35.5132,35.5746,34.9299,-0.0096,-0.0267,-0.0378,-0.0175,0.0303,29.0494,0.0099,0.0070,-0.0099,0.1468,-0.0412,0.5183,sell
2021-09-13,34.2161,37086200,35.1064,35.1755,33.9244,-0.0222,-0.0482,-0.0433,-0.0351,0.0050,13.2048,0.0109,0.0030,-0.0114,0.0459,0.7829,0.9220,hold
2021-09-14,34.3159,24100200,34.2852,34.7380,34.1931,0.0029,-0.0436,-0.0438,-0.0280,0.0055,18.6324,0.0108,-0.0001,-0.0115,0.1173,-0.3502,0.6098,hold
2021-09-15,34.3619,28674600,34.2007,34.8224,34.1317,0.0013,-0.0374,-0.0282,-0.0239,0.0042,22.8173,0.0103,-0.0023,-0.0110,0.1475,0.1898,0.7643,sell
2021-09-16,34.1317,22424200,34.4463,34.5308,33.7940,-0.0067,-0.0339,-0.0341,-0.0271,-0.0050,22.0729,0.0103,-0.0047,-0.0107,0.1337,-0.2180,0.6555,sell
2021-09-17,33.6865,56370500,33.9014,34.1240,33.2413,-0.0130,-0.0373,-0.0630,-0.0336,-0.0201,22.9540,0.0077,-0.0075,-0.0110,0.0871,1.5138,1.6512,buy
2021-09-20,33.9244,41873000,33.3027,34.2698,33.3027,0.0071,-0.0085,-0.0564,-0.0210,-0.0154,25.1940,0.0086,-0.0090,-0.0099,0.1694,-0.2572,1.2146,sell
2021-09-21,33.7095,23645600,33.9628,34.3312,33.6558,-0.0063,-0.0177,-0.0605,-0.0211,-0.0236,27.3684,0.0085,-0.0107,-0.0093,0.1231,-0.4353,0.7573,hold
2021-09-22,33.7326,22616700,33.7633,34.0703,33.6404,0.0007,-0.0183,-0.0550,-0.0148,-0.0249,28.0002,0.0088,-0.0118,-0.0083,0.1525,-0.0435,0.7609,buy
2021-09-23,33.9168,19719200,33.9858,34.3235,33.8861,0.0055,-0.0063,-0.0400,-0.0053,-0.0216,18.3772,0.0092,-0.0121,-0.0069,0.2262,-0.1281,0.7003,sell
2021-09-24,33.7249,16150700,33.8246,34.0856,33.6251,-0.0057,0.0011,-0.0362,-0.0073,-0.0290,17.3425,0.0090,-0.0127,-0.0060,0.2007,-0.1810,0.5870,sell
2021-09-27,33.4409,19955900,33.7095,33.8707,33.3948,-0.0084,-0.0143,-0.0227,-0.0134,-0.0386,16.3138,0.0066,-0.0137,-0.0056,0.1606,0.2356,0.7428,sell
2021-09-28,33.0341,28512200,33.0571,33.2183,32.5659,-0.0122,-0.0200,-0.0374,-0.0217,-0.0517,15.3694,0.0070,-0.0155,-0.0058,0.0985,0.4288,1.0559,buy
2021-09-29,33.4102,18037200,33.1723,33.5330,33.0648,0.0114,-0.0096,-0.0277,-0.0078,-0.0421,25.0996,0.0084,-0.0155,-0.0047,0.2284,-0.3674,0.6890,sell
2021-09-30,33.0111,21103300,33.6098,33.8093,32.9804,-0.0119,-0.0267,-0.0328,-0.0163,-0.0545,24.7060,0.0088,-0.0166,-0.0045,0.1629,0.1700,0.8247,hold
2021-10-01,32.9497,38483000,32.6350,33.0802,32.0056,-0.0019,-0.0230,-0.0219,-0.0160,-0.0571,30.2159,0.0082,-0.0173,-0.0042,0.1744,0.8236,1.4684,sell
2021-10-04,32.5582,28906500,32.9497,33.2720,32.3971,-0.0119,-0.0264,-0.0403,-0.0237,-0.0687,24.8352,0.0080,-0.0188,-0.0044,0.1014,-0.2489,1.0862,hold
2021-10-05,32.4815,19342600,32.6427,32.8422,32.4508,-0.0024,-0.0167,-0.0364,-0.0224,-0.0713,23.3116,0.0079,-0.0198,-0.0043,0.1035,-0.3309,0.7364,sell
2021-10-06,32.2512,30483800,32.2819,32.3894,31.9979,-0.0071,-0.0347,-0.0439,-0.0250,-0.0780,23.3116,0.0079,-0.0211,-0.0044,0.0604,0.5760,1.1291,buy
2021-10-07,32.8038,19778300,32.6350,32.9727,32.3971,0.0171,-0.0063,-0.0328,-0.0049,-0.0620,37.8435,0.0101,-0.0200,-0.0029,0.2463,-0.3512,0.7352,sell
2021-10-08,32.5813,12778600,32.7962,32.9343,32.4968,-0.0068,-0.0112,-0.0339,-0.0082,-0.0683,31.4225,0.0101,-0.0199,-0.0021,0.1855,-0.3539,0.4822,sell
2021-10-11,32.2819,11984200,32.5813,32.7117,32.2436,-0.0092,-0.0085,-0.0347,-0.0139,-0.0765,30.7054,0.0101,-0.0204,-0.0020,0.1188,-0.0622,0.4747,sell
2021-10-12,32.1208,16222300,32.3587,32.3971,31.9749,-0.0050,-0.0111,-0.0276,-0.0161,-0.0803,28.9999,0.0097,-0.0209,-0.0019,0.1041,0.3536,0.6527,sell
2021-10-13,31.7907,28205700,32.0440,32.1668,31.4223,-0.0103,-0.0143,-0.0485,-0.0213,-0.0880,23.3141,0.0085,-0.0220,-0.0023,0.0391,0.7387,1.1360,buy
