date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,126.7558,5750000,126.6942,127.0460,126.0434,0.0010,0.0013,0.0120,0.0039,0.0217,43.9850,0.0049,0.0052,-0.0008,0.6091,-0.0952,0.9978,buy
2021-09-13,128.1189,9952500,127.3890,129.4821,127.3890,0.0108,0.0113,0.0237,0.0123,0.0310,57.5656,0.0057,0.0059,-0.0001,0.9651,0.7309,1.6544,sell
2021-09-14,127.8990,5831800,128.5147,128.7169,127.4769,-0.0017,0.0134,0.0175,0.0088,0.0278,64.2950,0.0057,0.0062,0.0002,0.8735,-0.4140,0.9711,sell
2021-09-15,127.6264,6237100,127.8287,128.1981,127.2922,-0.0021,0.0036,0.0192,0.0048,0.0241,65.9721,0.0056,0.0063,0.0002,0.7919,0.0695,1.0503,sell
2021-09-16,126.7382,6142100,127.3801,127.6880,125.6037,-0.0070,0.0008,0.0019,-0.0024,0.0159,60.0239,0.0054,0.0057,-0.0003,0.5416,-0.0152,1.0433,hold
2021-09-17,126.9404,18737400,126.9668,128.6466,126.8437,0.0016,0.0015,0.0027,-0.0011,0.0163,61.8712,0.0054,0.0053,-0.0006,0.6073,2.0507,2.8674,sell
2021-09-20,125.6652,10238700,126.8349,127.3890,124.8561,-0.0100,-0.0192,-0.0081,-0.0103,0.0051,49.7870,0.0063,0.0041,-0.0014,0.2735,-0.4536,1.5095,hold
2021-09-21,125.8587,6651300,125.7444,127.1075,125.6564,0.0015,-0.0160,-0.0028,-0.0085,0.0057,53.9734,0.0063,0.0032,-0.0018,0.3445,-0.3504,0.9654,buy
2021-09-22,126.2897,6332500,126.4831,126.9493,125.6389,0.0034,-0.0105,-0.0069,-0.0044,0.0081,48.5186,0.0058,0.0028,-0.0018,0.4613,-0.0479,0.9075,buy
2021-09-23,126.8085,5171200,126.6942,127.2483,126.1929,0.0041,0.0006,0.0014,-0.0005,0.0112,51.3987,0.0058,0.0027,-0.0015,0.5936,-0.1834,0.7342,sell
2021-09-24,126.2457,5009400,126.4655,127.0372,125.8411,-0.0044,-0.0055,-0.0040,-0.0045,0.0060,47.2586,0.0060,0.0023,-0.0015,0.4074,-0.0313,0.7099,sell
2021-09-27,124.5835,5749700,125.8939,125.9115,124.4604,-0.0132,-0.0086,-0.0276,-0.0149,-0.0075,41.1650,0.0058,0.0009,-0.0024,-0.0618,0.1478,0.8090,sell
