date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,159.5239,1358300,161.3467,161.3467,159.2492,-0.0032,-0.0003,0.0035,-0.0001,0.0205,63.4314,0.0105,0.0060,0.0005,0.6607,-0.1391,0.8940,buy
2021-09-13,161.8544,1295000,161.3383,162.9031,160.3562,0.0146,0.0154,-0.0003,0.0145,0.0350,65.5694,0.0098,0.0068,0.0011,0.8794,-0.0466,0.8598,sell
2021-09-14,156.7688,3781900,162.3205,163.1861,154.8295,-0.0314,-0.0201,-0.0119,-0.0162,0.0028,49.7677,0.0127,0.0051,-0.0006,0.3471,1.9204,2.3331,buy
2021-09-15,158.2920,1613400,156.0031,159.2409,156.0031,0.0097,-0.0080,-0.0048,-0.0062,0.0122,46.2744,0.0131,0.0043,-0.0011,0.4965,-0.5734,0.9797,hold
2021-09-16,158.0590,985400,159.4822,160.5227,157.4264,-0.0015,-0.0124,0.0022,-0.0078,0.0102,47.8278,0.0128,0.0035,-0.0015,0.4481,-0.3892,0.5980,sell
2021-09-17,157.2433,2850400,158.0589,159.2825,156.7356,-0.0052,-0.0143,-0.0146,-0.0115,0.0042,37.7359,0.0122,0.0025,-0.0021,0.3006,1.8926,1.6575,sell
2021-09-20,153.7059,2406200,152.9235,154.0139,151.2173,-0.0225,-0.0503,-0.0358,-0.0303,-0.0180,37.1652,0.0139,-0.0002,-0.0039,-0.1365,-0.1558,1.3594,hold
2021-09-21,153.1233,1242700,154.4800,155.5037,153.1066,-0.0038,-0.0233,-0.0429,-0.0298,-0.0210,34.7325,0.0137,-0.0026,-0.0051,-0.1054,-0.4835,0.7002,buy
2021-09-22,156.2029,1309200,154.7713,157.2932,154.7296,0.0201,-0.0132,-0.0211,-0.0081,-0.0013,46.4412,0.0157,-0.0028,-0.0042,0.2479,0.0535,0.7396,buy
2021-09-23,161.1469,1312200,157.6761,162.3038,157.6761,0.0317,0.0195,0.0069,0.0226,0.0296,53.2601,0.0190,-0.0005,-0.0014,0.7819,0.0023,0.7482,hold
