date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,82.2529,1269200,83.5769,83.6878,82.2132,-0.0076,-0.0122,-0.0170,-0.0133,0.0156,52.5454,0.0085,0.0051,-0.0034,0.2210,-0.0999,0.7939,buy
2021-09-13,83.5690,1400700,83.2598,83.7830,82.5383,0.0160,0.0050,-0.0182,0.0043,0.0312,53.9276,0.0082,0.0051,-0.0026,0.5838,0.1036,0.8796,sell
2021-09-14,82.2291,1730900,84.0367,84.1715,81.9041,-0.0160,-0.0106,-0.0199,-0.0098,0.0144,42.5126,0.0086,0.0039,-0.0031,0.2410,0.2357,1.0871,buy
2021-09-15,82.7048,2148700,82.5542,83.5134,82.2925,0.0058,-0.0031,-0.0147,-0.0026,0.0192,38.9577,0.0089,0.0033,-0.0029,0.3836,0.2414,1.3407,sell
2021-09-16,82.1419,2001000,82.9585,83.5531,81.9754,-0.0068,-0.0089,-0.0109,-0.0083,0.0114,41.0233,0.0085,0.0023,-0.0032,0.2354,-0.0687,1.2370,sell
2021-09-17,81.7693,4747500,81.7138,83.1012,81.4759,-0.0045,-0.0059,-0.0180,-0.0110,0.0054,27.5533,0.0085,0.0011,-0.0035,0.1141,1.3726,2.6903,sell
2021-09-20,78.3999,3601800,79.5574,79.8032,76.9411,-0.0412,-0.0619,-0.0572,-0.0462,-0.0359,21.3697,0.0151,-0.0033,-0.0065,-0.3411,-0.2413,1.9481,sell
2021-09-21,77.6150,2430700,78.7408,79.1927,77.1235,-0.0100,-0.0561,-0.0661,-0.0494,-0.0451,19.4488,0.0150,-0.0076,-0.0087,-0.2029,-0.3251,1.2836,buy
2021-09-22,79.3195,1963500,78.8756,79.9855,78.7804,0.0220,-0.0409,-0.0439,-0.0242,-0.0243,33.3098,0.0175,-0.0089,-0.0080,0.0928,-0.1922,1.0220,buy
2021-09-23,81.8248,1669300,80.2788,82.6651,80.1678,0.0316,-0.0039,-0.0127,0.0079,0.0056,44.6344,0.0209,-0.0072,-0.0050,0.4309,-0.1498,0.8617,hold
2021-09-24,82.2529,1292300,81.8486,83.0932,81.7772,0.0052,0.0059,0.0000,0.0132,0.0100,46.7165,0.0209,-0.0056,-0.0027,0.4973,-0.2258,0.6701,buy
2021-09-27,84.5203,1773900,83.2439,85.2576,83.1646,0.0276,0.0781,0.0114,0.0399,0.0360,54.4147,0.0221,-0.0020,0.0006,0.8148,0.3727,0.9143,sell
2021-09-28,83.6958,1800700,84.8057,85.5192,83.6403,-0.0098,0.0783,0.0178,0.0279,0.0237,52.2132,0.0217,-0.0001,0.0021,0.7033,0.0151,0.9184,hold
2021-09-29,83.9495,1427100,83.9970,84.3300,83.3549,0.0030,0.0584,0.0150,0.0294,0.0253,53.1795,0.0216,0.0017,0.0030,0.7385,-0.2075,0.7504,sell
2021-09-30,83.4025,2491000,84.4331,84.8295,82.9426,-0.0065,0.0193,0.0153,0.0212,0.0176,53.4312,0.0216,0.0026,0.0031,0.6591,0.7455,1.2728,buy
2021-10-01,84.1794,1238700,83.6403,84.7502,82.8872,0.0093,0.0234,0.0295,0.0276,0.0255,51.8827,0.0216,0.0039,0.0036,0.7548,-0.5027,0.6382,hold
2021-10-04,83.8068,1856600,84.0208,85.6936,83.5531,-0.0044,-0.0084,0.0690,0.0164,0.0195,55.1742,0.0155,0.0046,0.0034,0.6977,0.4988,0.9438,buy
2021-10-05,85.7491,1916200,84.3538,86.0108,83.5214,0.0232,0.0245,0.1048,0.0298,0.0414,59.1082,0.0150,0.0068,0.0045,0.9080,0.0321,0.9700,hold
2021-10-06,85.5985,1525700,84.8929,85.6223,83.7830,-0.0018,0.0196,0.0792,0.0203,0.0379,60.6031,0.0148,0.0083,0.0048,0.8524,-0.2038,0.7687,buy
2021-10-07,86.0108,1518800,86.3596,86.8987,85.8681,0.0048,0.0313,0.0512,0.0201,0.0411,62.9791,0.0122,0.0098,0.0051,0.8599,-0.0045,0.7631,buy
2021-10-08,86.9859,1320200,86.2407,87.3030,86.0345,0.0113,0.0333,0.0575,0.0259,0.0510,80.7844,0.0124,0.0117,0.0056,0.9081,-0.1308,0.6625,hold
2021-10-11,87.2713,1743000,87.2317,88.7221,87.0573,0.0033,0.0413,0.0325,0.0259,0.0522,85.9079,0.0097,0.0133,0.0058,0.8898,0.3203,0.8672,sell
2021-10-12,86.3992,1491200,87.1841,87.7866,86.1535,-0.0100,0.0076,0.0323,0.0125,0.0398,78.0639,0.0098,0.0138,0.0049,0.7780,-0.1445,0.7464,sell
2021-10-13,85.1862,1568100,86.0187,86.1535,83.6165,-0.0140,-0.0048,0.0147,-0.0032,0.0239,64.8458,0.0112,0.0129,0.0032,0.6535,0.0516,0.7964,buy
2021-10-14,87.0335,1323800,86.1376,87.1048,85.7016,0.0217,0.0119,0.0435,0.0141,0.0439,68.7616,0.0124,0.0134,0.0031,0.7904,-0.1558,0.6841,buy
2021-10-15,87.6756,1469400,87.8421,88.3892,87.4537,0.0074,0.0079,0.0415,0.0175,0.0497,64.1939,0.0123,0.0144,0.0033,0.8112,0.1100,0.8297,hold
2021-10-18,87.6122,1111100,87.4616,88.2068,87.0573,-0.0007,0.0039,0.0454,0.0122,0.0476,68.9126,0.0121,0.0150,0.0031,0.7879,-0.2438,0.6748,buy
2021-10-19,88.7301,1191000,88.4684,88.8966,87.9610,0.0128,0.0270,0.0348,0.0216,0.0593,71.3073,0.0107,0.0161,0.0035,0.8949,0.0719,0.7516,buy
2021-10-20,90.3791,1291600,88.5477,90.4267,88.2068,0.0186,0.0610,0.0558,0.0349,0.0771,78.3139,0.0115,0.0180,0.0046,1.0421,0.0845,0.8328,sell
2021-10-21,89.8003,1095400,89.9827,90.8786,89.0155,-0.0064,0.0318,0.0441,0.0239,0.0688,73.1849,0.0121,0.0192,0.0045,0.9309,-0.1519,0.7196,buy
2021-10-22,90.3712,1107300,90.0461,90.8072,89.5467,0.0064,0.0307,0.0389,0.0264,0.0742,76.6409,0.0119,0.0202,0.0045,0.9458,0.0109,0.7318,hold
2021-10-25,90.2285,1309000,90.6407,90.9182,90.1016,-0.0016,0.0299,0.0339,0.0214,0.0710,71.2886,0.0120,0.0208,0.0040,0.8791,0.1822,0.8786,hold
2021-10-26,90.1016,1036000,90.6328,90.9658,89.9986,-0.0014,0.0155,0.0429,0.0157,0.0680,71.4502,0.0112,0.0209,0.0033,0.8303,-0.2086,0.7137,sell
2021-10-27,88.6032,1217100,89.7052,90.6248,88.5319,-0.0166,-0.0196,0.0401,-0.0051,0.0490,61.1909,0.0117,0.0197,0.0014,0.6505,0.1748,0.8446,buy
2021-10-28,89.2533,1103800,88.7776,89.6497,88.6270,0.0073,-0.0061,0.0255,-0.0002,0.0550,60.0704,0.0101,0.0187,0.0005,0.7045,-0.0931,0.8047,sell
2021-10-29,87.2475,2199700,89.1820,89.4515,86.8274,-0.0225,-0.0346,-0.0049,-0.0222,0.0299,49.9084,0.0126,0.0164,-0.0018,0.4411,0.9928,1.5494,buy
2021-11-01,88.2623,1272300,88.0403,88.3733,87.1365,0.0116,-0.0218,0.0074,-0.0116,0.0402,57.0998,0.0132,0.0148,-0.0025,0.5496,-0.4216,0.9150,hold
2021-11-02,88.1355,1799000,88.1355,88.8490,87.6598,-0.0014,-0.0218,-0.0067,-0.0124,0.0375,62.2529,0.0125,0.0135,-0.0031,0.5141,0.4140,1.2992,buy
2021-11-03,90.3315,2970200,86.4151,91.5841,85.9394,0.0249,0.0195,-0.0005,0.0123,0.0616,63.3162,0.0137,0.0139,-0.0018,0.8223,0.6510,2.0387,sell
2021-11-04,88.6349,2243700,89.8638,90.1571,87.2555,-0.0188,-0.0069,-0.0130,-0.0054,0.0407,53.5693,0.0148,0.0131,-0.0024,0.5372,-0.2446,1.5027,sell
2021-11-05,87.9373,1646700,89.4991,89.9351,87.4457,-0.0079,0.0079,-0.0269,-0.0105,0.0315,51.1549,0.0147,0.0115,-0.0032,0.4109,-0.2661,1.0909,hold
2021-11-08,88.0562,1073700,88.5953,89.4198,87.7311,0.0014,-0.0023,-0.0241,-0.0068,0.0322,47.4226,0.0147,0.0102,-0.0036,0.4233,-0.3480,0.7274,sell
2021-11-09,86.5419,1677700,87.3110,87.6915,85.8205,-0.0172,-0.0181,-0.0395,-0.0199,0.0138,35.1716,0.0155,0.0078,-0.0050,0.1572,0.5625,1.1295,hold
2021-11-10,86.8749,2117900,87.2951,87.9452,85.6857,0.0038,-0.0383,-0.0195,-0.0142,0.0170,38.4760,0.0149,0.0060,-0.0054,0.1614,0.2624,1.4000,buy
2021-11-11,87.4220,1028700,86.8749,87.7946,86.4310,0.0063,-0.0137,-0.0205,-0.0059,0.0224,38.3605,0.0149,0.0050,-0.0051,0.2613,-0.5143,0.6867,hold
2021-11-12,87.8025,1045300,87.2317,87.8342,86.7877,0.0044,-0.0015,0.0064,-0.0022,0.0257,40.6019,0.0131,0.0045,-0.0044,0.3359,0.0161,0.7078,hold
2021-11-15,87.8818,1201900,87.9452,88.3574,87.5488,0.0009,-0.0020,-0.0043,-0.0009,0.0255,41.3686,0.0125,0.0042,-0.0038,0.3479,0.1498,0.8113,buy
2021-11-16,88.2306,1920000,88.1037,89.1740,87.7073,0.0040,0.0195,0.0011,0.0029,0.0284,48.4089,0.0126,0.0042,-0.0030,0.4241,0.5975,1.2649,sell
2021-11-17,87.4299,1327000,88.0007,88.3416,87.2317,-0.0091,0.0064,-0.0321,-0.0029,0.0180,42.3127,0.0093,0.0034,-0.0031,0.2831,-0.3089,0.8732,sell
2021-11-18,86.6133,1307700,87.3110,87.8738,86.0266,-0.0093,-0.0093,-0.0228,-0.0099,0.0076,47.0282,0.0079,0.0021,-0.0036,0.1515,-0.0145,0.8546,sell
2021-11-19,84.4569,2251500,85.2735,85.3765,83.7751,-0.0249,-0.0381,-0.0396,-0.0307,-0.0180,33.8926,0.0106,-0.0011,-0.0055,-0.1399,0.7217,1.4183,buy
2021-11-22,86.1399,1920900,85.1702,87.1578,84.7534,0.0199,-0.0198,-0.0218,-0.0092,0.0010,42.5366,0.0130,-0.0019,-0.0050,0.1907,-0.1468,1.1872,buy
2021-11-23,88.3119,1953400,86.9253,88.5202,86.7170,0.0252,0.0009,0.0205,0.0137,0.0248,42.4327,0.0144,-0.0006,-0.0029,0.6223,0.0169,1.1740,sell
2021-11-24,87.6226,1558000,88.1916,88.5443,87.1578,-0.0078,0.0022,0.0086,0.0049,0.0156,45.8973,0.0147,-0.0002,-0.0020,0.4924,-0.2024,0.9269,sell
2021-11-26,84.2325,1737000,83.7516,84.6813,81.9243,-0.0387,-0.0275,-0.0365,-0.0304,-0.0242,37.6751,0.0191,-0.0030,-0.0039,-0.0766,0.1149,1.0142,hold
2021-11-29,84.1764,1847500,85.5308,85.6110,83.3268,-0.0007,-0.0033,-0.0413,-0.0270,-0.0254,37.0388,0.0190,-0.0053,-0.0050,0.0053,0.0636,1.0900,sell
2021-11-30,81.9564,4139100,82.9261,83.1585,81.3873,-0.0264,-0.0486,-0.0674,-0.0461,-0.0518,35.3709,0.0201,-0.0094,-0.0072,-0.1443,1.2404,2.2515,sell
2021-12-01,80.1852,2175500,83.7837,84.0481,80.1531,-0.0216,-0.0920,-0.0912,-0.0579,-0.0729,30.4519,0.0202,-0.0144,-0.0097,-0.1543,-0.4744,1.1714,buy
2021-12-02,82.8860,2056600,80.9465,83.6634,80.4657,0.0337,-0.0541,-0.0520,-0.0209,-0.0424,38.2275,0.0244,-0.0148,-0.0082,0.1562,-0.0547,1.1353,hold
2021-12-03,82.3330,2329300,82.8059,83.5993,81.5075,-0.0067,-0.0225,-0.0494,-0.0225,-0.0489,35.9305,0.0243,-0.0159,-0.0075,0.1421,0.1326,1.2828,buy
2021-12-06,83.5112,2046900,83.3990,84.8336,83.1986,0.0143,-0.0079,-0.0112,-0.0074,-0.0356,39.3588,0.0239,-0.0152,-0.0055,0.2845,-0.1212,1.1150,buy
2021-12-07,84.7534,1686600,84.1523,85.1942,83.5913,0.0149,0.0341,-0.0161,0.0090,-0.0213,41.8870,0.0234,-0.0133,-0.0030,0.4256,-0.1760,0.9037,hold
2021-12-08,84.7214,1323700,85.0019,85.7552,84.6973,-0.0004,0.0566,-0.0407,0.0130,-0.0219,43.4454,0.0215,-0.0118,-0.0012,0.4315,-0.2152,0.7160,buy
2021-12-09,85.3785,1329700,84.4008,85.8193,83.9680,0.0078,0.0301,-0.0256,0.0236,-0.0147,46.9886,0.0218,-0.0099,0.0006,0.5081,0.0045,0.7349,hold
2021-12-10,85.7873,1424600,86.0678,86.4365,85.2183,0.0048,0.0420,0.0185,0.0265,-0.0105,53.5470,0.0177,-0.0078,0.0020,0.5612,0.0714,0.7788,sell
2021-12-13,84.2164,1642800,85.2503,85.3625,83.8798,-0.0183,0.0084,0.0005,0.0077,-0.0286,44.8410,0.0188,-0.0078,0.0018,0.4081,0.1532,0.8837,buy
2021-12-14,85.8033,2505500,84.2645,86.6048,84.2485,0.0188,0.0124,0.0469,0.0220,-0.0108,43.0537,0.0171,-0.0060,0.0027,0.6006,0.5251,1.3021,hold
2021-12-15,85.6991,2302500,86.0998,86.2922,84.0161,-0.0012,0.0115,0.0688,0.0141,-0.0120,44.4954,0.0146,-0.0047,0.0032,0.6100,-0.0810,1.1848,buy
2021-12-16,86.5968,1870700,86.7330,87.4543,86.0438,0.0105,0.0143,0.0448,0.0202,-0.0018,57.8920,0.0113,-0.0027,0.0041,0.7320,-0.1875,0.9494,sell
2021-12-17,84.4569,4717300,86.3804,86.5567,84.3767,-0.0247,-0.0155,0.0258,-0.0075,-0.0262,50.8220,0.0143,-0.0033,0.0030,0.4734,1.5217,2.2034,sell
2021-12-20,81.4354,2625100,83.1104,83.2707,80.3054,-0.0358,-0.0330,-0.0249,-0.0406,-0.0598,48.5419,0.0181,-0.0067,-0.0002,0.1255,-0.4435,1.2155,buy
2021-12-21,84.9297,2236400,82.5414,85.3625,82.5414,0.0429,-0.0102,0.0021,0.0003,-0.0189,62.1113,0.0226,-0.0056,0.0006,0.5594,-0.1481,1.0280,buy
2021-12-22,85.6831,1410000,84.8175,85.9396,84.6973,0.0089,-0.0002,0.0114,0.0081,-0.0101,57.9282,0.0228,-0.0041,0.0016,0.6863,-0.3695,0.6564,buy
2021-12-23,86.7570,1222400,86.2281,87.4142,86.2281,0.0125,0.0019,0.0161,0.0190,0.0020,62.1800,0.0230,-0.0019,0.0030,0.8529,-0.1330,0.5735,hold
2021-12-27,87.2219,1147200,86.8933,87.2459,86.2040,0.0054,0.0327,0.0167,0.0228,0.0073,60.6339,0.0230,0.0003,0.0041,0.8724,-0.0615,0.5458,hold
2021-12-28,87.4062,1934900,86.9734,88.2397,86.8212,0.0021,0.0733,0.0379,0.0211,0.0095,58.0929,0.0219,0.0021,0.0047,0.8542,0.6866,0.9186,hold
2021-12-29,87.4222,842200,87.9752,88.1996,87.3581,0.0002,0.0293,0.0189,0.0194,0.0097,58.2477,0.0213,0.0035,0.0049,0.8226,-0.5647,0.4338,hold
2021-12-30,87.0616,853600,87.7028,88.1916,86.9815,-0.0041,0.0161,0.0159,0.0136,0.0060,55.2343,0.0213,0.0043,0.0045,0.7717,0.0135,0.4552,hold
2021-12-31,86.7490,1001700,86.8131,87.4463,86.6048,-0.0036,-0.0001,0.0018,0.0097,0.0032,53.0090,0.0212,0.0045,0.0038,0.7047,0.1735,0.5496,buy
