date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,281.8788,3816600,286.1221,286.5186,281.6706,-0.0089,-0.0042,0.0391,-0.0081,-0.0080,61.2297,0.0175,0.0045,0.0040,0.6300,-0.0847,0.6506,sell
2021-09-13,278.0817,4836500,284.2582,284.7242,275.4148,-0.0135,-0.0299,0.0078,-0.0222,-0.0207,53.4828,0.0176,0.0030,0.0020,0.4881,0.2672,0.8193,buy
2021-09-14,279.8166,4216700,279.4240,280.7387,277.3083,0.0062,-0.0376,-0.0216,-0.0140,-0.0141,52.7514,0.0128,0.0022,0.0010,0.5426,-0.1282,0.7209,hold
2021-09-15,280.0050,4056800,281.7697,283.2965,277.1002,0.0007,-0.0098,-0.0216,-0.0112,-0.0127,54.9396,0.0128,0.0016,0.0004,0.5311,-0.0379,0.7175,hold
2021-09-16,280.5404,3606700,278.6270,281.2542,277.9825,0.0019,-0.0136,-0.0132,-0.0080,-0.0098,60.5174,0.0127,0.0013,0.0000,0.5278,-0.1109,0.6449,sell
2021-09-17,273.9673,8117200,279.7572,280.0744,273.5509,-0.0234,-0.0281,-0.0322,-0.0281,-0.0318,47.8542,0.0145,-0.0008,-0.0017,0.2178,1.2506,1.4135,sell
2021-09-20,267.5925,7728300,269.2184,270.6560,263.3988,-0.0233,-0.0377,-0.0665,-0.0443,-0.0523,28.2466,0.0146,-0.0045,-0.0043,-0.0354,-0.0479,1.3054,hold
2021-09-21,267.1761,4326100,269.4167,269.9610,265.5006,-0.0016,-0.0452,-0.0811,-0.0376,-0.0515,27.6521,0.0128,-0.0074,-0.0058,0.0110,-0.4402,0.7381,buy
2021-09-22,270.0016,5574100,268.1378,271.1220,264.2118,0.0106,-0.0357,-0.0452,-0.0230,-0.0395,33.5615,0.0122,-0.0087,-0.0057,0.1541,0.2885,0.9348,buy
2021-09-23,276.7036,5409600,272.0936,277.5464,271.4293,0.0248,-0.0137,-0.0271,0.0041,-0.0142,43.4880,0.0151,-0.0075,-0.0036,0.4007,-0.0295,0.8996,hold
2021-09-24,275.7221,3985800,273.6501,275.9402,272.3315,-0.0035,0.0064,-0.0218,0.0028,-0.0164,38.2164,0.0150,-0.0069,-0.0024,0.3508,-0.2632,0.6608,sell
