date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,128.6773,6263300,129.0832,131.6715,128.5510,0.0078,-0.0168,0.0068,-0.0107,-0.0050,54.1266,0.0088,-0.0015,-0.0021,0.3654,0.0117,0.9829,buy
2021-09-13,129.3357,4312800,129.8858,130.5261,128.0911,0.0051,-0.0084,-0.0053,-0.0051,-0.0003,49.7764,0.0069,-0.0015,-0.0016,0.4756,-0.3114,0.6846,sell
2021-09-14,127.2885,6442100,130.2917,130.5983,126.8195,-0.0158,-0.0182,-0.0284,-0.0180,-0.0160,41.5972,0.0077,-0.0028,-0.0023,0.1902,0.4937,1.0063,sell
2021-09-15,124.6731,11289100,126.9908,127.1622,124.0237,-0.0205,-0.0300,-0.0532,-0.0330,-0.0359,36.2771,0.0090,-0.0055,-0.0040,-0.0794,0.7524,1.7097,hold
2021-09-16,124.8174,6719900,123.8434,125.3224,123.8434,0.0012,-0.0225,-0.0550,-0.0264,-0.0347,40.0957,0.0088,-0.0074,-0.0048,0.0123,-0.4047,1.0164,sell
2021-09-17,120.4884,14550500,124.2853,124.4566,120.0736,-0.0347,-0.0636,-0.0794,-0.0524,-0.0677,22.3097,0.0127,-0.0120,-0.0074,-0.2379,1.1653,2.1069,sell
2021-09-20,119.7309,9647100,118.5675,120.0555,117.7919,-0.0063,-0.0743,-0.0821,-0.0504,-0.0725,16.8459,0.0127,-0.0159,-0.0090,-0.1257,-0.3370,1.3623,sell
2021-09-21,118.8200,6175300,120.4794,120.7680,118.3961,-0.0076,-0.0665,-0.0835,-0.0495,-0.0782,12.7095,0.0126,-0.0194,-0.0100,-0.0585,-0.3599,0.8767,buy
2021-09-22,119.9563,5163000,119.5776,120.3892,119.0274,0.0096,-0.0378,-0.0667,-0.0338,-0.0684,16.2990,0.0139,-0.0209,-0.0093,0.0786,-0.1639,0.7431,buy
2021-09-23,120.7680,5918900,120.6237,121.8953,120.1457,0.0068,-0.0324,-0.0542,-0.0218,-0.0609,21.2713,0.0145,-0.0213,-0.0078,0.1665,0.1464,0.8506,hold
2021-09-24,120.7410,4554600,120.0465,121.3452,119.7670,-0.0002,0.0021,-0.0617,-0.0157,-0.0602,21.7850,0.0139,-0.0215,-0.0064,0.1973,-0.2305,0.6654,hold
2021-09-27,120.3802,4319500,119.4332,120.8852,119.0635,-0.0030,0.0054,-0.0692,-0.0114,-0.0623,22.3480,0.0134,-0.0217,-0.0052,0.2101,-0.0516,0.6402,sell
2021-09-28,117.1515,8851700,118.8200,119.7128,116.9712,-0.0268,-0.0140,-0.0796,-0.0298,-0.0864,19.8376,0.0146,-0.0244,-0.0060,0.0951,1.0492,1.2780,sell
2021-09-29,116.5924,7037200,117.7738,118.5494,116.2407,-0.0048,-0.0280,-0.0648,-0.0279,-0.0895,20.1458,0.0140,-0.0262,-0.0062,0.1133,-0.2050,1.0218,hold
2021-09-30,116.3218,6976800,117.5574,118.2157,116.0693,-0.0023,-0.0368,-0.0681,-0.0233,-0.0900,15.4043,0.0138,-0.0275,-0.0059,0.1369,-0.0086,1.0092,hold
2021-10-01,116.0783,6863700,117.0614,117.2598,114.0582,-0.0021,-0.0386,-0.0366,-0.0217,-0.0903,11.9960,0.0098,-0.0284,-0.0054,0.1594,-0.0162,0.9867,sell
2021-10-04,114.2476,8470300,116.2677,117.0523,113.5622,-0.0158,-0.0509,-0.0458,-0.0327,-0.1024,12.1467,0.0105,-0.0305,-0.0057,0.1105,0.2341,1.1923,buy
2021-10-05,115.0141,9244300,113.7515,116.1324,113.3547,0.0067,-0.0182,-0.0320,-0.0230,-0.0944,18.5924,0.0110,-0.0306,-0.0048,0.1790,0.0914,1.2753,buy
2021-10-06,115.4921,8513700,114.1303,115.6815,113.6974,0.0042,-0.0094,-0.0372,-0.0152,-0.0891,20.3215,0.0104,-0.0301,-0.0035,0.2286,-0.0790,1.1544,hold
2021-10-07,115.2937,8010600,116.5744,117.8911,115.0683,-0.0017,-0.0088,-0.0453,-0.0123,-0.0888,27.5701,0.0098,-0.0297,-0.0024,0.2425,-0.0591,1.0729,sell
2021-10-08,114.1303,6920500,115.9701,115.9701,113.8237,-0.0101,-0.0168,-0.0548,-0.0167,-0.0949,26.6366,0.0098,-0.0300,-0.0020,0.2009,-0.1361,0.9228,sell
2021-10-11,112.6783,6288200,113.6884,114.7436,112.6242,-0.0127,-0.0137,-0.0640,-0.0227,-0.1034,25.4860,0.0100,-0.0312,-0.0022,0.1287,-0.0914,0.8276,sell
2021-10-12,110.8836,10531500,113.0751,113.1563,110.1802,-0.0159,-0.0359,-0.0535,-0.0330,-0.1144,15.5951,0.0079,-0.0332,-0.0030,0.0417,0.6748,1.3498,buy
2021-10-13,112.7685,12373800,112.9128,113.9229,111.3977,0.0170,-0.0236,-0.0328,-0.0133,-0.0965,21.9481,0.0107,-0.0321,-0.0019,0.1892,0.1749,1.5750,buy
2021-10-14,116.0332,10637900,113.7786,116.6104,113.6253,0.0290,0.0064,-0.0025,0.0155,-0.0678,36.5464,0.0148,-0.0282,0.0009,0.4462,-0.1403,1.3211,buy
2021-10-15,117.4221,7609700,116.3579,117.6746,116.0513,0.0120,0.0288,0.0116,0.0264,-0.0544,42.0156,0.0152,-0.0243,0.0036,0.5782,-0.2847,0.9876,hold
2021-10-18,117.3500,5290000,116.6285,117.4852,115.6545,-0.0006,0.0415,0.0272,0.0230,-0.0529,50.6456,0.0140,-0.0212,0.0053,0.5850,-0.3048,0.7065,buy
2021-10-19,119.4964,7330700,118.1616,119.7670,117.5303,0.0183,0.0777,0.0390,0.0377,-0.0336,58.5638,0.0149,-0.0168,0.0074,0.7720,0.3858,0.9716,hold
