date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,645.1613,747100,644.6753,654.3554,640.8172,0.0068,-0.0374,-0.0230,-0.0269,0.0548,42.5697,0.0154,0.0208,-0.0071,0.3481,-0.2869,0.8729,sell
2021-09-13,634.2812,798000,645.7663,647.9781,630.7901,-0.0169,-0.0589,-0.0358,-0.0399,0.0349,35.0619,0.0161,0.0169,-0.0092,0.1423,0.0681,0.9336,buy
2021-09-14,639.8652,602100,634.6680,645.0920,634.6680,0.0088,-0.0354,-0.0472,-0.0268,0.0419,37.0725,0.0144,0.0139,-0.0096,0.1908,-0.2455,0.7156,buy
2021-09-15,646.6589,883100,653.2545,659.5425,643.6934,0.0106,-0.0257,-0.0318,-0.0133,0.0506,41.5784,0.0152,0.0122,-0.0088,0.3080,0.4667,1.0687,hold
2021-09-16,647.8293,539900,644.3877,651.2907,638.1096,0.0018,0.0109,-0.0408,-0.0073,0.0502,43.6904,0.0145,0.0110,-0.0080,0.2932,-0.3886,0.7001,hold
2021-09-17,646.5400,761900,643.8522,647.6509,638.0204,-0.0020,0.0021,-0.0353,-0.0057,0.0455,44.2134,0.0144,0.0098,-0.0074,0.2733,0.4112,1.0226,sell
2021-09-20,635.6400,666400,638.5659,646.6590,630.9586,-0.0169,0.0021,-0.0569,-0.0166,0.0259,31.1097,0.0146,0.0075,-0.0080,0.1043,-0.1253,0.9344,buy
2021-09-21,641.6503,440600,639.8254,651.4791,637.5442,0.0095,0.0028,-0.0327,-0.0040,0.0332,36.5284,0.0149,0.0062,-0.0073,0.2438,-0.3388,0.6427,hold
2021-09-22,641.7595,561800,641.6504,645.6771,634.7772,0.0002,-0.0076,-0.0331,-0.0004,0.0311,31.3161,0.0149,0.0052,-0.0067,0.2695,0.2751,0.8298,hold
2021-09-23,641.2141,537400,641.7000,649.6345,639.0221,-0.0008,-0.0102,0.0006,-0.0013,0.0281,33.0118,0.0100,0.0043,-0.0061,0.2819,-0.0434,0.8000,sell
2021-09-24,633.6663,654500,639.0320,639.0320,627.2691,-0.0118,-0.0199,-0.0178,-0.0113,0.0144,27.3678,0.0104,0.0026,-0.0063,0.1825,0.2179,0.9613,sell
2021-09-27,613.9988,783700,631.4944,631.4944,611.2119,-0.0310,-0.0340,-0.0320,-0.0389,-0.0182,24.8585,0.0132,-0.0013,-0.0084,-0.0380,0.1974,1.1215,sell
2021-09-28,600.0439,1240400,602.2457,612.6498,598.8438,-0.0227,-0.0648,-0.0622,-0.0549,-0.0412,21.4989,0.0138,-0.0064,-0.0109,-0.1015,0.5827,1.7287,hold
2021-09-29,601.7302,615100,602.1666,607.7207,600.0242,0.0028,-0.0624,-0.0695,-0.0455,-0.0391,28.4008,0.0129,-0.0100,-0.0116,0.0071,-0.5041,0.8702,hold
2021-09-30,600.2225,549000,602.7814,608.5537,599.6671,-0.0025,-0.0639,-0.0735,-0.0406,-0.0421,24.3635,0.0127,-0.0130,-0.0117,0.0470,-0.1075,0.7920,sell
2021-10-01,566.1143,1457800,572.0255,573.2652,551.4950,-0.0568,-0.1066,-0.1244,-0.0834,-0.0961,19.2594,0.0198,-0.0209,-0.0156,-0.1588,1.6554,1.9927,sell
2021-10-04,550.8701,992900,560.7386,563.4760,548.5691,-0.0269,-0.1028,-0.1334,-0.0956,-0.1196,13.0832,0.0203,-0.0291,-0.0189,-0.1406,-0.3189,1.3186,sell
2021-10-05,546.3872,930100,551.3561,560.1039,544.7706,-0.0081,-0.0894,-0.1485,-0.0887,-0.1260,7.5924,0.0187,-0.0358,-0.0204,-0.0577,-0.0632,1.2180,sell
2021-10-06,542.0927,890100,543.5110,549.3924,538.9586,-0.0079,-0.0991,-0.1553,-0.0806,-0.1319,6.4325,0.0182,-0.0413,-0.0206,-0.0016,-0.0430,1.1339,buy
2021-10-07,547.4980,774300,543.6498,555.1646,542.8365,0.0100,-0.0878,-0.1462,-0.0565,-0.1223,10.5297,0.0195,-0.0437,-0.0186,0.0945,-0.1301,1.0039,hold
2021-10-08,545.5145,532300,547.3592,550.9694,538.7999,-0.0036,-0.0364,-0.1391,-0.0454,-0.1246,11.3352,0.0198,-0.0459,-0.0166,0.1300,-0.3125,0.6999,sell
2021-10-11,541.7852,538600,545.1474,553.3000,541.1305,-0.0068,-0.0165,-0.1176,-0.0398,-0.1298,6.3016,0.0191,-0.0478,-0.0146,0.1511,0.0118,0.7204,hold
2021-10-12,539.9800,521600,541.6165,544.8498,537.1435,-0.0033,-0.0117,-0.1001,-0.0327,-0.1317,6.1153,0.0189,-0.0490,-0.0125,0.1781,-0.0316,0.7015,hold
2021-10-13,542.6381,664200,543.8382,551.6239,542.4893,0.0049,0.0010,-0.0982,-0.0175,-0.1264,8.2571,0.0190,-0.0486,-0.0098,0.2222,0.2734,0.9066,buy
2021-10-14,551.0685,1055800,548.4699,560.4807,547.5476,0.0155,0.0065,-0.0819,0.0067,-0.1121,15.2827,0.0206,-0.0459,-0.0062,0.2920,0.5896,1.3921,hold
2021-10-15,548.7080,838800,554.3514,554.3514,547.6368,-0.0043,0.0059,-0.0307,0.0056,-0.1145,17.8847,0.0116,-0.0444,-0.0037,0.2990,-0.2055,1.1004,sell
2021-10-18,539.0280,1216200,545.7127,547.9642,534.7632,-0.0176,-0.0051,-0.0215,-0.0100,-0.1282,18.6699,0.0097,-0.0448,-0.0026,0.2635,0.4499,1.5400,buy
2021-10-19,547.5873,985700,543.5308,551.1181,540.5355,0.0159,0.0141,0.0022,0.0055,-0.1126,24.0319,0.0109,-0.0420,-0.0004,0.3359,-0.1895,1.2065,buy
2021-10-20,558.1005,878000,549.6998,558.1103,548.4700,0.0192,0.0285,0.0295,0.0218,-0.0941,31.4038,0.0120,-0.0377,0.0025,0.4270,-0.1093,1.0542,buy
2021-10-21,564.7059,624200,559.8560,566.2333,557.9121,0.0118,0.0247,0.0314,0.0307,-0.0822,49.1788,0.0121,-0.0331,0.0053,0.5054,-0.2891,0.7456,buy
