date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,328.3000,3389400,340.2100,342.0400,328.0000,-0.0300,-0.0525,-0.0673,-0.0534,-0.1645,37.3369,0.0287,-0.0482,0.0005,-0.0708,0.2104,0.9212,sell
2021-09-13,322.8200,4017500,325.7500,326.6700,314.5300,-0.0167,-0.0568,-0.0958,-0.0599,-0.1737,30.2581,0.0278,-0.0511,-0.0013,-0.0738,0.1853,1.0787,sell
2021-09-14,316.7600,3524600,323.2500,329.5300,315.7640,-0.0188,-0.0810,-0.1100,-0.0670,-0.1845,28.6870,0.0278,-0.0547,-0.0031,-0.0706,-0.1227,0.9574,hold
2021-09-15,318.7300,2880500,317.0000,319.5510,311.6100,0.0062,-0.0475,-0.0955,-0.0518,-0.1745,31.2419,0.0284,-0.0553,-0.0032,0.0437,-0.1827,0.8023,buy
2021-09-16,323.0900,3000400,317.4400,323.2800,313.7100,0.0137,-0.0454,-0.1223,-0.0257,-0.1590,34.8623,0.0230,-0.0536,-0.0017,0.1597,0.0416,0.8366,hold
2021-09-17,324.1000,3800500,323.3900,325.8100,316.9700,0.0031,-0.0128,-0.0646,-0.0160,-0.1521,31.9996,0.0167,-0.0518,-0.0001,0.2051,0.2667,1.0561,sell
2021-09-20,316.0100,3275400,316.8360,319.3300,309.6680,-0.0250,-0.0211,-0.0767,-0.0329,-0.1682,29.7369,0.0177,-0.0532,-0.0002,0.1245,-0.1382,0.9054,buy
2021-09-21,319.0000,3675300,319.8580,328.0000,318.0000,0.0095,0.0071,-0.0745,-0.0160,-0.1553,32.9453,0.0179,-0.0515,0.0009,0.2026,0.1221,1.0121,buy
2021-09-22,324.7700,3006600,319.6040,326.0400,316.7100,0.0181,0.0190,-0.0295,0.0048,-0.1353,25.3779,0.0178,-0.0476,0.0030,0.3111,-0.1819,0.8271,buy
2021-09-23,334.5200,5343700,339.4380,339.6000,330.0100,0.0300,0.0354,-0.0116,0.0363,-0.1056,42.1384,0.0203,-0.0411,0.0064,0.4763,0.7773,1.4074,sell
2021-09-24,321.8900,3630700,327.0000,328.3900,318.5000,-0.0378,-0.0068,-0.0195,-0.0009,-0.1355,37.9465,0.0216,-0.0412,0.0066,0.2963,-0.3206,0.9658,hold
2021-09-27,321.2400,3315400,320.2330,321.4000,312.8100,-0.0020,0.0166,-0.0049,-0.0024,-0.1336,35.8420,0.0210,-0.0398,0.0065,0.3061,-0.0868,0.8697,sell
2021-09-28,310.5700,3814800,317.8200,321.1700,306.7300,-0.0332,-0.0264,-0.0195,-0.0337,-0.1580,35.5713,0.0228,-0.0422,0.0045,0.1578,0.1506,0.9772,sell
2021-09-29,302.9200,3447000,312.9600,317.1450,302.1100,-0.0246,-0.0673,-0.0496,-0.0528,-0.1736,29.6309,0.0237,-0.0457,0.0018,0.0767,-0.0964,0.8763,buy
2021-09-30,313.3500,3806100,306.3400,315.8600,303.5100,0.0344,-0.0633,-0.0301,-0.0172,-0.1400,41.4581,0.0262,-0.0428,0.0025,0.2466,0.1042,0.9942,hold
2021-10-01,314.4600,2807100,312.3230,314.6400,306.2200,0.0035,-0.0231,-0.0297,-0.0107,-0.1319,44.9723,0.0263,-0.0408,0.0034,0.2881,-0.2625,0.7757,sell
2021-10-04,296.8600,4992400,313.3300,313.4600,293.9000,-0.0560,-0.0759,-0.0606,-0.0604,-0.1724,39.4909,0.0306,-0.0459,0.0007,-0.0351,0.7785,1.4166,buy
2021-10-05,304.5100,3730300,299.3600,307.9700,296.0000,0.0258,-0.0195,-0.0454,-0.0318,-0.1427,42.9155,0.0320,-0.0444,0.0009,0.1511,-0.2528,1.0449,buy
2021-10-06,321.6900,6083800,301.1300,322.9900,300.6100,0.0564,0.0620,-0.0095,0.0238,-0.0873,49.3815,0.0368,-0.0369,0.0048,0.5745,0.6309,1.6367,hold
2021-10-07,324.4700,3358000,325.8600,328.7500,323.0000,0.0086,0.0355,-0.0300,0.0360,-0.0718,50.1609,0.0355,-0.0316,0.0078,0.6793,-0.4480,0.8967,hold
2021-10-08,323.3600,2222500,326.4600,327.7500,320.0100,-0.0034,0.0283,0.0046,0.0320,-0.0683,53.4037,0.0333,-0.0276,0.0095,0.6595,-0.3381,0.6029,sell
2021-10-11,319.6000,1621400,321.5200,328.2400,319.1900,-0.0116,0.0766,-0.0051,0.0205,-0.0733,50.2759,0.0335,-0.0254,0.0098,0.5575,-0.2705,0.4546,hold
2021-10-12,320.0000,1776200,321.1100,324.8500,319.1400,0.0013,0.0509,0.0304,0.0187,-0.0666,47.6928,0.0314,-0.0229,0.0097,0.5642,0.0955,0.5105,buy
2021-10-13,329.2200,2854600,321.5000,329.8400,319.5450,0.0288,0.0234,0.0868,0.0394,-0.0348,47.4232,0.0307,-0.0180,0.0110,0.8005,0.6071,0.8207,hold
2021-10-14,328.9200,2973900,332.0000,334.1100,328.2100,-0.0009,0.0137,0.0497,0.0333,-0.0305,53.8835,0.0294,-0.0145,0.0116,0.7766,0.0418,0.8554,sell
2021-10-15,324.3800,3078200,329.3000,330.8320,323.7000,-0.0138,0.0032,0.0315,0.0159,-0.0394,51.6631,0.0300,-0.0128,0.0109,0.6547,0.0351,0.8947,buy
2021-10-18,344.4600,4557900,323.8500,344.6700,323.0590,0.0619,0.0778,0.1603,0.0629,0.0230,66.3231,0.0270,-0.0059,0.0132,1.0571,0.4807,1.3005,hold
2021-10-19,344.4500,4972500,342.0000,350.6000,339.1200,-0.0000,0.0764,0.1312,0.0500,0.0262,71.5920,0.0272,-0.0010,0.0144,0.9728,0.0910,1.3930,sell
2021-10-20,338.9300,3307900,347.6400,349.9600,335.2700,-0.0160,0.0295,0.0536,0.0277,0.0122,64.0149,0.0236,0.0016,0.0138,0.8294,-0.3348,0.9228,sell
2021-10-21,333.8300,2550500,335.4280,341.8000,333.3600,-0.0150,0.0149,0.0288,0.0094,-0.0010,60.1680,0.0245,0.0024,0.0119,0.7315,-0.2290,0.7403,sell
2021-10-22,321.8800,4133900,325.7700,328.4100,313.4010,-0.0358,-0.0077,-0.0046,-0.0263,-0.0340,63.9621,0.0274,0.0002,0.0080,0.4985,0.6208,1.1913,hold
2021-10-25,323.1900,2700200,321.9600,327.0500,315.2000,0.0041,-0.0617,0.0112,-0.0234,-0.0280,61.2179,0.0271,-0.0013,0.0052,0.5222,-0.3468,0.7851,hold
2021-10-26,324.0100,2768600,327.0300,333.3440,319.8500,0.0025,-0.0593,0.0125,-0.0221,-0.0236,51.7339,0.0271,-0.0022,0.0034,0.5256,0.0253,0.8174,sell
2021-10-27,316.5700,2254400,325.0400,327.5350,315.8450,-0.0230,-0.0660,-0.0384,-0.0409,-0.0437,44.4802,0.0263,-0.0049,0.0007,0.3545,-0.1857,0.6775,buy
2021-10-28,320.5600,1709200,317.3100,323.2200,314.5000,0.0126,-0.0398,-0.0254,-0.0263,-0.0303,48.1193,0.0268,-0.0058,-0.0002,0.4305,-0.2418,0.5304,sell
2021-10-29,304.9000,3655300,318.7700,321.5300,303.6500,-0.0489,-0.0528,-0.0601,-0.0684,-0.0755,41.4871,0.0305,-0.0109,-0.0040,0.1208,1.1386,1.1195,buy
2021-11-01,317.7200,3293100,306.4830,318.4330,303.5620,0.0420,-0.0169,-0.0776,-0.0212,-0.0347,48.8457,0.0259,-0.0108,-0.0033,0.3429,-0.0991,1.0355,sell
2021-11-02,313.4100,1927300,317.5000,317.5000,310.0400,-0.0136,-0.0327,-0.0901,-0.0252,-0.0452,41.5770,0.0258,-0.0121,-0.0037,0.2101,-0.4147,0.6237,hold
2021-11-03,313.6600,5500600,314.2300,314.6950,307.0900,0.0008,-0.0092,-0.0746,-0.0167,-0.0419,41.8657,0.0258,-0.0128,-0.0035,0.2346,1.8540,1.7971,sell
2021-11-04,289.3900,12768900,289.8100,308.8100,285.8200,-0.0774,-0.0972,-0.1331,-0.0799,-0.1125,34.5900,0.0341,-0.0211,-0.0088,-0.1505,1.3214,3.6159,sell
2021-11-05,278.6200,5828300,289.0200,290.3700,275.1400,-0.0372,-0.0862,-0.1344,-0.1018,-0.1417,18.4130,0.0342,-0.0306,-0.0142,-0.1479,-0.5436,1.5703,hold
2021-11-08,277.1700,4701900,279.6700,285.6300,275.5500,-0.0052,-0.1276,-0.1424,-0.0930,-0.1420,18.1620,0.0338,-0.0376,-0.0170,-0.0466,-0.1933,1.2163,hold
2021-11-09,279.7700,3036700,277.5900,282.6600,275.5000,0.0094,-0.1073,-0.1365,-0.0711,-0.1298,21.2089,0.0342,-0.0414,-0.0168,0.0585,-0.3542,0.7730,sell
2021-11-10,274.6000,3506900,278.9500,283.8800,271.7130,-0.0185,-0.1245,-0.1326,-0.0754,-0.1417,21.1944,0.0341,-0.0466,-0.0172,0.0655,0.1548,0.8853,hold
2021-11-11,271.7900,2282800,275.8200,277.9900,271.3400,-0.0102,-0.0608,-0.1521,-0.0695,-0.1454,23.2625,0.0329,-0.0508,-0.0169,0.0936,-0.3491,0.5813,buy
2021-11-12,275.3800,2000500,272.6400,275.7900,268.5800,0.0132,-0.0116,-0.0968,-0.0476,-0.1302,25.0860,0.0318,-0.0514,-0.0143,0.1707,-0.1237,0.5165,hold
2021-11-15,274.7900,2287600,276.0300,279.3000,271.0200,-0.0021,-0.0086,-0.1351,-0.0353,-0.1283,24.2896,0.0265,-0.0521,-0.0120,0.1940,0.1435,0.6085,hold
2021-11-16,276.4600,2963300,274.5500,276.4700,269.2850,0.0061,-0.0118,-0.1179,-0.0167,-0.1192,27.7043,0.0272,-0.0512,-0.0090,0.2337,0.2954,0.8099,sell
2021-11-17,245.1100,12946600,264.1500,264.1980,243.1600,-0.1134,-0.1074,-0.2185,-0.1064,-0.2146,17.8416,0.0415,-0.0667,-0.0153,-0.0200,3.3690,3.1266,sell
2021-11-18,235.8500,5798400,239.3800,245.3000,234.8500,-0.0378,-0.1322,-0.1850,-0.1231,-0.2393,18.8711,0.0374,-0.0790,-0.0205,-0.0243,-0.5521,1.3475,hold
2021-11-19,234.1000,4513900,240.5900,243.6600,233.8600,-0.0074,-0.1499,-0.1598,-0.1149,-0.2403,8.1230,0.0371,-0.0869,-0.0224,0.0343,-0.2215,1.0443,sell
2021-11-22,230.9800,5658800,233.5600,238.2700,223.8500,-0.0133,-0.1594,-0.1666,-0.1112,-0.2460,8.2209,0.0369,-0.0940,-0.0229,0.0673,0.2536,1.2659,sell
2021-11-23,226.0600,3402200,231.8100,233.3800,223.3300,-0.0213,-0.1823,-0.1920,-0.1118,-0.2576,7.6074,0.0357,-0.1014,-0.0230,0.0797,-0.3988,0.7557,buy
2021-11-24,231.4500,4213900,225.6800,232.6700,222.3200,0.0238,-0.0557,-0.1571,-0.0749,-0.2355,15.6916,0.0383,-0.1002,-0.0188,0.1607,0.2386,0.9161,buy
2021-11-26,235.1600,2637200,236.6000,237.0000,228.4200,0.0160,-0.0029,-0.1348,-0.0461,-0.2187,21.9178,0.0397,-0.0970,-0.0136,0.2163,-0.3742,0.5676,sell
2021-11-29,231.2800,3009300,232.7700,235.6500,225.0000,-0.0165,-0.0120,-0.1601,-0.0448,-0.2269,21.2504,0.0385,-0.0977,-0.0103,0.2139,0.1411,0.6522,sell
2021-11-30,227.6100,3291000,233.9300,235.9200,223.2900,-0.0159,-0.0146,-0.1717,-0.0413,-0.2346,17.7547,0.0382,-0.0986,-0.0078,0.2062,0.0936,0.7133,sell
2021-12-01,207.7500,4376400,229.8070,230.6910,207.1500,-0.0873,-0.0810,-0.2485,-0.0988,-0.2961,15.0256,0.0428,-0.1139,-0.0115,0.0723,0.3298,0.9240,hold
2021-12-02,210.2600,3385900,206.7300,213.8000,204.2300,0.0121,-0.0916,-0.1422,-0.0739,-0.2821,17.7076,0.0317,-0.1148,-0.0110,0.1169,-0.2263,0.7312,sell
2021-12-03,205.5500,4164800,210.5330,210.5330,199.1400,-0.0224,-0.1259,-0.1285,-0.0824,-0.2919,13.7774,0.0308,-0.1198,-0.0108,0.1147,0.2300,0.9915,buy
2021-12-06,210.1600,3867300,201.3900,210.3300,196.9400,0.0224,-0.0913,-0.1023,-0.0517,-0.2704,17.8169,0.0328,-0.1158,-0.0074,0.1909,-0.0714,0.9427,buy
2021-12-07,216.6000,4242800,213.2800,220.5400,213.1600,0.0306,-0.0484,-0.0623,-0.0163,-0.2425,21.5440,0.0352,-0.1077,-0.0021,0.2744,0.0971,1.0401,buy
2021-12-08,256.0800,24838500,235.9550,260.9900,233.6000,0.1823,0.2326,0.1328,0.1474,-0.1010,54.8407,0.0684,-0.0747,0.0117,0.6754,4.8543,4.8049,sell
