date,close,volume,open,high,low
07/02/2026,$162.59,"2,372,274",$159.87,$163.035,$159.55
07/01/2026,$159.15,"2,849,318",$157.795,$160.71,$156.75
06/30/2026,$154.11,"2,125,921",$152.19,$154.775,$151.95
06/29/2026,$154.90,"2,097,138",$157.53,$158.06,$154.67
06/26/2026,$155.09,"2,230,196",$150.98,$155.37,$150.755
06/25/2026,$148.06,"2,685,622",$149.92,$152.55,$148.06
06/24/2026,$152.75,"2,075,451",$151.99,$154.345,$151.42
06/23/2026,$153.38,"2,682,512",$154.715,$155.22,$152.60
06/22/2026,$149.51,"2,771,176",$150.43,$152.86,$149.191
06/18/2026,$155.22,"3,037,137",$156.55,$156.60,$154.125
06/17/2026,$158.79,"2,659,799",$165.24,$166.16,$158.79
06/16/2026,$165.41,"1,667,380",$167.31,$168.1881,$164.57
06/15/2026,$164.33,"1,664,252",$166.52,$168.05,$164.20
06/12/2026,$164.18,"2,504,056",$162.45,$164.37,$160.03
06/11/2026,$163.64,"4,241,792",$163.84,$165.455,$160.4205
06/10/2026,$170.30,"3,143,220",$170.10,$173.85,$169.40
06/09/2026,$178.92,"3,228,059",$178.77,$180.69,$176.33
06/08/2026,$181.92,"2,186,800",$182.595,$183.67,$181.60
06/05/2026,$184.77,"3,822,405",$190.68,$192.13,$183.80
06/04/2026,$187.14,"3,925,628",$192.31,$192.48,$187.00
06/03/2026,$180.67,"2,634,697",$185.14,$186.005,$180.0201
06/02/2026,$190.82,"4,401,962",$192.74,$194.12,$186.89
06/01/2026,$196.11,"4,681,690",$193.97,$196.39,$191.34
05/29/2026,$181.79,"5,022,624",$175.94,$182.82,$175.10
05/28/2026,$175.46,"3,516,501",$172.82,$177.84,$171.69
05/27/2026,$174.14,"1,995,130",$174.40,$176.96,$173.47
05/26/2026,$175.15,"2,166,209",$176.53,$176.86,$174.80
05/22/2026,$175.95,"2,001,076",$177.05,$179.71,$175.3801
05/21/2026,$176.28,"2,467,123",$176.12,$177.025,$172.73
05/20/2026,$179.89,"3,132,062",$176.26,$180.16,$174.345
05/19/2026,$178.80,"5,876,684",$184.23,$185.355,$178.52
05/18/2026,$174.62,"3,140,336",$167.78,$175.33,$167.37
05/15/2026,$169.48,"3,618,618",$168.43,$169.77,$166.57
05/14/2026,$164.18,"3,454,284",$160.97,$165.23,$160.08
05/13/2026,$160.82,"5,044,677",$162.31,$162.69,$158.58
05/12/2026,$167.27,"2,897,285",$170.44,$170.44,$165.60
05/11/2026,$170.10,"2,791,696",$173.24,$173.83,$168.80
05/08/2026,$173.70,"3,705,617",$174.31,$174.34,$170.89
05/07/2026,$174.71,"4,428,844",$176.11,$180.025,$174.62
05/06/2026,$173.13,"6,245,891",$178.59,$178.59,$172.48
