date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,106.6122,6517900,106.6211,107.8808,106.2102,0.0046,0.0168,0.0439,0.0181,0.0137,71.9070,0.0090,0.0021,0.0036,1.0002,0.3835,1.4234,hold
2021-09-13,106.4693,4381100,107.1035,107.3358,105.9154,-0.0013,0.0170,0.0353,0.0132,0.0113,69.3937,0.0091,0.0031,0.0038,0.9169,-0.3278,0.9566,hold
2021-09-14,106.1834,4722800,106.9517,107.0768,105.7367,-0.0027,0.0265,0.0281,0.0077,0.0078,67.7632,0.0093,0.0038,0.0035,0.8416,0.0780,1.0455,sell
2021-09-15,102.4135,11556200,104.4860,104.5396,101.0556,-0.0355,-0.0288,-0.0243,-0.0257,-0.0279,46.7641,0.0141,0.0014,0.0009,0.2333,1.4469,2.3782,hold
2021-09-16,102.4403,7997000,102.5475,102.9763,101.1181,0.0003,-0.0347,-0.0237,-0.0231,-0.0273,51.3308,0.0141,-0.0005,-0.0008,0.2506,-0.3080,1.5889,sell
2021-09-17,101.3147,9261000,102.3242,102.6011,101.0556,-0.0110,-0.0497,-0.0337,-0.0306,-0.0376,43.7178,0.0144,-0.0030,-0.0026,0.0941,0.1581,1.7707,sell
2021-09-20,99.8942,7795200,99.4744,100.2962,98.6078,-0.0140,-0.0618,-0.0458,-0.0398,-0.0503,37.1177,0.0148,-0.0060,-0.0045,-0.0352,-0.1583,1.4315,hold
2021-09-21,100.2516,5468400,99.9836,101.4844,99.8317,0.0036,-0.0559,-0.0308,-0.0334,-0.0459,30.0831,0.0147,-0.0080,-0.0052,0.0681,-0.2985,0.9929,buy
2021-09-22,101.0109,4578200,101.0020,101.8685,100.3409,0.0076,-0.0137,-0.0421,-0.0219,-0.0377,34.4016,0.0131,-0.0088,-0.0048,0.1867,-0.1628,0.8229,buy
2021-09-23,101.9668,3842000,101.2968,102.4760,101.0377,0.0095,-0.0046,-0.0391,-0.0086,-0.0278,39.2548,0.0134,-0.0086,-0.0037,0.3117,-0.1608,0.6908,hold
2021-09-24,101.9400,3955000,101.9579,102.6100,101.6273,-0.0003,0.0062,-0.0438,-0.0044,-0.0273,39.6506,0.0131,-0.0084,-0.0028,0.3103,0.0294,0.7191,hold
2021-09-27,101.5559,3988800,101.4933,102.4403,100.8680,-0.0038,0.0166,-0.0461,-0.0033,-0.0302,42.4155,0.0131,-0.0084,-0.0023,0.2770,0.0085,0.7266,sell
2021-09-28,99.7960,5917700,100.6625,100.9484,99.2332,-0.0173,-0.0045,-0.0602,-0.0144,-0.0465,26.7794,0.0137,-0.0099,-0.0029,0.1208,0.4836,1.0508,buy
2021-09-29,100.2069,4389100,99.9657,100.5196,99.6709,0.0041,-0.0080,-0.0215,-0.0082,-0.0418,25.1874,0.0092,-0.0105,-0.0028,0.1991,-0.2583,0.7979,sell
2021-09-30,98.5453,5974500,99.6262,100.1980,98.5453,-0.0166,-0.0336,-0.0380,-0.0209,-0.0563,19.1810,0.0102,-0.0124,-0.0037,0.0863,0.3612,1.0708,buy
2021-10-01,100.8769,5636900,99.0634,101.3593,98.7507,0.0237,-0.0104,-0.0043,0.0027,-0.0324,31.6959,0.0130,-0.0114,-0.0023,0.3337,-0.0565,0.9939,sell
2021-10-04,99.5726,4497700,100.4392,101.0199,99.1796,-0.0129,-0.0195,-0.0032,-0.0099,-0.0427,29.7149,0.0129,-0.0119,-0.0022,0.2334,-0.2021,0.7822,sell
2021-10-05,99.0277,5884000,99.2778,99.5905,98.2951,-0.0055,-0.0077,-0.0122,-0.0142,-0.0455,37.0472,0.0129,-0.0126,-0.0022,0.2114,0.3082,1.0091,buy
2021-10-06,99.7334,5734500,98.4291,100.0729,97.8038,0.0071,-0.0047,-0.0126,-0.0059,-0.0364,40.1559,0.0129,-0.0123,-0.0016,0.2993,-0.0254,0.9819,buy
2021-10-07,100.2426,5549500,100.3945,100.9305,100.0997,0.0051,0.0172,-0.0169,0.0009,-0.0298,45.9183,0.0125,-0.0115,-0.0007,0.3676,-0.0323,0.9434,sell
2021-10-08,99.3582,3787000,100.5732,100.6446,99.2778,-0.0088,-0.0151,-0.0253,-0.0053,-0.0366,47.8723,0.0127,-0.0116,-0.0005,0.2874,-0.3176,0.6591,hold
2021-10-11,99.1081,5987300,100.8501,101.4487,99.0902,-0.0025,-0.0047,-0.0241,-0.0054,-0.0374,45.4221,0.0127,-0.0117,-0.0005,0.2586,0.5810,1.0277,hold
2021-10-12,99.1617,3866800,99.8049,99.9389,98.8579,0.0005,0.0014,-0.0064,-0.0042,-0.0353,42.1532,0.0116,-0.0116,-0.0003,0.2372,-0.3542,0.6686,hold
2021-10-13,98.9473,4806500,99.5101,99.5905,97.7413,-0.0022,-0.0079,-0.0126,-0.0051,-0.0361,36.3267,0.0115,-0.0115,-0.0002,0.2158,0.2430,0.8826,buy
2021-10-14,99.9389,5194900,99.2332,100.6000,99.1706,0.0100,-0.0030,0.0141,0.0034,-0.0254,41.6666,0.0106,-0.0104,0.0006,0.4551,0.0808,0.9791,sell
2021-10-15,99.5637,5860900,100.4570,100.8769,99.1170,-0.0038,0.0021,-0.0130,0.0010,-0.0279,41.6977,0.0072,-0.0099,0.0010,0.3808,0.1282,1.1412,buy
2021-10-18,101.2789,4958400,99.5547,101.4576,99.1259,0.0172,0.0219,0.0171,0.0165,-0.0102,56.2032,0.0080,-0.0078,0.0023,0.7863,-0.1540,0.9929,hold
2021-10-19,101.3861,5799300,101.6095,102.3241,100.7340,0.0011,0.0224,0.0238,0.0152,-0.0085,55.0614,0.0076,-0.0062,0.0032,0.7876,0.1696,1.1574,buy
2021-10-20,101.7167,7645200,101.0020,102.8333,100.6893,0.0033,0.0280,0.0199,0.0165,-0.0049,65.3680,0.0074,-0.0045,0.0038,0.8438,0.3183,1.4805,buy
2021-10-21,102.2348,3684300,101.7792,102.3420,101.4933,0.0051,0.0230,0.0199,0.0196,0.0005,57.9833,0.0074,-0.0028,0.0044,0.9482,-0.5181,0.7146,hold
2021-10-22,102.3331,3396400,102.2080,102.7172,101.9043,0.0010,0.0278,0.0299,0.0176,0.0017,68.9107,0.0064,-0.0013,0.0047,0.9518,-0.0781,0.6623,hold
2021-10-25,102.4760,4290600,102.5028,102.6279,101.2700,0.0014,0.0118,0.0340,0.0156,0.0034,75.0000,0.0062,-0.0000,0.0048,0.9454,0.2633,0.8342,hold
2021-10-26,102.6636,5948000,102.6636,102.9852,102.0650,0.0018,0.0126,0.0353,0.0139,0.0057,72.9692,0.0061,0.0011,0.0047,0.9192,0.3863,1.1562,sell
2021-10-27,101.4040,5853900,103.2443,103.2443,101.0199,-0.0123,-0.0031,0.0248,-0.0009,-0.0061,58.1455,0.0078,0.0010,0.0037,0.6707,-0.0158,1.1219,sell
2021-10-28,101.1271,7697600,101.6095,102.3777,100.4660,-0.0027,-0.0108,0.0119,-0.0048,-0.0083,63.5619,0.0074,0.0007,0.0028,0.6012,0.3150,1.4513,sell
2021-10-29,94.7575,27419600,96.0350,96.4727,92.9261,-0.0630,-0.0740,-0.0483,-0.0631,-0.0695,32.7914,0.0217,-0.0049,-0.0022,-0.2579,2.5621,4.2889,buy
2021-11-01,98.0897,14184600,95.7938,98.4023,95.7670,0.0352,-0.0428,-0.0315,-0.0271,-0.0359,46.6330,0.0243,-0.0062,-0.0029,0.2171,-0.4827,2.0625,buy
2021-11-02,99.5637,11538900,98.4917,99.8942,98.0807,0.0150,-0.0302,-0.0180,-0.0107,-0.0208,51.7941,0.0250,-0.0060,-0.0022,0.4079,-0.1865,1.6115,buy
2021-11-03,100.6000,6422600,99.4565,100.8769,98.3666,0.0104,-0.0079,-0.0110,0.0007,-0.0102,51.9191,0.0252,-0.0050,-0.0010,0.5404,-0.4434,0.8927,hold
2021-11-04,100.1980,8212600,99.6977,100.4302,99.0992,-0.0040,-0.0092,-0.0199,-0.0012,-0.0135,51.8385,0.0251,-0.0045,-0.0004,0.4870,0.2787,1.1208,buy
2021-11-05,104.4414,10256800,101.1628,104.8166,101.0734,0.0424,0.1022,0.0206,0.0389,0.0278,57.9946,0.0288,-0.0007,0.0026,0.9694,0.2489,1.3405,sell
2021-11-08,102.8780,8753300,104.0930,104.9417,102.3510,-0.0150,0.0488,0.0039,0.0229,0.0124,53.5129,0.0293,0.0010,0.0035,0.7541,-0.1466,1.1237,sell
2021-11-09,101.9579,6754700,102.4224,103.2711,101.2789,-0.0089,0.0240,-0.0069,0.0145,0.0036,50.5526,0.0295,0.0017,0.0033,0.6293,-0.2283,0.8514,hold
2021-11-10,101.6079,6563700,101.3029,102.6936,101.0248,-0.0034,0.0100,0.0020,0.0108,0.0008,48.5527,0.0292,0.0019,0.0028,0.5731,-0.0283,0.8182,sell
2021-11-11,99.9840,7191900,101.6080,101.6080,99.1765,-0.0160,-0.0021,-0.0113,-0.0042,-0.0142,44.9334,0.0297,0.0007,0.0014,0.3740,0.0957,0.8855,hold
2021-11-12,100.2352,7350400,100.2532,100.7018,99.6700,0.0025,-0.0403,0.0578,-0.0071,-0.0109,45.1895,0.0201,0.0000,0.0005,0.3997,0.0220,0.8968,hold
2021-11-15,100.3698,6566100,100.5941,101.9668,100.1096,0.0013,-0.0244,0.0232,-0.0080,-0.0087,45.0644,0.0172,-0.0005,0.0001,0.4221,-0.1067,0.7933,hold
2021-11-16,100.6928,7965000,100.7377,101.4824,100.0468,0.0032,-0.0124,0.0113,-0.0060,-0.0050,48.4055,0.0166,-0.0005,-0.0000,0.4662,0.2130,0.9499,hold
2021-11-17,100.9530,5768600,100.6839,101.4824,100.1814,0.0026,-0.0064,0.0035,-0.0037,-0.0015,49.6095,0.0163,-0.0004,0.0001,0.5031,-0.2758,0.6958,hold
2021-11-18,101.2939,5632100,100.5941,101.5900,99.8943,0.0034,0.0131,0.0109,-0.0015,0.0028,70.1058,0.0163,-0.0000,0.0004,0.5517,-0.0237,0.6714,sell
2021-11-19,99.3919,6921800,101.1414,101.2939,98.4857,-0.0188,-0.0084,-0.0483,-0.0153,-0.0146,54.3919,0.0089,-0.0012,-0.0007,0.3316,0.2290,0.8082,buy
2021-11-22,99.9930,5967300,99.6879,101.0158,99.2932,0.0060,-0.0038,-0.0280,-0.0065,-0.0074,51.5385,0.0088,-0.0017,-0.0009,0.4211,-0.1379,0.6900,buy
2021-11-23,101.9040,7911000,100.4865,102.3795,100.2891,0.0191,0.0120,-0.0005,0.0125,0.0125,54.3976,0.0108,-0.0005,0.0002,0.6734,0.3257,0.9045,buy
2021-11-24,102.2539,4464300,101.7515,102.5141,101.4554,0.0034,0.0129,0.0064,0.0154,0.0160,56.9577,0.0108,0.0007,0.0011,0.7102,-0.4357,0.5145,sell
2021-11-26,99.2842,6703200,98.7010,99.4367,98.0192,-0.0290,-0.0198,-0.0070,-0.0134,-0.0129,30.9010,0.0135,-0.0007,-0.0002,0.3426,0.5015,0.7770,hold
2021-11-29,99.3470,7114100,99.9122,100.2083,98.3511,0.0006,-0.0005,-0.0089,-0.0119,-0.0119,35.2881,0.0135,-0.0018,-0.0010,0.2598,0.0613,0.9346,sell
2021-11-30,98.3691,9483300,98.2883,99.6700,97.8397,-0.0098,-0.0162,-0.0199,-0.0197,-0.0213,35.1190,0.0137,-0.0034,-0.0021,0.0829,0.3330,1.2855,sell
2021-12-01,97.4898,7618500,99.5534,101.6977,97.3911,-0.0089,-0.0433,-0.0318,-0.0254,-0.0295,33.6422,0.0138,-0.0054,-0.0033,0.0025,-0.1966,1.0609,buy
2021-12-02,99.9661,7709400,97.9474,100.5582,97.9474,0.0254,-0.0224,-0.0098,0.0004,-0.0047,49.9332,0.0165,-0.0047,-0.0021,0.3963,0.0119,1.0640,hold
2021-12-03,99.8046,7014100,100.3519,101.2491,98.7638,-0.0016,0.0052,-0.0147,0.0002,-0.0059,48.3871,0.0164,-0.0044,-0.0014,0.3748,-0.0902,0.9761,buy
2021-12-06,101.7067,8280200,100.4954,102.4334,100.2263,0.0191,0.0238,0.0233,0.0169,0.0131,54.4215,0.0163,-0.0025,0.0003,0.7258,0.1805,1.1684,buy
2021-12-07,104.3085,8786900,103.2319,105.1429,102.9896,0.0256,0.0604,0.0432,0.0385,0.0385,60.3920,0.0179,0.0010,0.0030,1.1167,0.0612,1.2396,hold
2021-12-08,104.2995,5807000,103.8779,104.6584,103.3126,-0.0001,0.0699,0.0235,0.0359,0.0375,59.7592,0.0171,0.0036,0.0045,1.0294,-0.3391,0.8247,sell
2021-12-09,103.4921,5664700,103.8958,104.4431,103.3934,-0.0077,0.0353,0.0121,0.0266,0.0288,56.2405,0.0174,0.0051,0.0048,0.8756,-0.0245,0.8097,buy
2021-12-10,104.7302,6110800,103.9138,105.0532,103.8779,0.0120,0.0494,0.0549,0.0333,0.0398,65.7492,0.0139,0.0070,0.0054,0.9639,0.0788,0.8803,sell
2021-12-13,103.6805,6479400,104.2188,104.8200,103.3755,-0.0100,0.0194,0.0436,0.0186,0.0288,60.5983,0.0147,0.0077,0.0049,0.8006,0.0603,0.9393,sell
2021-12-14,102.9179,6854600,102.7923,103.4472,102.3078,-0.0074,-0.0133,0.0462,0.0066,0.0206,53.1198,0.0145,0.0077,0.0038,0.6917,0.0579,0.9916,hold
2021-12-15,102.8909,6902400,103.0076,103.3575,101.1683,-0.0003,-0.0135,0.0554,0.0011,0.0195,52.0000,0.0138,0.0074,0.0029,0.6736,0.0070,1.0062,sell
2021-12-16,101.9130,7544400,103.1781,103.5369,101.5810,-0.0095,-0.0153,0.0195,-0.0103,0.0094,59.4333,0.0126,0.0065,0.0015,0.5538,0.0930,1.0858,sell
2021-12-17,97.4629,13696900,99.8315,100.3070,97.0950,-0.0437,-0.0694,-0.0235,-0.0514,-0.0342,44.8580,0.0192,0.0022,-0.0024,0.0909,0.8155,1.8631,hold
2021-12-20,96.9784,6313700,96.0633,97.0053,95.6505,-0.0050,-0.0646,-0.0465,-0.0517,-0.0385,46.0996,0.0177,-0.0018,-0.0051,0.0805,-0.5390,0.8624,buy
2021-12-21,99.0240,4682200,97.7949,99.4995,97.6782,0.0211,-0.0378,-0.0507,-0.0267,-0.0182,54.0387,0.0169,-0.0031,-0.0051,0.2943,-0.2584,0.6452,buy
2021-12-22,100.2532,3643300,98.8715,100.2891,98.6921,0.0124,-0.0256,-0.0388,-0.0107,-0.0062,50.8089,0.0177,-0.0032,-0.0041,0.4248,-0.2219,0.5172,buy
2021-12-23,100.8184,3359600,100.6928,101.3029,100.4775,0.0056,-0.0107,-0.0258,-0.0025,-0.0010,52.7929,0.0179,-0.0027,-0.0029,0.4881,-0.0779,0.4807,buy
2021-12-27,102.4783,3716700,101.0248,102.6128,100.8364,0.0165,0.0515,-0.0215,0.0162,0.0149,52.1543,0.0184,-0.0010,-0.0010,0.6390,0.1063,0.5434,buy
2021-12-28,103.6894,4561600,102.2808,104.3264,102.1104,0.0118,0.0692,0.0001,0.0282,0.0261,48.1260,0.0186,0.0012,0.0010,0.7362,0.2273,0.6797,buy
