date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,67.0145,4099900,68.4591,68.4591,66.9582,-0.0123,-0.0202,-0.0300,-0.0183,0.0055,47.8578,0.0162,0.0023,-0.0045,0.1990,-0.0988,0.8983,buy
2021-09-13,67.4366,3180200,67.5398,67.7743,66.4516,0.0063,-0.0028,-0.0521,-0.0068,0.0122,48.3587,0.0121,0.0015,-0.0042,0.3147,-0.2243,0.6996,sell
2021-09-14,65.4104,5572700,67.3334,67.7180,64.8476,-0.0300,-0.0326,-0.0505,-0.0316,-0.0174,32.7344,0.0117,-0.0016,-0.0060,-0.0313,0.7523,1.2025,buy
2021-09-15,66.7424,4248900,65.5886,66.9676,65.1290,0.0204,-0.0057,-0.0233,-0.0096,0.0025,37.5634,0.0141,-0.0023,-0.0053,0.2531,-0.2376,0.9292,sell
2021-09-16,66.3954,3054600,66.9488,67.5023,66.0108,-0.0052,-0.0214,-0.0331,-0.0114,-0.0030,39.1533,0.0139,-0.0034,-0.0051,0.2076,-0.2811,0.6889,sell
2021-09-17,66.0671,10256800,65.9263,66.5361,65.4948,-0.0049,-0.0141,-0.0340,-0.0129,-0.0087,26.2510,0.0139,-0.0045,-0.0050,0.1611,2.3578,2.1452,sell
2021-09-20,64.5380,5848600,64.3879,64.6975,63.1403,-0.0231,-0.0430,-0.0456,-0.0312,-0.0312,28.1544,0.0151,-0.0074,-0.0063,-0.0166,-0.4298,1.1910,sell
2021-09-21,64.2003,4243100,64.9414,65.1196,63.9095,-0.0052,-0.0185,-0.0505,-0.0313,-0.0354,28.7776,0.0150,-0.0099,-0.0071,0.0175,-0.2745,0.8618,buy
2021-09-22,66.0389,4957000,65.1571,66.7049,64.8007,0.0286,-0.0105,-0.0162,-0.0020,-0.0074,38.3334,0.0184,-0.0093,-0.0052,0.2998,0.1682,1.0103,buy
2021-09-23,69.6973,5860900,66.7987,69.8099,66.6393,0.0554,0.0497,0.0272,0.0504,0.0463,54.4523,0.0257,-0.0042,-0.0002,0.8332,0.1823,1.1812,buy
2021-09-24,70.9074,6437400,69.4440,71.2357,69.3596,0.0174,0.0733,0.0581,0.0624,0.0629,60.8831,0.0254,0.0009,0.0038,0.9598,0.0984,1.2568,buy
2021-09-27,72.5865,6584100,71.2920,72.8679,71.2357,0.0237,0.1247,0.0764,0.0792,0.0854,64.8376,0.0260,0.0065,0.0074,1.1200,0.0228,1.2622,sell
2021-09-28,71.4609,8754700,72.6991,73.1400,70.7667,-0.0155,0.1131,0.0925,0.0530,0.0657,62.4595,0.0240,0.0097,0.0086,0.9301,0.3297,1.6942,sell
2021-09-29,70.7104,6075700,71.7516,71.7610,70.1007,-0.0105,0.0707,0.0595,0.0359,0.0523,58.2121,0.0244,0.0113,0.0082,0.8163,-0.3060,1.1916,sell
2021-09-30,68.3277,7077400,71.2638,71.2638,68.2621,-0.0337,-0.0197,0.0291,-0.0018,0.0159,53.4618,0.0273,0.0101,0.0054,0.5572,0.1649,1.3552,buy
2021-10-01,69.8099,4814800,68.4497,70.2977,67.5867,0.0217,-0.0155,0.0567,0.0143,0.0358,55.9251,0.0277,0.0101,0.0045,0.7084,-0.3197,0.9080,sell
2021-10-04,68.6936,5938700,69.5754,70.4665,68.4028,-0.0160,-0.0536,0.0644,-0.0079,0.0177,58.5869,0.0270,0.0091,0.0027,0.5820,0.2334,1.0933,buy
2021-10-05,71.1982,7569900,69.0970,71.8173,69.0970,0.0365,-0.0037,0.1090,0.0179,0.0524,60.9801,0.0282,0.0106,0.0035,0.8172,0.2747,1.3508,hold
2021-10-06,71.0200,5731600,70.3727,71.3952,69.3878,-0.0025,0.0044,0.0754,0.0082,0.0473,61.4919,0.0277,0.0118,0.0037,0.7709,-0.2428,0.9980,buy
2021-10-07,71.6578,4560900,71.7610,72.9336,71.5171,0.0090,0.0487,0.0281,0.0144,0.0542,63.6822,0.0221,0.0131,0.0041,0.8028,-0.2043,0.7941,buy
2021-10-08,72.5490,3485100,71.6016,73.0368,71.4702,0.0124,0.0392,0.0232,0.0247,0.0647,70.2369,0.0218,0.0149,0.0048,0.8451,-0.2359,0.6101,sell
2021-10-11,71.8642,4229100,72.9711,74.0499,71.8079,-0.0094,0.0462,-0.0100,0.0160,0.0521,69.0266,0.0207,0.0156,0.0044,0.7562,0.2135,0.7336,buy
2021-10-12,72.4833,6138200,72.3145,73.0931,71.6203,0.0086,0.0180,0.0143,0.0233,0.0583,67.0302,0.0202,0.0165,0.0042,0.7829,0.4514,1.0595,sell
2021-10-13,71.5453,6066000,72.7272,72.9055,70.2789,-0.0129,0.0074,0.0118,0.0089,0.0420,55.7035,0.0204,0.0162,0.0031,0.6786,-0.0118,1.0309,buy
2021-10-14,73.2713,4799500,72.4364,73.5246,71.8924,0.0241,0.0225,0.0724,0.0261,0.0641,57.0708,0.0173,0.0172,0.0035,0.8035,-0.2088,0.8037,buy
2021-10-15,75.8885,9004400,74.5001,75.9823,73.5058,0.0357,0.0460,0.0871,0.0538,0.0986,59.3518,0.0191,0.0202,0.0055,0.9716,0.8761,1.5239,hold
2021-10-18,75.5601,6323200,75.7477,76.2074,74.7722,-0.0043,0.0514,0.1000,0.0393,0.0912,62.1592,0.0177,0.0225,0.0062,0.9148,-0.2978,1.0658,buy
2021-10-19,76.4888,5346500,75.5977,76.5732,75.2600,0.0123,0.0553,0.0743,0.0445,0.1021,66.9604,0.0152,0.0247,0.0069,0.9831,-0.1545,0.8929,hold
2021-10-20,76.5357,6157200,76.1136,76.7421,75.5883,0.0006,0.0698,0.0777,0.0373,0.1007,77.9198,0.0150,0.0263,0.0069,0.9588,0.1516,1.0181,buy
2021-10-21,77.1455,5938000,76.4513,77.4550,75.7384,0.0080,0.0529,0.0766,0.0378,0.1072,76.5266,0.0150,0.0278,0.0068,0.9505,-0.0356,0.9812,buy
2021-10-22,78.3743,5740200,77.2674,78.5525,77.1642,0.0159,0.0328,0.0803,0.0462,0.1223,84.7242,0.0151,0.0295,0.0071,0.9805,-0.0333,0.9540,sell
2021-10-25,77.7552,4213500,78.5056,78.8058,77.7177,-0.0079,0.0291,0.0820,0.0298,0.1108,77.1986,0.0149,0.0305,0.0063,0.8777,-0.2660,0.7144,hold
2021-10-26,77.9146,6362400,78.3180,79.2561,77.8771,0.0021,0.0186,0.0749,0.0245,0.1102,78.6439,0.0151,0.0309,0.0054,0.8472,0.5100,1.1010,sell
2021-10-27,76.1230,6539200,77.5488,78.5431,76.0667,-0.0230,-0.0054,0.0640,-0.0050,0.0822,66.9276,0.0168,0.0297,0.0029,0.6880,0.0278,1.1271,buy
2021-10-28,76.9109,3579600,76.4607,77.2955,76.3012,0.0104,-0.0030,0.0497,0.0005,0.0905,66.6668,0.0157,0.0284,0.0015,0.7295,-0.4526,0.6362,hold
2021-10-29,76.9485,4421600,76.9203,77.5863,76.6764,0.0005,-0.0182,0.0140,-0.0004,0.0878,70.4375,0.0114,0.0273,0.0003,0.7114,0.2352,0.7886,hold
2021-11-01,76.7984,4095700,77.4362,77.6520,76.3669,-0.0020,-0.0123,0.0164,-0.0039,0.0828,68.0252,0.0113,0.0261,-0.0008,0.6826,-0.0737,0.7426,hold
2021-11-02,76.7046,3682600,76.8077,77.4081,76.3387,-0.0012,-0.0155,0.0028,-0.0054,0.0788,73.1872,0.0107,0.0247,-0.0018,0.6545,-0.1009,0.6921,buy
2021-11-03,78.1679,7051500,76.6483,78.6557,76.4607,0.0191,0.0269,0.0213,0.0114,0.0967,72.5389,0.0122,0.0244,-0.0013,0.7798,0.9148,1.3091,sell
2021-11-04,76.4044,5782900,77.8115,77.9803,75.3350,-0.0226,-0.0066,-0.0096,-0.0104,0.0701,52.5773,0.0142,0.0229,-0.0027,0.5728,-0.1799,1.0615,hold
