date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,318.5400,3313500,321.6800,324.1800,316.1900,-0.0045,0.0380,0.0435,0.0319,0.1532,83.9064,0.0147,0.0389,0.0059,0.8534,-0.1521,0.6110,hold
2021-09-13,318.4500,4096300,318.2600,323.7800,299.6100,-0.0003,0.0273,0.0697,0.0247,0.1461,81.4399,0.0108,0.0390,0.0048,0.8168,0.2362,0.7497,hold
2021-09-14,319.2500,3555100,318.7400,325.2500,317.5200,0.0025,0.0216,0.0718,0.0203,0.1422,80.2170,0.0107,0.0387,0.0037,0.7956,-0.1321,0.6480,buy
2021-09-15,324.0800,4161400,316.1900,324.4700,313.2900,0.0151,0.0188,0.0648,0.0292,0.1525,80.9582,0.0099,0.0387,0.0034,0.8291,0.1705,0.7450,hold
2021-09-16,323.5200,5274800,322.4800,325.1000,319.1750,-0.0017,0.0111,0.0747,0.0202,0.1444,70.6654,0.0084,0.0387,0.0026,0.7909,0.2676,0.9201,hold
2021-09-17,322.8000,21108700,322.1600,328.0600,320.0700,-0.0022,0.0134,0.0518,0.0128,0.1360,83.5877,0.0077,0.0381,0.0015,0.7557,3.0018,3.1513,sell
2021-09-20,310.0700,5003800,312.4300,316.2300,304.1400,-0.0394,-0.0263,0.0002,-0.0272,0.0881,62.2347,0.0158,0.0353,-0.0022,0.5431,-0.7630,0.7956,buy
2021-09-21,314.2700,2655900,314.6500,317.0000,311.4000,0.0135,-0.0156,0.0057,-0.0145,0.0992,60.4114,0.0162,0.0322,-0.0038,0.5966,-0.4692,0.4256,hold
2021-09-22,315.1100,1835800,313.1600,317.8800,310.5000,0.0027,-0.0277,-0.0094,-0.0110,0.0983,65.6036,0.0150,0.0299,-0.0048,0.5937,-0.3088,0.2985,buy
2021-09-23,321.5000,2089600,319.0000,322.8400,315.9500,0.0203,-0.0062,0.0048,0.0086,0.1152,65.9952,0.0164,0.0288,-0.0042,0.7477,0.1383,0.3487,sell
2021-09-24,316.4700,1600400,321.8800,321.8800,314.7100,-0.0156,-0.0196,-0.0065,-0.0065,0.0928,56.7977,0.0171,0.0273,-0.0049,0.5853,-0.2341,0.2952,sell
2021-09-27,311.2000,2027500,309.5600,315.6600,307.6940,-0.0167,0.0036,-0.0228,-0.0209,0.0701,48.7195,0.0179,0.0246,-0.0066,0.3967,0.2669,0.3904,sell
2021-09-28,298.0000,3450100,306.7500,306.7500,294.0200,-0.0424,-0.0518,-0.0666,-0.0561,0.0215,32.6604,0.0218,0.0192,-0.0107,-0.0453,0.7017,0.6743,sell
2021-09-29,293.8000,2164100,301.4200,304.0000,291.6200,-0.0141,-0.0676,-0.0934,-0.0604,0.0045,28.2965,0.0205,0.0129,-0.0139,-0.0866,-0.3727,0.4821,buy
2021-09-30,302.4300,2590100,301.0000,305.0100,297.9200,0.0294,-0.0593,-0.0652,-0.0262,0.0310,38.0649,0.0239,0.0098,-0.0130,0.1605,0.1968,0.5833,hold
2021-10-01,303.7200,1727500,301.3300,305.7200,298.1700,0.0043,-0.0403,-0.0591,-0.0160,0.0328,39.2779,0.0241,0.0077,-0.0120,0.2094,-0.3330,0.4035,sell
2021-10-04,294.6800,1955900,300.0100,300.4750,290.2830,-0.0298,-0.0531,-0.0496,-0.0405,0.0001,34.0309,0.0227,0.0039,-0.0132,0.0225,0.1322,0.4659,buy
2021-10-05,300.2800,2131600,290.0100,303.3000,290.0100,0.0190,0.0077,-0.0445,-0.0178,0.0169,34.6847,0.0233,0.0021,-0.0117,0.1980,0.0898,0.5213,buy
2021-10-06,309.6200,2018500,297.0000,310.0600,295.7300,0.0311,0.0538,-0.0174,0.0146,0.0452,41.9635,0.0258,0.0031,-0.0082,0.4426,-0.0531,0.5266,buy
2021-10-07,320.0500,2548500,311.0300,322.9100,310.5000,0.0337,0.0583,-0.0045,0.0493,0.0767,48.5705,0.0274,0.0063,-0.0037,0.7063,0.2626,0.6768,sell
2021-10-08,313.5200,1793200,323.4500,325.3800,313.2000,-0.0204,0.0323,-0.0093,0.0288,0.0516,51.9169,0.0277,0.0074,-0.0022,0.5481,-0.2964,0.4860,sell
2021-10-11,309.7900,1184500,312.9900,317.3000,309.1800,-0.0119,0.0513,-0.0045,0.0171,0.0360,47.4978,0.0275,0.0072,-0.0020,0.4632,-0.3394,0.3342,buy
2021-10-12,312.9400,1738400,310.7800,315.9200,308.5500,0.0102,0.0422,0.0501,0.0224,0.0434,48.8185,0.0232,0.0077,-0.0012,0.5541,0.4676,0.5034,buy
2021-10-13,327.8500,4608200,316.1600,329.7500,314.0240,0.0476,0.0589,0.1159,0.0593,0.0900,53.1639,0.0256,0.0112,0.0022,0.9288,1.6508,1.3260,buy
2021-10-14,332.1200,2729900,330.2200,338.3600,329.8900,0.0130,0.0377,0.0982,0.0629,0.0999,57.8572,0.0248,0.0150,0.0049,0.9900,-0.4076,0.8154,hold
2021-10-15,333.5700,1729100,334.9000,335.7100,329.4500,0.0044,0.0640,0.0983,0.0575,0.1005,61.6790,0.0248,0.0182,0.0065,0.9734,-0.3666,0.7268,buy
2021-10-18,337.8800,5323300,332.0000,340.9900,330.7000,0.0129,0.0907,0.1466,0.0567,0.1103,72.9512,0.0206,0.0213,0.0078,0.9800,2.0787,2.2226,hold
2021-10-19,339.7400,2371100,339.8600,344.5000,338.5100,0.0055,0.0856,0.1314,0.0495,0.1121,77.1706,0.0206,0.0240,0.0084,0.9461,-0.5546,0.9959,sell
2021-10-20,334.1300,2093300,340.0000,340.6880,332.7000,-0.0165,0.0192,0.0792,0.0244,0.0895,69.4431,0.0214,0.0250,0.0073,0.8144,-0.1172,0.8745,buy
2021-10-21,342.0500,1514200,334.0000,344.8600,331.5100,0.0237,0.0299,0.0687,0.0417,0.1105,71.7414,0.0202,0.0264,0.0074,0.9015,-0.2766,0.6403,sell
2021-10-22,339.7800,1026000,340.3900,344.2130,336.2200,-0.0066,0.0186,0.0838,0.0266,0.0993,77.7095,0.0186,0.0274,0.0065,0.8299,-0.3224,0.4392,hold
2021-10-25,341.5000,1134200,341.1100,347.9070,339.1050,0.0051,0.0107,0.1024,0.0220,0.1013,76.5936,0.0173,0.0279,0.0057,0.8191,0.1055,0.4949,hold
2021-10-26,342.2400,1637100,345.3500,346.6400,336.0000,0.0022,0.0074,0.0936,0.0153,0.0994,73.6720,0.0174,0.0282,0.0049,0.7987,0.4434,0.7438,buy
2021-10-27,347.1000,2656500,342.8000,351.9500,342.2400,0.0142,0.0388,0.0587,0.0239,0.1101,71.3564,0.0114,0.0289,0.0047,0.8383,0.6227,1.1936,hold
2021-10-28,348.0000,1753200,346.4800,352.6130,343.1700,0.0026,0.0174,0.0478,0.0217,0.1082,79.8787,0.0111,0.0296,0.0044,0.8184,-0.3400,0.8029,buy
2021-10-29,353.8400,1687600,348.1100,356.0000,347.3600,0.0168,0.0414,0.0608,0.0327,0.1215,86.8250,0.0117,0.0307,0.0047,0.8645,-0.0374,0.7735,buy
