date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,332.4900,491600,335.5800,336.7800,332.0800,-0.0032,-0.0155,0.0183,-0.0061,0.1124,75.3986,0.0081,0.0345,-0.0011,0.6543,-0.0604,0.6262,sell
2021-09-13,331.5900,534700,334.4900,336.5300,327.5200,-0.0027,-0.0150,-0.0007,-0.0087,0.1054,69.3367,0.0064,0.0324,-0.0027,0.6219,0.0877,0.6931,buy
2021-09-14,332.5900,613800,332.7500,334.0700,330.4000,0.0030,-0.0111,-0.0051,-0.0052,0.1048,65.5537,0.0060,0.0304,-0.0036,0.6198,0.1479,0.8009,buy
2021-09-15,336.0900,587100,333.0000,336.6400,331.7400,0.0105,-0.0015,0.0116,0.0041,0.1122,69.7857,0.0066,0.0291,-0.0036,0.6765,-0.0435,0.7740,sell
2021-09-16,335.3800,738600,335.5000,336.8500,333.2000,-0.0021,0.0055,0.0052,0.0014,0.1058,66.2992,0.0065,0.0280,-0.0039,0.6825,0.2580,0.9828,sell
2021-09-17,325.5400,2041600,329.0600,331.3300,319.8300,-0.0293,-0.0209,-0.0361,-0.0244,0.0700,40.1260,0.0104,0.0250,-0.0062,0.2626,1.7641,2.8000,sell
2021-09-20,321.3000,909800,321.6700,324.0000,317.4400,-0.0130,-0.0310,-0.0456,-0.0326,0.0533,30.6384,0.0108,0.0211,-0.0085,0.0287,-0.5544,1.2841,sell
2021-09-21,317.9000,933900,323.3600,323.6100,317.7000,-0.0106,-0.0442,-0.0548,-0.0375,0.0395,29.4438,0.0108,0.0168,-0.0105,-0.0870,0.0265,1.2990,buy
2021-09-22,320.5200,840600,319.0000,321.9200,314.0300,0.0082,-0.0463,-0.0477,-0.0249,0.0451,31.8471,0.0116,0.0136,-0.0108,0.0650,-0.0999,1.1522,buy
2021-09-23,322.8800,441600,322.4600,324.7900,320.4700,0.0074,-0.0373,-0.0320,-0.0145,0.0498,28.3760,0.0120,0.0115,-0.0101,0.1755,-0.4747,0.6086,hold
2021-09-24,321.9400,370100,320.5900,322.5900,318.1900,-0.0029,-0.0111,-0.0317,-0.0142,0.0438,28.5088,0.0120,0.0097,-0.0096,0.1602,-0.1619,0.5265,sell
2021-09-27,313.4000,610600,318.0700,318.9500,312.3800,-0.0265,-0.0246,-0.0549,-0.0350,0.0137,22.9844,0.0141,0.0061,-0.0109,-0.0489,0.6498,0.8626,sell
2021-09-28,301.9300,1005900,307.3600,308.9600,299.6400,-0.0366,-0.0502,-0.0922,-0.0614,-0.0252,17.6800,0.0168,0.0002,-0.0140,-0.1830,0.6474,1.3676,hold
2021-09-29,302.6200,682000,303.2200,305.5900,301.1500,0.0023,-0.0558,-0.0996,-0.0494,-0.0245,19.8362,0.0158,-0.0045,-0.0149,-0.0416,-0.3220,0.9367,sell
2021-09-30,299.4100,721200,305.0000,306.7300,298.3100,-0.0106,-0.0727,-0.1073,-0.0487,-0.0362,19.0378,0.0156,-0.0090,-0.0157,-0.0106,0.0575,0.9886,buy
2021-10-01,302.4900,623400,299.4100,303.9500,295.8500,0.0103,-0.0604,-0.0708,-0.0318,-0.0275,23.8309,0.0155,-0.0115,-0.0145,0.1045,-0.1356,0.8595,sell
2021-10-04,289.2500,893900,299.4500,300.3500,287.0200,-0.0438,-0.0771,-0.0998,-0.0646,-0.0704,18.0572,0.0193,-0.0177,-0.0166,-0.0379,0.4339,1.2189,buy
2021-10-05,293.3500,714500,291.3100,295.3400,289.3600,0.0142,-0.0284,-0.0772,-0.0438,-0.0578,18.7756,0.0208,-0.0204,-0.0155,0.0893,-0.2007,0.9703,hold
2021-10-06,294.5700,707700,290.0000,294.8300,288.8200,0.0042,-0.0266,-0.0810,-0.0316,-0.0547,20.4061,0.0205,-0.0222,-0.0138,0.1497,-0.0095,0.9445,buy
2021-10-07,298.3700,760500,298.2400,302.1000,297.3000,0.0129,-0.0035,-0.0759,-0.0111,-0.0434,28.4056,0.0211,-0.0220,-0.0110,0.2380,0.0746,0.9991,sell
2021-10-08,291.6600,635000,299.1500,299.2900,291.0100,-0.0225,-0.0358,-0.0941,-0.0236,-0.0652,27.3325,0.0215,-0.0242,-0.0104,0.1676,-0.1650,0.8265,sell
2021-10-11,288.7400,356400,290.6300,293.7600,288.5300,-0.0100,-0.0018,-0.0787,-0.0253,-0.0746,27.5347,0.0206,-0.0263,-0.0099,0.1596,-0.4387,0.4693,buy
2021-10-12,292.0400,576400,291.3500,295.0000,290.4600,0.0114,-0.0045,-0.0328,-0.0109,-0.0643,28.2861,0.0187,-0.0263,-0.0080,0.2366,0.6173,0.7609,buy
2021-10-13,296.3000,616200,295.8000,299.4800,295.3900,0.0146,0.0059,-0.0209,0.0057,-0.0511,30.3053,0.0195,-0.0246,-0.0053,0.3230,0.0690,0.8119,buy
2021-10-14,304.8300,598900,301.1300,306.2300,300.5400,0.0288,0.0217,0.0181,0.0328,-0.0246,38.6040,0.0215,-0.0205,-0.0014,0.4976,-0.0281,0.7964,hold
2021-10-15,306.2600,418500,305.6300,306.6600,304.1400,0.0047,0.0501,0.0125,0.0363,-0.0209,44.7469,0.0213,-0.0171,0.0016,0.5485,-0.3012,0.6238,hold
2021-10-18,307.2200,420200,305.2000,307.4600,303.9000,0.0031,0.0640,0.0621,0.0332,-0.0187,54.6040,0.0142,-0.0140,0.0037,0.5893,0.0041,0.6501,buy
2021-10-19,311.0000,513400,308.3100,312.0200,307.2500,0.0123,0.0649,0.0602,0.0398,-0.0079,56.9211,0.0141,-0.0104,0.0057,0.6894,0.2218,0.8210,buy
2021-10-20,315.5000,562800,314.0000,316.4400,312.6800,0.0145,0.0648,0.0711,0.0475,0.0047,63.0115,0.0143,-0.0063,0.0076,0.8123,0.0962,0.9204,buy
2021-10-21,321.0100,625500,315.7000,322.2100,314.2100,0.0175,0.0531,0.0759,0.0578,0.0202,64.4102,0.0146,-0.0017,0.0096,0.9573,0.1114,1.0078,hold
