date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,409.2176,1027510,411.0081,413.5711,408.3632,-0.0025,0.0019,0.0299,0.0061,0.0477,71.6013,0.0073,0.0129,0.0006,0.7852,-0.0991,0.9542,hold
2021-09-13,408.4723,1443439,412.4804,414.9890,403.3916,-0.0018,-0.0059,0.0254,0.0017,0.0440,68.2871,0.0074,0.0125,0.0001,0.7328,0.4048,1.3183,buy
2021-09-14,410.4445,847397,408.7086,413.6802,408.3632,0.0048,0.0109,0.0169,0.0049,0.0472,73.5782,0.0065,0.0123,0.0000,0.7909,-0.4129,0.7847,hold
2021-09-15,410.9535,942738,412.6259,412.7986,407.6906,0.0012,0.0034,0.0188,0.0043,0.0467,73.1842,0.0064,0.0122,-0.0001,0.7845,0.1125,0.8754,buy
2021-09-16,412.6804,1183840,410.6717,413.5984,410.2173,0.0042,0.0059,0.0121,0.0073,0.0493,76.3493,0.0057,0.0123,0.0000,0.8315,0.2557,1.1312,sell
2021-09-17,405.7456,1567003,410.9536,412.4623,404.4914,-0.0168,-0.0085,-0.0066,-0.0090,0.0303,60.5345,0.0081,0.0110,-0.0011,0.5259,0.3237,1.5051,sell
2021-09-20,404.3368,1150227,400.4650,404.9640,399.2743,-0.0035,-0.0101,-0.0159,-0.0108,0.0252,51.1655,0.0078,0.0096,-0.0021,0.4425,-0.2660,1.1356,hold
2021-09-21,404.6367,786302,406.4000,407.1816,403.2371,0.0007,-0.0142,-0.0034,-0.0098,0.0244,52.0058,0.0069,0.0083,-0.0027,0.4385,-0.3164,0.7816,hold
2021-09-22,405.0366,1166717,408.0723,408.0723,401.2284,0.0010,-0.0144,-0.0110,-0.0077,0.0236,45.0398,0.0061,0.0073,-0.0029,0.4323,0.4838,1.1447,buy
2021-09-23,410.5173,1154561,407.4725,413.9074,407.2453,0.0135,-0.0052,0.0006,0.0057,0.0355,53.2161,0.0077,0.0074,-0.0021,0.7195,-0.0104,1.1031,buy
2021-09-24,411.7988,584204,408.9085,411.8533,408.2177,0.0031,0.0149,0.0063,0.0082,0.0367,51.4697,0.0077,0.0077,-0.0014,0.7901,-0.4940,0.5579,sell
2021-09-27,404.7549,825411,410.2810,410.4446,401.3012,-0.0171,0.0010,-0.0091,-0.0082,0.0175,48.0912,0.0095,0.0067,-0.0021,0.2340,0.4129,0.7905,sell
2021-09-28,387.2861,2050791,398.6926,401.7374,381.7601,-0.0432,-0.0429,-0.0564,-0.0456,-0.0272,26.3239,0.0161,0.0023,-0.0055,-0.4106,1.4846,1.8667,hold
2021-09-29,387.7497,1210688,389.9128,391.7760,385.6683,0.0012,-0.0427,-0.0565,-0.0389,-0.0265,25.9374,0.0161,-0.0013,-0.0073,-0.1706,-0.4096,1.0941,hold
2021-09-30,386.1772,1320087,390.2218,393.3756,385.8955,-0.0041,-0.0593,-0.0642,-0.0365,-0.0308,25.6484,0.0158,-0.0044,-0.0084,-0.0781,0.0904,1.1768,buy
2021-10-01,389.3310,1334251,387.2133,390.5853,382.6416,0.0082,-0.0546,-0.0405,-0.0246,-0.0234,30.7495,0.0159,-0.0061,-0.0080,0.0814,0.0107,1.1664,sell
2021-10-04,377.9609,1226120,387.5769,389.3765,377.1338,-0.0292,-0.0662,-0.0652,-0.0468,-0.0518,22.5246,0.0178,-0.0100,-0.0096,-0.0852,-0.0810,1.0639,buy
2021-10-05,386.3954,1262375,381.4329,389.1857,379.2061,0.0223,-0.0023,-0.0451,-0.0210,-0.0312,31.6838,0.0200,-0.0108,-0.0083,0.1565,0.0296,1.0839,buy
2021-10-06,388.7858,902889,382.7417,389.2857,380.6421,0.0062,0.0027,-0.0401,-0.0109,-0.0259,32.3534,0.0202,-0.0109,-0.0067,0.2381,-0.2848,0.7808,buy
2021-10-07,393.3665,795075,393.0029,396.9202,392.2849,0.0118,0.0186,-0.0418,0.0051,-0.0154,40.5284,0.0200,-0.0099,-0.0046,0.3565,-0.1194,0.6980,sell
2021-10-08,390.5672,624687,392.4577,392.8758,387.3497,-0.0071,0.0032,-0.0516,0.0034,-0.0227,39.6841,0.0199,-0.0097,-0.0035,0.3139,-0.2143,0.5583,hold
2021-10-11,389.4493,691172,388.8131,394.8845,387.3498,-0.0029,0.0304,-0.0378,0.0045,-0.0256,38.7596,0.0194,-0.0096,-0.0027,0.3093,0.1064,0.6392,hold
2021-10-12,391.4306,1504640,392.1304,395.2570,387.3224,0.0051,0.0130,0.0107,0.0085,-0.0205,40.1603,0.0137,-0.0090,-0.0017,0.3717,1.1769,1.3504,hold
2021-10-13,391.2125,1343764,393.5484,394.0028,385.8592,-0.0006,0.0062,0.0089,0.0071,-0.0208,34.8889,0.0137,-0.0085,-0.0009,0.3847,-0.1069,1.1847,buy
2021-10-14,401.5284,1518592,395.7660,405.3548,394.3572,0.0264,0.0207,0.0398,0.0296,0.0049,42.9568,0.0157,-0.0057,0.0013,0.6591,0.1301,1.3194,buy
2021-10-15,403.4734,1007955,405.1366,405.8001,402.3100,0.0048,0.0330,0.0363,0.0308,0.0096,49.0551,0.0156,-0.0033,0.0030,0.7152,-0.3363,0.8975,buy
2021-10-18,407.0544,883863,403.5552,407.5088,401.7647,0.0089,0.0452,0.0770,0.0323,0.0182,68.3298,0.0105,-0.0006,0.0045,0.8009,-0.1231,0.7965,buy
2021-10-19,409.9901,1101711,408.9085,411.8533,406.2727,0.0072,0.0474,0.0611,0.0335,0.0248,69.7181,0.0092,0.0020,0.0056,0.8575,0.2465,0.9789,sell
2021-10-20,400.4195,1606006,410.8626,411.7260,396.1749,-0.0233,0.0235,0.0299,0.0065,0.0006,61.0586,0.0130,0.0022,0.0048,0.6262,0.4577,1.3996,buy
2021-10-21,404.8549,1016200,400.4014,405.4093,397.0294,0.0111,0.0083,0.0292,0.0147,0.0111,61.8186,0.0130,0.0032,0.0045,0.7563,-0.3673,0.8910,buy
2021-10-22,409.4448,1426633,405.4275,410.0901,403.4098,0.0113,0.0148,0.0483,0.0214,0.0219,76.7286,0.0127,0.0048,0.0049,0.8894,0.4039,1.2063,sell
2021-10-25,406.6090,1213965,409.1267,409.7538,403.2825,-0.0069,-0.0011,0.0441,0.0100,0.0145,68.9633,0.0130,0.0055,0.0045,0.8065,-0.1491,1.0099,buy
2021-10-26,422.2874,2450972,412.6532,427.9134,411.5262,0.0386,0.0300,0.0788,0.0409,0.0527,75.1571,0.0169,0.0087,0.0062,1.0803,1.0190,2.0056,hold
2021-10-27,420.4514,1323153,422.8872,427.3680,420.2242,-0.0043,0.0500,0.0747,0.0290,0.0472,71.2131,0.0172,0.0109,0.0067,0.9604,-0.4602,1.0777,buy
2021-10-28,426.7319,1934944,418.5973,431.9489,418.5973,0.0149,0.0540,0.0628,0.0379,0.0610,76.8597,0.0161,0.0136,0.0075,1.0002,0.4624,1.5376,buy
