date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,379.9700,893800,379.4000,385.8200,378.9800,0.0030,0.0106,0.0857,0.0143,0.2013,81.8130,0.0120,0.0484,-0.0006,0.7919,0.0323,1.1300,sell
2021-09-13,376.7100,853800,379.7700,379.7700,371.8400,-0.0086,-0.0205,0.0513,0.0007,0.1821,74.1427,0.0117,0.0465,-0.0024,0.7231,-0.0448,1.0539,buy
2021-09-14,389.3900,1119200,380.2400,393.1890,379.2650,0.0337,0.0202,0.0638,0.0280,0.2123,78.8899,0.0140,0.0453,-0.0016,0.8671,0.3108,1.3357,buy
2021-09-15,394.5300,952100,387.4700,394.9900,386.8200,0.0132,0.0335,0.0748,0.0341,0.2187,81.1044,0.0141,0.0455,-0.0006,0.8981,-0.1493,1.1153,buy
2021-09-16,403.9100,780400,394.4000,404.5350,392.4500,0.0238,0.0662,0.0867,0.0498,0.2374,87.4133,0.0150,0.0463,0.0010,0.9721,-0.1803,0.9091,hold
2021-09-17,404.6000,2222700,404.0000,409.6000,397.3900,0.0017,0.0648,0.0761,0.0439,0.2291,85.9161,0.0150,0.0474,0.0017,0.9443,1.8482,2.4121,sell
2021-09-20,400.5900,1273600,395.2200,402.6900,392.1390,-0.0099,0.0634,0.0416,0.0293,0.2073,78.4585,0.0149,0.0474,0.0010,0.8533,-0.4270,1.3557,buy
2021-09-21,405.9800,1629600,408.4600,420.2300,404.6950,0.0135,0.0426,0.0636,0.0366,0.2129,79.9016,0.0145,0.0469,0.0010,0.8869,0.2795,1.6701,hold
2021-09-22,406.4000,1236700,405.9600,409.6800,401.7900,0.0010,0.0301,0.0646,0.0312,0.2037,78.5080,0.0145,0.0466,0.0005,0.8557,-0.2411,1.2444,buy
2021-09-23,409.6000,1244600,407.9400,412.0000,401.2450,0.0079,0.0141,0.0812,0.0313,0.2025,78.1124,0.0136,0.0460,0.0003,0.8665,0.0064,1.2177,buy
2021-09-24,413.9400,798100,411.3300,414.7200,401.4550,0.0106,0.0231,0.0894,0.0334,0.2043,76.4367,0.0135,0.0458,0.0004,0.9020,-0.3587,0.7824,sell
2021-09-27,391.8900,1443900,405.5000,409.7700,388.1800,-0.0533,-0.0217,0.0403,-0.0254,0.1315,56.8310,0.0235,0.0435,-0.0036,0.5442,0.8092,1.3625,sell
2021-09-28,381.5800,1698500,383.7100,391.1100,375.5000,-0.0263,-0.0601,-0.0201,-0.0491,0.0943,49.8999,0.0228,0.0381,-0.0082,0.3489,0.1763,1.5376,buy
2021-09-29,387.6000,883200,385.0000,391.7200,378.0200,0.0158,-0.0463,-0.0176,-0.0325,0.1039,54.9761,0.0230,0.0332,-0.0099,0.4331,-0.4800,0.7984,buy
2021-09-30,391.4200,843500,391.9400,398.2500,390.1390,0.0099,-0.0444,-0.0309,-0.0199,0.1071,56.3113,0.0217,0.0300,-0.0101,0.4870,-0.0450,0.7574,hold
2021-10-01,392.2200,1324600,393.0000,395.6800,383.9000,0.0020,-0.0525,-0.0306,-0.0148,0.1017,58.7875,0.0217,0.0275,-0.0101,0.4861,0.5704,1.1532,sell
2021-10-04,382.7100,1277600,390.7600,390.7600,376.0000,-0.0242,-0.0234,-0.0446,-0.0344,0.0683,46.0743,0.0227,0.0239,-0.0117,0.2829,-0.0355,1.1084,buy
2021-10-05,389.9400,1002200,385.7000,392.5700,384.7800,0.0189,0.0219,-0.0395,-0.0121,0.0811,47.3672,0.0232,0.0214,-0.0108,0.4284,-0.2156,0.8660,buy
2021-10-06,395.1900,1050600,385.7900,398.5000,385.3600,0.0135,0.0196,-0.0276,0.0040,0.0878,44.7495,0.0238,0.0203,-0.0092,0.5305,0.0483,0.8982,hold
2021-10-07,392.9800,880000,397.6000,402.0600,392.2900,-0.0056,0.0040,-0.0406,0.0026,0.0744,43.1291,0.0236,0.0191,-0.0084,0.4621,-0.1624,0.7519,hold
2021-10-08,390.7400,785900,400.1700,402.0000,387.1600,-0.0057,-0.0038,-0.0560,0.0029,0.0610,44.0512,0.0230,0.0175,-0.0081,0.3898,-0.1069,0.6746,hold
2021-10-11,389.5000,493600,387.1500,396.4700,385.3500,-0.0032,0.0177,-0.0061,0.0003,0.0540,39.5219,0.0158,0.0158,-0.0080,0.3269,-0.3719,0.4303,buy
2021-10-12,397.4700,567000,393.2700,402.4400,391.4500,0.0205,0.0193,0.0416,0.0166,0.0712,44.8196,0.0141,0.0155,-0.0062,0.5374,0.1487,0.5065,buy
2021-10-13,407.0400,697700,401.3200,407.9100,399.3300,0.0241,0.0300,0.0502,0.0359,0.0924,48.6171,0.0151,0.0169,-0.0034,0.7792,0.2305,0.6304,hold
2021-10-14,406.7300,583300,412.6100,415.8800,406.1650,-0.0008,0.0350,0.0391,0.0311,0.0877,45.9279,0.0151,0.0180,-0.0019,0.7631,-0.1640,0.5318,buy
2021-10-15,409.7400,587100,406.7300,409.7900,400.8900,0.0074,0.0486,0.0447,0.0342,0.0918,62.8435,0.0151,0.0191,-0.0005,0.8267,0.0065,0.5784,buy
2021-10-18,414.7700,617700,407.7300,414.8020,404.1400,0.0123,0.0649,0.0838,0.0385,0.1005,75.8449,0.0113,0.0206,0.0010,0.9069,0.0521,0.6288,sell
2021-10-19,410.4600,678200,415.0000,415.6000,405.3350,-0.0104,0.0327,0.0526,0.0224,0.0848,68.2880,0.0120,0.0211,0.0010,0.7912,0.0979,0.7256,hold
2021-10-20,409.6900,710200,414.9000,415.7000,405.4300,-0.0019,0.0065,0.0367,0.0168,0.0781,65.3658,0.0118,0.0210,0.0007,0.7652,0.0472,0.7818,buy
2021-10-21,417.1200,1258000,410.1200,421.4900,408.7000,0.0181,0.0255,0.0614,0.0291,0.0928,68.8408,0.0121,0.0217,0.0014,0.9087,0.7713,1.3839,buy
2021-10-22,423.2000,851300,418.6700,425.2950,414.5590,0.0146,0.0329,0.0831,0.0358,0.1038,82.3145,0.0116,0.0231,0.0025,0.9968,-0.3233,0.9337,buy
