date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,43.8217,3196800,44.5997,44.6076,43.7661,-0.0095,-0.0247,-0.0312,-0.0207,-0.0042,47.5641,0.0111,0.0003,-0.0042,0.1298,-0.0539,0.8977,buy
2021-09-13,44.6394,4310100,44.1630,44.7346,44.0598,0.0187,-0.0039,-0.0300,0.0006,0.0142,50.9004,0.0114,0.0004,-0.0032,0.4663,0.3483,1.2183,sell
2021-09-14,43.3692,6008600,44.6314,44.8617,43.1469,-0.0285,-0.0248,-0.0380,-0.0241,-0.0143,38.8172,0.0129,-0.0018,-0.0044,0.0281,0.3941,1.6383,buy
2021-09-15,44.1234,4920300,43.3851,44.3456,43.3851,0.0174,-0.0011,-0.0259,-0.0045,0.0023,39.4681,0.0144,-0.0022,-0.0037,0.3231,-0.1811,1.3171,sell
2021-09-16,43.8852,5272100,44.4171,44.6711,43.7979,-0.0054,-0.0081,-0.0167,-0.0082,-0.0039,40.6797,0.0138,-0.0028,-0.0036,0.2429,0.0715,1.3720,hold
2021-09-17,43.9249,19623700,43.7820,44.5203,43.7502,0.0009,0.0024,-0.0224,-0.0050,-0.0040,33.8630,0.0135,-0.0033,-0.0032,0.2480,2.7222,4.2611,sell
2021-09-20,42.6150,9463400,42.7658,43.0596,41.7814,-0.0298,-0.0453,-0.0491,-0.0299,-0.0333,32.0230,0.0161,-0.0061,-0.0048,-0.0972,-0.5178,1.9271,hold
2021-09-21,42.6070,4029300,42.8690,43.0596,42.4086,-0.0002,-0.0176,-0.0419,-0.0259,-0.0330,29.7973,0.0161,-0.0082,-0.0055,-0.0021,-0.5742,0.8094,buy
2021-09-22,43.4565,4933900,43.2818,43.8852,43.1469,0.0199,-0.0151,-0.0162,-0.0049,-0.0138,41.4153,0.0178,-0.0080,-0.0043,0.2571,0.2245,0.9667,buy
2021-09-23,45.3221,6262400,43.9646,45.5206,43.9566,0.0429,0.0327,0.0244,0.0353,0.0273,52.3135,0.0227,-0.0043,-0.0006,0.7758,0.2693,1.1855,buy
2021-09-24,46.0445,5608400,45.4809,46.3065,45.2745,0.0159,0.0483,0.0507,0.0465,0.0427,56.8281,0.0226,-0.0003,0.0027,0.9371,-0.1044,1.0365,buy
2021-09-27,47.7513,5994300,46.6796,48.0530,46.5844,0.0371,0.1205,0.0697,0.0777,0.0790,65.7996,0.0245,0.0055,0.0067,1.2048,0.0688,1.0854,sell
