date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,210.8737,1945600,213.1762,213.5987,210.5719,-0.0037,-0.0052,-0.0178,-0.0063,-0.0324,24.5987,0.0064,-0.0112,-0.0022,0.2671,-0.2138,0.5604,sell
2021-09-13,209.6320,2872000,211.7016,212.3484,208.3386,-0.0059,-0.0050,-0.0244,-0.0097,-0.0381,23.8202,0.0064,-0.0117,-0.0021,0.2100,0.4762,0.8296,sell
2021-09-14,208.8904,1905800,209.8821,210.7617,208.4938,-0.0035,-0.0020,-0.0286,-0.0103,-0.0412,25.2504,0.0063,-0.0122,-0.0021,0.1333,-0.3364,0.5627,buy
2021-09-15,210.5288,1953000,208.9680,211.1497,208.5110,0.0078,-0.0080,-0.0115,-0.0014,-0.0337,30.9408,0.0067,-0.0118,-0.0013,0.2807,0.0248,0.6193,buy
2021-09-16,212.9520,2171400,211.4688,213.4263,211.0549,0.0115,0.0062,0.0024,0.0099,-0.0226,44.7134,0.0078,-0.0103,0.0000,0.4987,0.1118,0.7708,hold
2021-09-17,212.7105,3735900,211.6585,214.3145,211.6585,-0.0011,0.0087,0.0035,0.0084,-0.0236,43.4189,0.0077,-0.0092,0.0009,0.4722,0.7205,1.3583,sell
2021-09-20,208.8042,3329100,209.9597,212.2794,206.5794,-0.0184,-0.0039,-0.0089,-0.0093,-0.0411,34.5857,0.0096,-0.0099,0.0003,0.1446,-0.1089,1.2287,sell
2021-09-21,208.0884,1960300,209.4078,211.3222,208.0281,-0.0034,-0.0038,-0.0058,-0.0121,-0.0436,37.0370,0.0095,-0.0105,-0.0002,0.1035,-0.4112,0.7370,hold
2021-09-22,208.4851,2285900,209.0025,209.8734,206.7173,0.0019,-0.0097,-0.0176,-0.0084,-0.0411,39.4106,0.0081,-0.0107,-0.0003,0.1717,0.1661,0.8623,buy
2021-09-23,209.2612,2038600,209.9769,211.4170,209.0629,0.0037,-0.0173,-0.0113,-0.0036,-0.0368,42.8830,0.0082,-0.0103,-0.0000,0.2664,-0.1082,0.7749,sell
2021-09-24,208.2005,1901400,208.1057,209.3819,207.2865,-0.0051,-0.0212,-0.0127,-0.0074,-0.0408,43.4144,0.0083,-0.0105,-0.0001,0.1752,-0.0673,0.7370,sell
2021-09-27,205.7343,2588400,207.1744,208.9766,205.1220,-0.0118,-0.0147,-0.0186,-0.0173,-0.0513,41.0234,0.0089,-0.0115,-0.0008,-0.0352,0.3613,1.0047,sell
2021-09-28,201.3019,3173900,204.2855,204.6822,200.8017,-0.0215,-0.0326,-0.0363,-0.0350,-0.0705,24.4659,0.0108,-0.0141,-0.0025,-0.2585,0.2262,1.2066,buy
2021-09-29,203.3802,2655500,202.2764,204.9065,201.6210,0.0103,-0.0245,-0.0340,-0.0217,-0.0596,31.9399,0.0112,-0.0148,-0.0026,0.0113,-0.1633,1.0353,sell
2021-09-30,197.2749,5425400,203.4060,203.4060,196.7230,-0.0300,-0.0573,-0.0736,-0.0439,-0.0859,25.9091,0.0126,-0.0182,-0.0046,-0.2095,1.0431,2.0146,hold
2021-10-01,196.9730,3476400,197.6888,197.8957,193.0322,-0.0015,-0.0539,-0.0740,-0.0380,-0.0852,26.8016,0.0126,-0.0205,-0.0055,-0.0818,-0.3592,1.2684,sell
2021-10-04,194.7914,3816400,196.5505,197.4732,192.1958,-0.0111,-0.0532,-0.0671,-0.0421,-0.0929,25.4579,0.0121,-0.0231,-0.0064,-0.0623,0.0978,1.3808,buy
2021-10-05,196.2314,2407300,195.8003,197.9130,194.5930,0.0074,-0.0252,-0.0570,-0.0293,-0.0838,24.9396,0.0129,-0.0240,-0.0059,0.0714,-0.3692,0.8760,hold
2021-10-06,195.6019,2789100,195.0155,196.2142,193.8341,-0.0032,-0.0382,-0.0618,-0.0263,-0.0845,17.5484,0.0127,-0.0249,-0.0054,0.1000,0.1586,1.0160,buy
2021-10-07,198.1803,2352000,197.0851,199.6290,196.9558,0.0132,0.0046,-0.0530,-0.0079,-0.0704,25.0075,0.0138,-0.0239,-0.0037,0.2320,-0.1567,0.8587,hold
2021-10-08,197.3870,2004900,198.3786,199.8187,196.8868,-0.0040,0.0021,-0.0519,-0.0065,-0.0717,28.0067,0.0138,-0.0235,-0.0026,0.2294,-0.1476,0.7311,hold
2021-10-11,197.2317,1998600,197.1024,199.4134,196.9040,-0.0008,0.0125,-0.0413,-0.0031,-0.0701,28.6249,0.0137,-0.0229,-0.0016,0.2497,-0.0031,0.7406,buy
2021-10-12,198.5425,2167400,198.3355,199.5428,197.0421,0.0066,0.0118,-0.0137,0.0050,-0.0619,31.1048,0.0125,-0.0215,-0.0003,0.3207,0.0845,0.7993,buy
2021-10-13,204.1562,3984700,199.6290,204.1735,198.7839,0.0283,0.0437,0.0038,0.0330,-0.0335,41.8052,0.0154,-0.0175,0.0025,0.5571,0.8385,1.4165,buy
2021-10-14,208.7611,4281700,205.9240,210.2357,203.7078,0.0226,0.0534,0.0582,0.0502,-0.0102,50.8079,0.0125,-0.0126,0.0056,0.7681,0.0745,1.4670,buy
2021-10-15,211.8827,3626900,209.8045,213.2969,208.8128,0.0150,0.0734,0.0757,0.0580,0.0058,58.6972,0.0125,-0.0076,0.0083,0.9100,-0.1529,1.2450,buy
2021-10-18,218.7296,4365800,211.2273,218.8072,210.8738,0.0323,0.1090,0.1229,0.0792,0.0387,73.0760,0.0129,-0.0011,0.0114,1.0916,0.2037,1.4724,sell
2021-10-19,217.4706,3204800,219.4884,221.5753,217.1343,-0.0058,0.0953,0.1082,0.0619,0.0336,69.0709,0.0140,0.0034,0.0128,0.9780,-0.2659,1.0586,hold
2021-10-20,217.1602,2209300,219.2987,219.6696,216.7118,-0.0014,0.0637,0.1102,0.0493,0.0330,81.9214,0.0138,0.0067,0.0129,0.9210,-0.3106,0.7307,buy
2021-10-21,219.2125,1758400,216.9791,219.2384,216.7893,0.0095,0.0501,0.1061,0.0486,0.0435,83.8008,0.0138,0.0099,0.0128,0.9348,-0.2041,0.5843,buy
2021-10-22,220.6957,2205700,220.3077,221.9720,219.5402,0.0068,0.0416,0.1181,0.0440,0.0510,90.2250,0.0130,0.0129,0.0126,0.9241,0.2544,0.7292,buy
2021-10-25,224.5072,2488400,221.4632,225.0677,220.8423,0.0173,0.0264,0.1383,0.0486,0.0692,90.8955,0.0123,0.0161,0.0127,0.9538,0.1282,0.8241,sell
2021-10-26,223.1102,2439700,225.4126,225.5075,222.0582,-0.0062,0.0259,0.1237,0.0302,0.0628,88.9214,0.0137,0.0183,0.0119,0.8704,-0.0196,0.8179,sell
2021-10-27,221.2217,2269700,223.2913,223.6794,220.5146,-0.0085,0.0187,0.0836,0.0135,0.0536,83.2504,0.0137,0.0192,0.0102,0.7951,-0.0697,0.7659,buy
2021-10-28,222.6705,1735200,222.7050,224.3347,222.0754,0.0065,0.0158,0.0666,0.0137,0.0596,85.8085,0.0127,0.0200,0.0088,0.7948,-0.2355,0.6244,buy
2021-10-29,223.8777,2417800,221.1958,224.0156,221.1958,0.0054,0.0144,0.0566,0.0136,0.0641,86.6462,0.0124,0.0208,0.0077,0.7901,0.3934,0.8869,sell
2021-11-01,222.4117,1718100,225.5420,225.7575,222.0409,-0.0065,-0.0093,0.0168,0.0053,0.0568,82.6878,0.0086,0.0208,0.0062,0.7351,-0.2894,0.6554,buy
2021-11-02,224.4296,2228000,223.3689,225.2402,222.9464,0.0091,0.0059,0.0320,0.0113,0.0657,80.7965,0.0084,0.0211,0.0052,0.7560,0.2968,0.8529,hold
2021-11-03,224.5589,2397300,223.0843,224.7659,221.3769,0.0006,0.0151,0.0341,0.0085,0.0654,77.7745,0.0083,0.0212,0.0043,0.7383,0.0760,0.9246,hold
2021-11-04,224.5848,3031000,224.7745,226.3698,223.7052,0.0001,0.0086,0.0245,0.0062,0.0648,75.0596,0.0081,0.0211,0.0033,0.7189,0.2643,1.1539,sell
2021-11-05,219.2642,4060300,225.0677,225.2746,218.0052,-0.0237,-0.0206,-0.0065,-0.0170,0.0391,51.1223,0.0114,0.0193,0.0009,0.5593,0.3396,1.4876,sell
2021-11-08,218.4536,2523100,218.3846,220.8423,217.3326,-0.0037,-0.0178,-0.0270,-0.0180,0.0349,52.1033,0.0095,0.0171,-0.0011,0.5059,-0.3786,0.9156,buy
2021-11-09,220.0317,2346800,217.9793,220.2559,217.7983,0.0072,-0.0196,-0.0138,-0.0095,0.0419,55.8277,0.0099,0.0156,-0.0020,0.5305,-0.0699,0.8489,sell
2021-11-10,219.0745,2093100,219.0573,220.7561,217.8673,-0.0044,-0.0244,-0.0097,-0.0129,0.0367,49.7070,0.0096,0.0140,-0.0029,0.4385,-0.1081,0.7839,buy
2021-11-11,220.7647,2199400,219.2642,221.2562,218.7727,0.0077,-0.0170,-0.0086,-0.0044,0.0439,50.1452,0.0097,0.0131,-0.0030,0.5046,0.0508,0.8572,buy
2021-11-12,224.2226,2497600,221.9461,225.8179,221.3425,0.0157,0.0226,0.0015,0.0110,0.0590,49.3918,0.0109,0.0133,-0.0020,0.7823,0.1356,0.9953,buy
2021-11-15,227.9393,4852400,226.6113,231.9491,225.4127,0.0166,0.0434,0.0249,0.0252,0.0748,59.3898,0.0118,0.0146,-0.0004,1.0335,0.9428,1.9151,buy
2021-11-16,230.5005,4355800,227.5672,231.4869,227.3422,0.0112,0.0476,0.0271,0.0339,0.0847,67.5819,0.0119,0.0163,0.0012,1.1109,-0.1023,1.6809,sell
2021-11-17,219.6067,11855900,219.7711,222.5227,217.5906,-0.0473,0.0024,-0.0221,-0.0128,0.0328,45.7248,0.0198,0.0145,-0.0011,0.2648,1.7219,3.8572,sell
