date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,245.4233,45552600,253.2000,254.2033,244.8400,-0.0246,0.0053,0.0501,-0.0019,0.0654,73.3511,0.0151,0.0217,0.0032,0.6896,0.0786,0.9080,buy
2021-09-13,247.6667,68857500,246.7367,248.2600,236.2833,0.0091,0.0129,0.0437,0.0030,0.0731,68.2369,0.0148,0.0209,0.0021,0.7340,0.5116,1.3475,hold
2021-09-14,248.1633,55574700,247.5233,251.4900,245.4667,0.0020,-0.0112,0.0186,0.0032,0.0732,68.0144,0.0125,0.0204,0.0013,0.7240,-0.1929,1.1009,buy
2021-09-15,251.9433,46073100,248.3333,252.2867,246.1200,0.0152,0.0026,0.0273,0.0157,0.0865,70.5574,0.0132,0.0207,0.0015,0.8099,-0.1710,0.9360,hold
2021-09-16,252.3300,41770200,250.9433,252.9700,249.2033,0.0015,0.0028,0.0312,0.0142,0.0847,78.0074,0.0131,0.0210,0.0014,0.7931,-0.0934,0.8655,hold
2021-09-17,253.1633,84612600,252.3833,253.6800,250.0000,0.0033,0.0315,0.0370,0.0138,0.0850,76.0201,0.0129,0.0212,0.0014,0.8072,1.0257,1.6807,sell
2021-09-20,243.3900,74273100,244.8533,247.3333,239.5400,-0.0386,-0.0173,-0.0046,-0.0249,0.0409,49.6363,0.0186,0.0188,-0.0014,0.4393,-0.1222,1.4330,buy
2021-09-21,246.4600,48992100,244.9300,248.2467,243.4800,0.0126,-0.0069,-0.0180,-0.0108,0.0524,51.7241,0.0169,0.0169,-0.0025,0.5438,-0.3404,0.9561,buy
2021-09-22,250.6467,45378900,247.8433,251.2233,246.3733,0.0170,-0.0051,-0.0026,0.0063,0.0678,57.6236,0.0179,0.0164,-0.0021,0.7050,-0.0738,0.8803,hold
2021-09-23,251.2133,35842500,251.6667,252.7333,249.3067,0.0023,-0.0044,-0.0016,0.0087,0.0671,59.0758,0.0179,0.0163,-0.0018,0.7115,-0.2102,0.6967,buy
2021-09-24,258.1300,64119000,248.6300,258.2667,248.1867,0.0275,0.0196,0.0518,0.0312,0.0927,64.9371,0.0175,0.0177,0.0001,1.0317,0.7889,1.2174,buy
2021-09-27,263.7867,84212100,257.7067,266.3333,256.4367,0.0219,0.0838,0.0651,0.0471,0.1120,64.3155,0.0183,0.0202,0.0024,1.1881,0.3134,1.5366,sell
2021-09-28,259.1867,76144200,262.4000,265.2133,255.3933,-0.0174,0.0516,0.0444,0.0244,0.0886,58.0518,0.0198,0.0213,0.0025,0.9112,-0.0958,1.3641,hold
2021-09-29,260.4367,62828700,259.9333,264.5000,256.8933,0.0048,0.0391,0.0337,0.0258,0.0902,58.8243,0.0194,0.0218,0.0025,0.9095,-0.1749,1.1253,sell
2021-09-30,258.4933,53868000,260.3333,263.0433,258.3333,-0.0075,0.0290,0.0244,0.0157,0.0784,64.2987,0.0197,0.0217,0.0018,0.7939,-0.1426,0.9527,hold
