date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,166.3178,3331700,165.1750,168.7604,165.1750,0.0116,0.0065,0.0143,0.0045,0.0098,68.9839,0.0079,0.0014,0.0008,0.7704,0.8227,1.1169,buy
2021-09-13,169.2228,3687200,168.3330,169.3537,166.8325,0.0175,0.0216,0.0182,0.0202,0.0270,69.8897,0.0086,0.0032,0.0021,1.0491,0.1067,1.2006,buy
2021-09-14,170.2086,3239600,170.1126,171.2816,169.0658,0.0058,0.0298,0.0192,0.0242,0.0326,72.0777,0.0087,0.0050,0.0031,1.0501,-0.1214,1.0424,buy
2021-09-15,172.2935,3995900,171.0984,172.3721,169.9643,0.0122,0.0461,0.0345,0.0332,0.0444,75.2551,0.0091,0.0073,0.0044,1.1024,0.2335,1.2738,sell
2021-09-16,171.7003,2661500,171.4997,172.1539,169.9817,-0.0034,0.0443,0.0450,0.0251,0.0399,73.0589,0.0074,0.0088,0.0047,0.9877,-0.3339,0.8512,sell
2021-09-17,171.2031,5819300,172.1278,172.1278,169.7724,-0.0029,0.0294,0.0361,0.0185,0.0359,66.6474,0.0078,0.0097,0.0044,0.9007,1.1865,1.8048,sell
2021-09-20,168.0102,4614300,168.2632,169.0135,165.5414,-0.0186,-0.0072,0.0143,-0.0019,0.0162,52.9059,0.0105,0.0089,0.0028,0.6170,-0.2071,1.4145,hold
2021-09-21,168.3330,3093400,169.2053,169.6677,166.4835,0.0019,-0.0110,0.0185,-0.0018,0.0180,55.1742,0.0104,0.0082,0.0017,0.6287,-0.3296,0.9546,buy
2021-09-22,170.9152,3526100,169.8945,171.5957,169.0135,0.0153,-0.0080,0.0377,0.0098,0.0330,68.7286,0.0110,0.0087,0.0018,0.8283,0.1399,1.0838,buy
2021-09-23,173.3142,2756900,171.2467,173.6894,170.8018,0.0140,0.0094,0.0541,0.0186,0.0465,71.1417,0.0113,0.0100,0.0026,0.9692,-0.2181,0.8527,buy
2021-09-24,175.0416,3191500,172.1802,175.2771,171.9621,0.0100,0.0224,0.0525,0.0235,0.0555,73.0032,0.0112,0.0117,0.0035,1.0192,0.1576,0.9941,hold
2021-09-27,174.7624,3022300,172.9304,174.8671,172.4419,-0.0016,0.0402,0.0327,0.0186,0.0521,73.3164,0.0104,0.0129,0.0037,0.9299,-0.0530,0.9390,sell
2021-09-28,170.0167,4274600,172.2849,173.6981,169.7201,-0.0272,0.0100,-0.0011,-0.0090,0.0225,60.8403,0.0141,0.0118,0.0019,0.5817,0.4144,1.2897,sell
2021-09-29,168.4290,3436800,169.7026,170.8280,167.5915,-0.0093,-0.0145,-0.0224,-0.0160,0.0123,57.7755,0.0137,0.0098,-0.0001,0.4610,-0.1960,1.0494,sell
2021-09-30,167.6787,3270800,169.6590,170.1039,167.5827,-0.0045,-0.0325,-0.0234,-0.0181,0.0078,52.7601,0.0137,0.0078,-0.0017,0.3895,-0.0483,1.0184,buy
2021-10-01,169.0571,2986100,168.7430,169.5281,165.9078,0.0082,-0.0342,-0.0125,-0.0088,0.0150,49.6417,0.0141,0.0067,-0.0022,0.4787,-0.0870,0.9166,sell
2021-10-04,166.0997,3934100,168.4028,169.5718,164.9046,-0.0175,-0.0496,-0.0114,-0.0250,-0.0032,41.8144,0.0139,0.0045,-0.0037,0.2413,0.3175,1.1746,buy
2021-10-05,169.1356,3860200,167.6962,170.3046,166.3440,0.0183,-0.0052,0.0048,-0.0077,0.0145,43.9384,0.0152,0.0040,-0.0032,0.4660,-0.0188,1.1262,hold
2021-10-06,169.5805,3103400,167.5391,169.8160,167.1466,0.0026,0.0068,-0.0078,-0.0043,0.0161,45.9078,0.0143,0.0038,-0.0027,0.4814,-0.1961,0.8914,buy
2021-10-07,170.3831,2873200,170.8193,172.5117,170.1388,0.0047,0.0161,-0.0169,0.0021,0.0201,48.4355,0.0136,0.0040,-0.0020,0.5302,-0.0742,0.8130,hold
2021-10-08,170.3220,2574100,171.1420,171.3078,169.2316,-0.0004,0.0075,-0.0270,0.0046,0.0191,55.0094,0.0130,0.0041,-0.0015,0.5040,-0.1041,0.7363,sell
2021-10-11,168.6907,2280200,170.0167,171.1856,168.6383,-0.0096,0.0156,-0.0347,-0.0015,0.0091,50.7335,0.0131,0.0034,-0.0018,0.3306,-0.1142,0.6656,sell
2021-10-12,164.4248,6225100,169.1705,169.4409,163.4303,-0.0253,-0.0279,-0.0329,-0.0235,-0.0162,37.5502,0.0128,0.0008,-0.0037,-0.0216,1.7301,1.7413,sell
2021-10-13,163.2209,3796500,165.0180,165.2099,162.7149,-0.0073,-0.0375,-0.0309,-0.0276,-0.0232,29.7090,0.0127,-0.0020,-0.0051,-0.0258,-0.3901,1.0649,buy
2021-10-14,167.9230,3412800,165.2012,168.0015,164.8173,0.0288,-0.0144,0.0015,0.0002,0.0049,37.2181,0.0162,-0.0017,-0.0039,0.3817,-0.1011,0.9473,buy
2021-10-15,169.6328,2648900,168.2458,169.9382,168.0538,0.0102,-0.0040,0.0034,0.0101,0.0150,41.2396,0.0163,-0.0008,-0.0023,0.5327,-0.2238,0.7691,hold
2021-10-18,170.0341,2804600,168.5162,171.0373,167.1640,0.0024,0.0080,0.0237,0.0101,0.0172,50.0349,0.0150,0.0002,-0.0011,0.5585,0.0588,0.8363,buy
2021-10-19,172.9304,2666100,169.7724,173.2008,169.1007,0.0170,0.0517,0.0224,0.0250,0.0337,58.5771,0.0149,0.0022,0.0008,0.7774,-0.0494,0.8001,buy
2021-10-20,173.9336,3043300,172.8169,174.4919,171.9009,0.0058,0.0656,0.0257,0.0283,0.0387,61.8044,0.0149,0.0043,0.0023,0.8323,0.1415,0.9200,buy
2021-10-21,175.5999,3276300,174.1692,175.8529,173.6021,0.0096,0.0457,0.0306,0.0349,0.0473,62.2150,0.0151,0.0065,0.0036,0.9314,0.0766,0.9827,sell
2021-10-22,173.6632,3649200,175.8267,176.4112,172.8519,-0.0110,0.0238,0.0196,0.0215,0.0346,64.6800,0.0157,0.0075,0.0036,0.8004,0.1138,1.0871,buy
2021-10-25,174.6490,4254900,174.4745,176.4461,173.6545,0.0057,0.0271,0.0353,0.0237,0.0392,61.6262,0.0152,0.0084,0.0037,0.8781,0.1660,1.2446,sell
2021-10-26,171.8399,5837500,174.5443,174.8234,171.4125,-0.0161,-0.0063,0.0451,0.0029,0.0217,54.3325,0.0134,0.0080,0.0025,0.6518,0.3719,1.6694,sell
2021-10-27,163.2209,10365500,161.9472,164.4597,160.1240,-0.0502,-0.0616,0.0000,-0.0474,-0.0296,39.4337,0.0218,0.0036,-0.0017,0.0535,0.7757,2.6971,hold
2021-10-28,163.8926,5123000,163.8054,165.4018,162.4619,0.0041,-0.0667,-0.0240,-0.0412,-0.0260,40.6826,0.0195,0.0002,-0.0041,0.1344,-0.5058,1.3017,hold
2021-10-29,164.5597,4552200,163.6030,165.3321,163.4625,0.0041,-0.0524,-0.0299,-0.0345,-0.0224,43.8414,0.0192,-0.0022,-0.0052,0.2055,-0.1114,1.1341,hold
2021-11-01,164.5509,4203900,163.9014,165.5165,163.3309,-0.0001,-0.0578,-0.0322,-0.0314,-0.0228,50.2155,0.0191,-0.0040,-0.0056,0.2155,-0.0765,1.0438,buy
