date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,15.1823,38245594,15.3498,15.3554,15.1711,-0.0088,-0.0166,0.0059,-0.0073,-0.0260,42.0410,0.0083,-0.0060,0.0005,0.2402,-0.0392,0.9548,buy
2021-09-13,15.3722,51168760,15.2716,15.5006,15.2660,0.0125,-0.0015,0.0144,0.0037,-0.0132,50.0000,0.0091,-0.0053,0.0009,0.5143,0.3379,1.2431,sell
2021-09-14,15.2660,38046729,15.3889,15.4224,15.2214,-0.0069,-0.0033,0.0037,-0.0036,-0.0192,47.9022,0.0094,-0.0053,0.0008,0.3760,-0.2564,0.9122,buy
2021-09-15,15.4001,44541081,15.2772,15.4448,15.2549,0.0088,-0.0011,0.0055,0.0046,-0.0100,52.2726,0.0095,-0.0044,0.0012,0.6794,0.1707,1.0452,hold
2021-09-16,15.4169,38041698,15.3945,15.4951,15.3275,0.0011,0.0066,0.0151,0.0042,-0.0085,60.7409,0.0090,-0.0037,0.0016,0.7562,-0.1459,0.8911,hold
2021-09-17,15.3778,89996517,15.3163,15.6068,15.3163,-0.0025,0.0129,-0.0040,0.0021,-0.0105,57.5188,0.0073,-0.0033,0.0016,0.6584,1.3657,2.0136,sell
2021-09-20,15.1990,64631457,15.2605,15.2884,15.0482,-0.0116,-0.0113,-0.0127,-0.0083,-0.0212,49.6528,0.0081,-0.0039,0.0009,0.2396,-0.2818,1.4023,sell
2021-09-21,15.0594,47120101,15.2549,15.3219,15.0482,-0.0092,-0.0135,-0.0168,-0.0158,-0.0291,42.1769,0.0085,-0.0050,-0.0002,-0.0052,-0.2709,1.0113,hold
2021-09-22,15.0873,41950675,15.0929,15.1990,15.0761,0.0019,-0.0203,-0.0214,-0.0118,-0.0264,46.7390,0.0081,-0.0057,-0.0007,0.1107,-0.1097,0.8973,buy
2021-09-23,15.1878,45047776,15.1152,15.2437,15.0929,0.0067,-0.0149,-0.0084,-0.0044,-0.0192,40.9640,0.0083,-0.0056,-0.0005,0.3330,0.0738,0.9480,hold
2021-09-24,15.1543,32406489,15.1655,15.2940,15.1376,-0.0022,-0.0145,-0.0018,-0.0064,-0.0204,41.2957,0.0079,-0.0057,-0.0005,0.2502,-0.2806,0.6943,buy
2021-09-27,15.3051,42571764,15.1767,15.4448,15.1711,0.0100,0.0070,-0.0044,0.0039,-0.0100,49.6155,0.0075,-0.0048,0.0003,0.5539,0.3137,0.9122,sell
2021-09-28,15.2158,43597466,15.3275,15.4951,15.1878,-0.0058,0.0104,-0.0033,-0.0016,-0.0154,43.0232,0.0074,-0.0046,0.0004,0.3593,0.0241,0.9308,buy
2021-09-29,15.3051,41619543,15.2381,15.4001,15.1767,0.0059,0.0144,-0.0062,0.0049,-0.0092,49.6095,0.0070,-0.0039,0.0009,0.5546,-0.0454,0.8992,sell
2021-09-30,15.0873,58751838,15.3498,15.3666,15.0873,-0.0142,-0.0066,-0.0214,-0.0073,-0.0227,46.8634,0.0082,-0.0045,0.0003,0.1131,0.4116,1.2410,buy
2021-10-01,15.1711,41759490,15.1599,15.3051,15.0873,0.0056,0.0011,-0.0134,-0.0004,-0.0167,42.8575,0.0085,-0.0045,0.0002,0.3065,-0.2892,0.9198,buy
2021-10-04,15.2214,57892430,15.2158,15.3387,15.1320,0.0033,-0.0055,0.0015,0.0028,-0.0128,48.3471,0.0078,-0.0041,0.0005,0.4301,0.3863,1.2449,buy
