date,close,volume,open,high,low
07/02/2026,$74.43,"14,097,430",$72.79,$74.51,$72.33
07/01/2026,$72.66,"12,648,030",$72.23,$73.80,$71.66
06/30/2026,$72.16,"27,806,110",$74.78,$75.03,$71.82
06/29/2026,$75.50,"26,220,730",$76.00,$77.76,$74.20
06/26/2026,$76.20,"64,581,220",$72.70,$76.39,$72.45
06/25/2026,$72.25,"14,682,060",$74.26,$74.55,$72.11
06/24/2026,$73.85,"34,823,300",$70.30,$75.74,$69.70
06/23/2026,$69.67,"20,733,910",$71.08,$71.555,$69.565
06/22/2026,$71.43,"21,887,140",$71.46,$72.45,$70.8501
06/18/2026,$71.64,"27,203,330",$71.97,$72.49,$70.78
06/17/2026,$70.91,"16,144,350",$72.88,$73.27,$70.89
06/16/2026,$73.25,"17,514,600",$73.28,$74.285,$72.77
06/15/2026,$72.85,"24,748,740",$70.62,$73.48,$70.46
06/12/2026,$68.85,"19,678,070",$70.02,$70.23,$67.40
06/11/2026,$69.55,"24,995,410",$68.225,$69.565,$67.19
06/10/2026,$68.61,"21,908,790",$69.70,$70.375,$68.61
06/09/2026,$70.38,"20,029,580",$70.275,$71.45,$69.50
06/08/2026,$70.06,"18,636,000",$70.41,$70.935,$69.97
06/05/2026,$70.71,"18,532,330",$71.84,$72.53,$70.31
06/04/2026,$72.21,"17,576,580",$72.65,$73.54,$71.725
06/03/2026,$71.69,"17,348,390",$71.15,$71.875,$70.355
06/02/2026,$71.62,"16,657,680",$72.60,$73.13,$71.315
06/01/2026,$73.77,"24,119,760",$71.33,$74.555,$71.33
05/29/2026,$70.40,"50,294,670",$70.65,$72.24,$69.96
05/28/2026,$70.92,"19,139,120",$70.17,$71.14,$69.58
05/27/2026,$70.73,"23,148,250",$69.85,$70.94,$69.60
05/26/2026,$70.12,"23,281,180",$71.74,$71.83,$69.90
05/22/2026,$71.82,"19,689,020",$73.85,$74.97,$71.32
05/21/2026,$73.61,"13,238,660",$74.245,$74.61,$72.90
05/20/2026,$74.60,"12,764,830",$73.80,$74.8941,$72.5301
05/19/2026,$74.09,"17,419,870",$75.49,$76.01,$73.96
05/18/2026,$75.08,"17,776,180",$74.89,$75.97,$74.23
05/15/2026,$75.09,"16,394,140",$74.31,$75.565,$73.63
05/14/2026,$74.69,"17,329,490",$74.665,$75.29,$72.875
05/13/2026,$74.70,"14,055,170",$75.60,$76.05,$74.0201
05/12/2026,$76.36,"17,241,010",$76.20,$76.83,$74.41
05/11/2026,$76.15,"18,996,390",$75.50,$77.0157,$75.10
05/08/2026,$75.45,"16,230,640",$77.05,$77.05,$74.4016
05/07/2026,$76.73,"26,972,250",$79.825,$80.83,$76.30
05/06/2026,$79.17,"35,783,030",$77.46,$80.11,$76.70
