date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,371.2828,4215800,381.9917,382.3962,370.0694,-0.0222,-0.0434,-0.0276,-0.0289,-0.0249,21.7026,0.0101,-0.0008,-0.0037,-0.0986,0.2016,1.7575,buy
2021-09-13,381.0357,3068200,375.0240,383.1408,373.6176,0.0263,-0.0163,-0.0067,-0.0027,0.0002,40.4971,0.0136,-0.0008,-0.0029,0.3386,-0.2722,1.2395,sell
2021-09-14,379.2157,2879800,383.8578,383.8578,378.1402,-0.0048,-0.0172,-0.0103,-0.0064,-0.0048,40.4668,0.0136,-0.0012,-0.0027,0.2590,-0.0614,1.1517,buy
2021-09-15,383.7934,3180600,379.1973,387.3784,376.4212,0.0121,0.0087,0.0065,0.0049,0.0068,49.2565,0.0142,-0.0006,-0.0016,0.4925,0.1045,1.2490,hold
2021-09-16,383.1684,2262700,385.7698,389.1985,381.4402,-0.0016,0.0091,0.0023,0.0030,0.0048,51.4969,0.0142,-0.0002,-0.0010,0.4590,-0.2886,0.9023,buy
2021-09-17,386.2201,4534200,381.4494,387.0750,381.4494,0.0080,0.0402,-0.0049,0.0115,0.0122,52.8772,0.0135,0.0007,-0.0001,0.6348,1.0039,1.7613,sell
2021-09-20,379.3628,2799800,383.2419,385.4296,375.7043,-0.0178,-0.0044,-0.0206,-0.0043,-0.0058,46.3574,0.0146,0.0000,-0.0006,0.2807,-0.3825,1.0793,hold
2021-09-21,379.0319,2382200,381.4862,384.9517,378.9124,-0.0009,-0.0005,-0.0177,-0.0034,-0.0066,47.7559,0.0145,-0.0006,-0.0010,0.2809,-0.1492,0.9182,sell
2021-09-22,375.6858,3629400,372.2295,378.7192,372.2295,-0.0088,-0.0211,-0.0127,-0.0110,-0.0150,43.7677,0.0142,-0.0018,-0.0018,0.1121,0.5235,1.3467,hold
2021-09-23,375.0700,2681600,376.6971,381.3391,374.5921,-0.0016,-0.0211,-0.0123,-0.0114,-0.0163,36.3528,0.0142,-0.0029,-0.0023,0.1241,-0.2611,0.9815,hold
2021-09-24,374.1967,1950400,374.0681,374.9413,372.4962,-0.0023,-0.0311,0.0078,-0.0144,-0.0181,36.2809,0.0121,-0.0039,-0.0026,0.1213,-0.2727,0.7066,sell
2021-09-27,372.5330,2608600,374.8862,378.8572,372.2480,-0.0044,-0.0180,-0.0223,-0.0166,-0.0218,36.1453,0.0082,-0.0050,-0.0030,0.0899,0.3375,0.9284,sell
2021-09-28,366.4201,3115400,370.0786,371.3656,364.9494,-0.0164,-0.0333,-0.0337,-0.0295,-0.0375,35.5871,0.0094,-0.0072,-0.0041,-0.0784,0.1943,1.0738,buy
