date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,154.9973,3094100,152.7677,155.3421,152.3907,0.0225,-0.0249,0.0047,-0.0075,-0.0293,50.0484,0.0135,-0.0052,0.0009,0.3853,-0.1492,1.3102,buy
2021-09-13,155.9035,2136200,156.1602,156.6574,154.4679,0.0058,-0.0149,0.0056,-0.0023,-0.0221,53.2221,0.0136,-0.0047,0.0011,0.5110,-0.3096,0.9102,sell
2021-09-14,153.1927,1895300,156.5853,157.0986,153.0404,-0.0174,-0.0233,-0.0155,-0.0181,-0.0373,45.4214,0.0146,-0.0057,0.0002,0.1498,-0.1128,0.8287,buy
2021-09-15,155.0694,1769200,153.6659,155.4544,153.0644,0.0123,-0.0063,-0.0117,-0.0049,-0.0238,50.9016,0.0150,-0.0053,0.0004,0.4364,-0.0665,0.7942,hold
2021-09-16,154.7647,1657200,155.0774,155.7592,153.5135,-0.0020,0.0210,-0.0175,-0.0051,-0.0237,51.1514,0.0149,-0.0052,0.0004,0.3960,-0.0633,0.7601,sell
2021-09-17,152.4068,4504200,154.4359,157.3953,152.1180,-0.0152,-0.0167,-0.0412,-0.0161,-0.0366,44.2612,0.0149,-0.0063,-0.0005,0.0938,1.7180,1.9909,hold
2021-09-20,151.8935,2439500,151.0594,152.0458,149.8403,-0.0034,-0.0257,-0.0403,-0.0154,-0.0375,41.8721,0.0149,-0.0074,-0.0012,0.0807,-0.4584,1.0731,hold
2021-09-21,152.1661,2496400,152.4629,152.9601,150.7867,0.0018,-0.0067,-0.0298,-0.0106,-0.0336,39.1304,0.0149,-0.0080,-0.0015,0.1520,0.0233,1.0922,sell
2021-09-22,148.6133,4229800,147.4503,150.2253,146.0628,-0.0233,-0.0416,-0.0476,-0.0290,-0.0538,31.9806,0.0163,-0.0104,-0.0030,-0.1058,0.6944,1.7524,buy
2021-09-23,149.8082,2527500,149.1746,150.6503,148.9019,0.0080,-0.0320,-0.0117,-0.0201,-0.0439,31.3113,0.0143,-0.0114,-0.0032,0.0752,-0.4025,1.0273,buy
