date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,44.5819,3856300,45.1768,45.3135,44.5577,-0.0066,-0.0175,-0.0313,-0.0168,-0.0200,48.6293,0.0127,-0.0051,-0.0032,0.1970,-0.1983,0.8827,buy
2021-09-13,45.4582,5448400,44.9758,45.4743,44.8874,0.0197,0.0069,-0.0302,0.0057,-0.0003,52.0579,0.0129,-0.0042,-0.0018,0.5153,0.4129,1.2218,sell
2021-09-14,44.9517,5432200,45.6271,45.7959,44.5899,-0.0111,0.0014,-0.0205,-0.0035,-0.0109,44.9888,0.0117,-0.0044,-0.0016,0.3471,-0.0030,1.1887,buy
2021-09-15,46.4713,7194300,45.2090,46.6079,45.1366,0.0338,0.0445,0.0071,0.0295,0.0219,50.7968,0.0162,-0.0017,0.0008,0.8877,0.3244,1.5127,sell
2021-09-16,45.9085,6056000,46.6321,46.9054,45.6833,-0.0121,0.0229,0.0166,0.0153,0.0091,49.3230,0.0151,-0.0007,0.0015,0.6692,-0.1582,1.2549,hold
2021-09-17,45.8361,10014300,45.7235,46.2301,45.7155,-0.0016,0.0281,0.0101,0.0127,0.0068,43.1164,0.0151,0.0000,0.0017,0.6251,0.6536,1.9837,sell
2021-09-20,44.7668,8945100,44.5738,44.8472,43.8904,-0.0233,-0.0152,-0.0084,-0.0101,-0.0162,42.6161,0.0169,-0.0013,0.0003,0.2257,-0.1068,1.6836,buy
2021-09-21,45.9085,10332300,45.1205,46.1979,44.9276,0.0255,0.0213,0.0227,0.0129,0.0090,48.6308,0.0187,-0.0003,0.0010,0.6379,0.1551,1.8301,buy
2021-09-22,46.5677,8715700,46.5356,47.3717,46.4150,0.0144,0.0021,0.0466,0.0227,0.0232,58.5869,0.0186,0.0016,0.0023,0.8474,-0.1565,1.4720,buy
2021-09-23,47.6692,8216800,47.1064,47.9426,47.0260,0.0237,0.0384,0.0622,0.0405,0.0465,62.6219,0.0195,0.0048,0.0044,1.1052,-0.0572,1.3398,buy
2021-09-24,48.0712,4770700,47.7577,48.4973,47.6531,0.0084,0.0488,0.0783,0.0414,0.0550,65.8261,0.0190,0.0079,0.0060,1.0838,-0.4194,0.7689,buy
2021-09-27,49.1245,5388200,48.6260,49.3094,48.5938,0.0219,0.0973,0.0807,0.0558,0.0766,71.0969,0.0191,0.0118,0.0080,1.1642,0.1294,0.8618,sell
2021-09-28,48.5777,7223100,49.2933,49.5747,48.4893,-0.0111,0.0581,0.0807,0.0360,0.0624,70.0316,0.0191,0.0141,0.0082,0.9710,0.3405,1.1338,hold
2021-09-29,48.8208,4934700,48.6101,49.1449,48.3104,0.0050,0.0484,0.0506,0.0360,0.0660,69.6056,0.0168,0.0159,0.0080,0.9457,-0.3168,0.7865,sell
2021-09-30,48.1564,5648600,49.1124,49.1449,48.1078,-0.0136,0.0102,0.0490,0.0170,0.0505,67.1546,0.0170,0.0164,0.0067,0.8014,0.1447,0.9067,buy
2021-10-01,49.2259,6334000,48.4076,49.5175,48.2861,0.0222,0.0240,0.0740,0.0322,0.0718,67.7522,0.0177,0.0178,0.0067,0.9118,0.1213,1.0084,hold
2021-10-04,49.0395,5305300,49.0638,49.9145,48.9018,-0.0038,-0.0017,0.0954,0.0192,0.0658,69.8600,0.0147,0.0187,0.0060,0.8419,-0.1624,0.8354,buy
2021-10-05,49.6553,5365100,49.3636,49.9712,49.0071,0.0126,0.0222,0.0816,0.0240,0.0770,66.9582,0.0137,0.0199,0.0059,0.8813,0.0113,0.8416,hold
2021-10-06,49.7849,5037100,49.3717,49.8254,48.7560,0.0026,0.0197,0.0691,0.0199,0.0777,71.6449,0.0136,0.0210,0.0056,0.8595,-0.0611,0.7808,buy
2021-10-07,50.1333,5104900,50.2386,50.6599,49.9145,0.0070,0.0410,0.0517,0.0219,0.0828,73.2766,0.0122,0.0220,0.0054,0.8652,0.0135,0.7895,buy
2021-10-08,50.4978,4554500,50.1738,50.7328,49.9469,0.0073,0.0258,0.0505,0.0243,0.0883,83.6098,0.0122,0.0231,0.0053,0.8760,-0.1078,0.7006,sell
2021-10-11,50.1090,3713300,50.8624,51.0407,50.0928,-0.0077,0.0218,0.0200,0.0144,0.0774,77.0196,0.0112,0.0234,0.0043,0.7929,-0.1847,0.5789,hold
2021-10-12,49.9550,4108300,49.9793,50.3439,49.5662,-0.0031,0.0060,0.0284,0.0084,0.0715,73.3037,0.0104,0.0230,0.0031,0.7506,0.1064,0.6472,sell
2021-10-13,49.7930,5000800,49.8092,49.9388,48.7641,-0.0032,0.0002,0.0199,0.0032,0.0658,66.7800,0.0105,0.0222,0.0018,0.7053,0.2172,0.8016,sell
2021-10-14,48.6750,8490700,48.6101,48.8775,47.4759,-0.0225,-0.0291,0.0108,-0.0204,0.0399,54.2853,0.0122,0.0199,-0.0007,0.5242,0.6979,1.3350,hold
2021-10-15,48.7965,9158100,48.8046,49.1449,47.8243,0.0025,-0.0337,-0.0087,-0.0171,0.0408,47.3171,0.0098,0.0177,-0.0023,0.5218,0.0786,1.4497,buy
2021-10-18,49.0801,5212200,48.4724,49.3717,48.4724,0.0058,-0.0205,0.0008,-0.0114,0.0454,54.2936,0.0099,0.0161,-0.0030,0.5421,-0.4309,0.8502,buy
2021-10-19,49.7039,3506800,49.3150,49.7201,49.1368,0.0127,-0.0050,0.0010,0.0010,0.0569,57.0872,0.0100,0.0156,-0.0026,0.6650,-0.3272,0.6057,buy
2021-10-20,50.7004,4806200,49.5662,50.7085,49.2421,0.0200,0.0182,0.0184,0.0192,0.0761,69.3828,0.0118,0.0165,-0.0011,0.9305,0.3705,0.8592,sell
2021-10-21,50.3763,4699000,50.6923,50.8705,50.0522,-0.0064,0.0350,0.0048,0.0122,0.0678,59.8885,0.0119,0.0168,-0.0008,0.8133,-0.0223,0.8673,buy
2021-10-22,50.8300,5251100,50.4492,50.8867,50.1414,0.0090,0.0417,0.0066,0.0206,0.0758,64.7137,0.0120,0.0173,-0.0000,0.9194,0.1175,0.9649,hold
2021-10-25,50.6518,3043600,50.9191,51.0488,50.5302,-0.0035,0.0320,0.0108,0.0160,0.0703,58.8235,0.0118,0.0174,0.0000,0.8228,-0.4204,0.5716,hold
2021-10-26,50.5870,3825600,50.7085,50.8219,50.2872,-0.0013,0.0178,0.0126,0.0134,0.0670,57.1843,0.0117,0.0172,-0.0002,0.7752,0.2569,0.7421,sell
2021-10-27,48.8370,7255000,50.3034,50.3439,48.7479,-0.0346,-0.0368,-0.0192,-0.0198,0.0287,40.7193,0.0164,0.0146,-0.0028,0.2135,0.8964,1.3764,buy
2021-10-28,49.3636,3979100,49.0882,49.3960,48.8046,0.0108,-0.0201,0.0141,-0.0106,0.0379,42.0635,0.0150,0.0126,-0.0037,0.3462,-0.4515,0.7671,sell
2021-10-29,48.9099,4008400,49.4446,49.5824,48.7722,-0.0092,-0.0378,0.0023,-0.0199,0.0265,41.6854,0.0154,0.0103,-0.0048,0.1955,0.0074,0.7904,buy
2021-11-01,49.2421,2797500,49.3636,49.4851,48.8613,0.0068,-0.0278,0.0033,-0.0136,0.0315,45.1754,0.0154,0.0089,-0.0050,0.3064,-0.3021,0.5656,hold
2021-11-02,49.3069,3588300,49.2826,49.5094,48.8451,0.0013,-0.0253,-0.0080,-0.0115,0.0311,46.6666,0.0148,0.0078,-0.0048,0.3375,0.2827,0.7388,buy
2021-11-03,50.0928,4187500,49.0801,50.4411,49.0152,0.0159,0.0257,-0.0120,0.0055,0.0456,60.1863,0.0142,0.0080,-0.0036,0.6092,0.1670,0.8698,sell
2021-11-04,48.8370,4260300,49.8011,49.8497,48.4157,-0.0251,-0.0107,-0.0306,-0.0167,0.0183,50.2503,0.0161,0.0063,-0.0044,0.2011,0.0174,0.8927,buy
2021-11-05,49.1692,3907500,49.3555,49.6067,48.9585,0.0068,0.0053,-0.0327,-0.0067,0.0239,50.5472,0.0159,0.0052,-0.0043,0.3332,-0.0828,0.8244,hold
2021-11-08,49.1692,3563800,49.3555,49.5256,48.8208,0.0000,-0.0015,-0.0293,-0.0037,0.0229,46.4439,0.0160,0.0044,-0.0041,0.3493,-0.0880,0.7530,sell
2021-11-09,48.6669,4042900,48.6993,48.9666,48.2780,-0.0102,-0.0130,-0.0380,-0.0100,0.0113,35.5248,0.0161,0.0029,-0.0046,0.2072,0.1344,0.8549,buy
2021-11-10,49.0071,3580100,48.8289,49.3312,48.7236,0.0070,-0.0217,0.0035,-0.0034,0.0172,40.2763,0.0122,0.0022,-0.0042,0.3360,-0.1145,0.7686,buy
2021-11-11,49.2421,2893700,49.0071,49.5094,48.9504,0.0048,0.0083,-0.0025,0.0016,0.0203,38.3611,0.0117,0.0020,-0.0035,0.4018,-0.1917,0.6609,sell
2021-11-12,49.0152,3686000,49.1935,49.2664,48.5777,-0.0046,-0.0031,0.0022,-0.0032,0.0141,38.0897,0.0114,0.0015,-0.0032,0.3178,0.2738,0.8980,hold
2021-11-15,48.9828,3190100,49.2259,49.2745,48.8937,-0.0007,-0.0038,-0.0053,-0.0034,0.0118,38.2702,0.0112,0.0010,-0.0030,0.3092,-0.1345,0.7968,hold
2021-11-16,49.0314,3910500,49.0882,49.4041,48.5129,0.0010,0.0075,-0.0056,-0.0018,0.0111,51.8928,0.0112,0.0007,-0.0026,0.3393,0.2258,0.9718,sell
2021-11-17,48.0592,4177300,48.9180,48.9909,48.0430,-0.0198,-0.0193,-0.0406,-0.0176,-0.0104,38.3164,0.0111,-0.0012,-0.0036,0.0579,0.0682,1.0463,sell
2021-11-18,47.5164,3947000,48.1240,48.1240,47.2977,-0.0113,-0.0350,-0.0270,-0.0260,-0.0227,37.7143,0.0088,-0.0036,-0.0048,-0.0284,-0.0551,0.9980,sell
2021-11-19,46.6576,4302300,47.1518,47.1762,46.3255,-0.0181,-0.0481,-0.0511,-0.0387,-0.0411,29.1503,0.0093,-0.0069,-0.0066,-0.1514,0.0900,1.1011,buy
2021-11-22,47.7838,5534300,47.3625,48.4400,47.2410,0.0241,-0.0245,-0.0282,-0.0127,-0.0189,39.5090,0.0131,-0.0074,-0.0056,0.1828,0.2864,1.3726,buy
2021-11-23,48.6669,4686500,48.1889,48.8208,48.0673,0.0185,-0.0074,0.0000,0.0056,-0.0023,40.3083,0.0144,-0.0062,-0.0036,0.4634,-0.1532,1.1501,hold
2021-11-24,48.4805,2862800,48.5697,49.0963,48.2213,-0.0038,0.0088,-0.0107,0.0028,-0.0070,47.1650,0.0142,-0.0056,-0.0024,0.4083,-0.3891,0.7426,sell
2021-11-26,46.5847,4654300,46.8602,46.8764,45.8151,-0.0391,-0.0196,-0.0540,-0.0311,-0.0461,33.5397,0.0184,-0.0085,-0.0041,-0.0729,0.6258,1.1968,hold
2021-11-29,46.5037,4965300,46.5037,47.1438,46.0176,-0.0017,-0.0033,-0.0512,-0.0277,-0.0480,33.1972,0.0184,-0.0106,-0.0050,0.0022,0.0668,1.2612,sell
2021-11-30,44.8348,10030800,45.9690,45.9933,44.7781,-0.0359,-0.0617,-0.0847,-0.0544,-0.0822,28.9403,0.0207,-0.0156,-0.0078,-0.1740,1.0202,2.3335,sell
