date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,188.5700,1375500,188.1700,190.1500,186.1500,0.0026,-0.0535,-0.0488,-0.0351,-0.0475,37.1378,0.0126,-0.0104,-0.0057,0.0317,-0.0513,0.9205,buy
2021-09-13,190.7200,972700,190.0700,193.2500,189.6100,0.0114,-0.0370,-0.0460,-0.0195,-0.0356,36.2366,0.0130,-0.0110,-0.0051,0.1897,-0.2928,0.7041,sell
2021-09-14,188.4100,960700,190.8600,191.7500,188.2100,-0.0121,-0.0197,-0.0555,-0.0258,-0.0461,30.4017,0.0132,-0.0125,-0.0052,0.0785,-0.0123,0.7673,hold
2021-09-15,188.8600,1599100,188.4700,190.6000,188.4200,0.0024,-0.0131,-0.0571,-0.0177,-0.0427,27.5153,0.0130,-0.0133,-0.0048,0.1487,0.6645,1.3024,sell
2021-09-16,187.1000,1548200,188.8500,189.5400,185.4400,-0.0093,-0.0053,-0.0509,-0.0217,-0.0505,28.8906,0.0127,-0.0146,-0.0048,0.1041,-0.0318,1.2393,buy
2021-09-17,188.3000,2214200,186.2400,188.5400,184.7800,0.0064,-0.0014,-0.0548,-0.0098,-0.0435,27.6021,0.0121,-0.0148,-0.0041,0.1954,0.4302,1.6994,sell
2021-09-20,185.6700,1874400,186.8900,188.8900,185.0700,-0.0140,-0.0265,-0.0625,-0.0172,-0.0556,25.4442,0.0124,-0.0162,-0.0042,0.1188,-0.1535,1.3906,hold
2021-09-21,185.8000,913500,186.1700,187.4900,185.1100,0.0007,-0.0139,-0.0333,-0.0132,-0.0538,23.6258,0.0095,-0.0168,-0.0039,0.1652,-0.5126,0.6831,sell
2021-09-22,184.2700,1376000,186.1200,186.4400,182.6000,-0.0082,-0.0243,-0.0371,-0.0176,-0.0602,25.1064,0.0096,-0.0180,-0.0040,0.1412,0.5063,1.0102,buy
2021-09-23,185.0900,1076300,184.6200,186.5000,184.5000,0.0044,-0.0107,-0.0159,-0.0117,-0.0548,21.2688,0.0087,-0.0181,-0.0033,0.2038,-0.2178,0.7936,sell
