date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,39.5329,15944100,39.7734,39.8536,39.5256,-0.0039,-0.0192,-0.0068,-0.0115,-0.0237,30.1536,0.0056,-0.0049,-0.0011,0.0515,-0.1783,1.1748,buy
2021-09-13,39.8172,20749000,39.6568,40.0796,39.6568,0.0072,-0.0146,-0.0027,-0.0041,-0.0163,38.7005,0.0060,-0.0049,-0.0009,0.2650,0.3014,1.4622,sell
2021-09-14,39.6641,16937500,39.8390,39.9265,39.5693,-0.0038,-0.0075,-0.0066,-0.0073,-0.0196,41.0179,0.0061,-0.0051,-0.0009,0.1820,-0.1837,1.1771,buy
2021-09-15,39.7807,15330000,39.5912,39.8463,39.5912,0.0029,-0.0062,-0.0078,-0.0036,-0.0163,44.7366,0.0060,-0.0050,-0.0007,0.2707,-0.0949,1.0527,sell
2021-09-16,39.6787,14431400,39.8172,39.9411,39.6203,-0.0026,-0.0002,-0.0093,-0.0052,-0.0183,47.3683,0.0061,-0.0051,-0.0006,0.2087,-0.0586,0.9932,sell
2021-09-17,39.5693,30787600,39.4673,39.7005,39.4089,-0.0028,0.0009,-0.0183,-0.0061,-0.0205,42.3676,0.0055,-0.0054,-0.0006,0.1491,1.1334,1.9947,hold
2021-09-20,39.5547,20440500,39.4089,39.7880,39.3725,-0.0004,-0.0066,-0.0211,-0.0043,-0.0202,42.1051,0.0053,-0.0055,-0.0006,0.1611,-0.3361,1.2836,sell
2021-09-21,39.3871,16906900,39.5766,39.8318,39.3725,-0.0042,-0.0070,-0.0144,-0.0071,-0.0236,34.9846,0.0044,-0.0059,-0.0008,0.0508,-0.1729,1.0454,hold
2021-09-22,39.4089,15907900,39.4673,39.6495,39.3798,0.0006,-0.0093,-0.0155,-0.0050,-0.0223,36.2499,0.0044,-0.0061,-0.0008,0.1215,-0.0591,0.9824,buy
2021-09-23,39.6714,14714100,39.5110,39.8099,39.3725,0.0067,-0.0002,-0.0004,0.0016,-0.0152,36.4486,0.0043,-0.0056,-0.0003,0.3722,-0.0750,0.9085,hold
