date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,216.9513,6715400,221.7165,221.8997,216.8645,-0.0113,0.0033,-0.0243,-0.0136,-0.0513,38.6485,0.0116,-0.0137,-0.0011,0.0898,0.1473,0.8763,hold
2021-09-13,216.6812,6808100,217.5493,219.1602,215.5044,-0.0012,-0.0021,-0.0346,-0.0114,-0.0516,31.6481,0.0109,-0.0140,-0.0011,0.1207,0.0138,0.8806,sell
2021-09-14,215.1378,6575700,217.0381,217.8194,214.4143,-0.0071,-0.0143,-0.0355,-0.0149,-0.0572,29.5513,0.0109,-0.0148,-0.0015,0.0635,-0.0341,0.8561,buy
2021-09-15,215.8902,6535800,214.6459,216.8838,213.5269,0.0035,-0.0230,-0.0231,-0.0091,-0.0526,33.4591,0.0109,-0.0149,-0.0012,0.1531,-0.0061,0.8526,hold
2021-09-16,216.3918,5928500,215.9384,217.2310,214.8677,0.0023,-0.0139,-0.0252,-0.0042,-0.0492,37.6151,0.0108,-0.0146,-0.0008,0.2194,-0.0929,0.7687,sell
2021-09-17,213.9031,13787400,214.5783,215.7841,211.5398,-0.0115,-0.0140,-0.0108,-0.0146,-0.0590,28.4646,0.0079,-0.0153,-0.0010,0.1026,1.3256,1.6993,sell
2021-09-20,212.2633,8822600,209.2826,212.6973,208.6556,-0.0077,-0.0204,-0.0225,-0.0200,-0.0647,28.1981,0.0080,-0.0162,-0.0015,0.0636,-0.3601,1.0657,hold
2021-09-21,212.3790,7033600,212.9385,214.3082,211.2311,0.0005,-0.0128,-0.0270,-0.0168,-0.0628,31.1045,0.0076,-0.0167,-0.0016,0.1111,-0.2028,0.8461,buy
2021-09-22,214.8676,6005900,213.5654,216.1699,213.2760,0.0117,-0.0047,-0.0277,-0.0024,-0.0503,35.3710,0.0074,-0.0157,-0.0006,0.2818,-0.1461,0.7185,buy
2021-09-23,220.2310,7952700,217.0381,220.6072,216.4208,0.0250,0.0177,0.0036,0.0221,-0.0252,58.3233,0.0113,-0.0126,0.0017,0.6583,0.3241,0.9364,buy
