date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,267.5300,1225500,271.3200,271.9200,267.1100,-0.0091,-0.0140,0.0842,-0.0166,0.1020,78.1462,0.0311,0.0368,0.0037,0.6722,-0.0326,0.6976,hold
2021-09-13,267.7500,1222900,268.0700,268.7900,262.1900,0.0008,-0.0360,-0.0057,-0.0152,0.1000,75.3072,0.0109,0.0347,0.0013,0.6566,-0.0021,0.6868,buy
2021-09-14,269.7800,1163500,268.7600,271.7400,267.9900,0.0076,-0.0167,-0.0059,-0.0071,0.1055,74.7165,0.0109,0.0331,-0.0001,0.6658,-0.0486,0.6530,hold
2021-09-15,269.8500,1065000,269.9700,271.5800,267.1400,0.0003,-0.0086,-0.0121,-0.0057,0.1030,74.5960,0.0106,0.0316,-0.0013,0.6480,-0.0847,0.5974,buy
2021-09-16,271.0700,986600,268.4900,271.4900,267.7300,0.0045,0.0040,-0.0084,-0.0003,0.1050,74.8925,0.0108,0.0303,-0.0019,0.6490,-0.0736,0.5638,sell
2021-09-17,268.5100,2041000,271.8900,272.5500,266.3500,-0.0094,0.0037,-0.0104,-0.0087,0.0918,48.6665,0.0109,0.0286,-0.0032,0.5843,1.0687,1.1425,sell
2021-09-20,267.1900,2206000,266.7100,267.4700,262.5800,-0.0049,-0.0021,-0.0380,-0.0098,0.0840,42.5623,0.0067,0.0264,-0.0044,0.5324,0.0808,1.2128,buy
2021-09-21,270.1800,1797600,268.5000,272.4100,266.7500,0.0112,0.0015,-0.0153,0.0029,0.0932,44.9146,0.0075,0.0249,-0.0044,0.5804,-0.1851,0.9846,hold
2021-09-22,270.7100,2622500,271.6400,274.9800,269.3700,0.0020,0.0032,-0.0055,0.0054,0.0920,45.5098,0.0072,0.0238,-0.0044,0.5725,0.4589,1.3847,sell
2021-09-23,270.0700,1923100,272.2500,273.9800,264.5500,-0.0024,-0.0037,0.0003,0.0030,0.0861,47.7845,0.0068,0.0226,-0.0046,0.5194,-0.2667,0.9910,sell
2021-09-24,268.4300,1108000,269.1500,270.2200,265.9000,-0.0061,-0.0003,0.0034,-0.0034,0.0760,30.1323,0.0063,0.0209,-0.0051,0.2795,-0.4238,0.6008,sell
2021-09-27,263.7800,1107700,265.6700,266.8800,262.2100,-0.0173,-0.0128,-0.0148,-0.0192,0.0543,28.5714,0.0084,0.0183,-0.0066,-0.0557,-0.0003,0.7244,sell
2021-09-28,252.3700,2121300,258.9700,259.3700,252.0100,-0.0433,-0.0659,-0.0645,-0.0556,0.0066,20.7953,0.0151,0.0127,-0.0106,-0.3538,0.9150,1.3776,sell
2021-09-29,249.5100,1679800,254.8500,257.6100,246.9400,-0.0113,-0.0783,-0.0754,-0.0591,-0.0063,20.3987,0.0149,0.0068,-0.0134,-0.2089,-0.2081,1.1050,hold
2021-09-30,249.8900,1041500,250.3300,253.6100,249.0200,0.0015,-0.0747,-0.0781,-0.0501,-0.0058,22.8782,0.0147,0.0021,-0.0145,-0.0613,-0.3800,0.7027,buy
2021-10-01,254.5500,1813700,250.0000,256.0000,247.4200,0.0186,-0.0517,-0.0520,-0.0272,0.0114,32.1429,0.0169,-0.0001,-0.0131,0.1378,0.7414,1.1878,sell
2021-10-04,249.6800,1593500,253.8200,254.0200,246.4500,-0.0191,-0.0535,-0.0655,-0.0394,-0.0086,24.7487,0.0175,-0.0034,-0.0133,0.0492,-0.1214,1.0364,buy
2021-10-05,252.0500,757600,250.4800,253.1500,249.2200,0.0095,-0.0013,-0.0671,-0.0235,-0.0003,28.8599,0.0173,-0.0052,-0.0120,0.1588,-0.5246,0.5094,buy
2021-10-06,256.3300,1572600,249.3600,256.5500,248.3100,0.0170,0.0273,-0.0531,-0.0013,0.0146,33.6802,0.0187,-0.0051,-0.0094,0.3047,1.0758,1.0375,buy
2021-10-07,257.8600,781100,258.3500,262.2000,257.5800,0.0060,0.0319,-0.0452,0.0095,0.0188,37.9334,0.0191,-0.0045,-0.0070,0.3661,-0.5033,0.5237,sell
2021-10-08,255.9000,941100,258.1000,259.4700,254.5000,-0.0076,0.0053,-0.0467,0.0067,0.0094,37.3911,0.0191,-0.0046,-0.0058,0.3256,0.2048,0.6370,sell
2021-10-11,253.6700,900000,254.8500,258.9300,252.5900,-0.0087,0.0160,-0.0383,0.0019,-0.0009,31.2429,0.0186,-0.0054,-0.0053,0.2819,-0.0437,0.6159,buy
2021-10-12,257.1900,1164400,255.4700,260.4800,254.5600,0.0139,0.0204,0.0191,0.0139,0.0111,35.6170,0.0131,-0.0048,-0.0037,0.4017,0.2938,0.7969,buy
2021-10-13,266.6000,2510400,262.7200,273.5500,262.6100,0.0366,0.0401,0.0685,0.0440,0.0455,46.8890,0.0161,-0.0013,-0.0002,0.6952,1.1560,1.6371,buy
