date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,39.4720,23367400,40.0686,40.2912,39.3473,-0.0007,-0.0054,-0.0962,-0.0213,-0.0384,37.0711,0.0272,-0.0183,-0.0113,0.2212,0.1816,0.9061,buy
2021-09-13,40.7453,28027200,39.6768,40.7898,39.6768,0.0323,0.0360,-0.0813,0.0194,-0.0076,42.9871,0.0294,-0.0159,-0.0072,0.3938,0.1994,1.0617,hold
2021-09-14,41.0035,36053200,40.9768,41.7960,40.7453,0.0063,0.0393,-0.0488,0.0313,-0.0018,40.9269,0.0288,-0.0136,-0.0040,0.4438,0.2864,1.3319,buy
2021-09-15,41.5288,31535600,40.8432,41.7514,40.8254,0.0128,0.0644,0.0206,0.0423,0.0095,39.3058,0.0227,-0.0106,-0.0009,0.5276,-0.1253,1.1343,sell
2021-09-16,41.2083,24102400,41.7604,42.0898,40.9679,-0.0077,0.0433,0.0651,0.0278,0.0004,38.9288,0.0146,-0.0089,0.0007,0.4935,-0.2357,0.8550,hold
2021-09-17,41.3775,34912100,40.7275,41.5734,40.7275,0.0041,0.0483,0.0426,0.0277,0.0026,36.0134,0.0129,-0.0071,0.0020,0.5223,0.4485,1.2070,sell
2021-09-20,40.7898,30603100,40.0953,40.8432,39.9261,-0.0142,0.0011,0.0371,0.0094,-0.0125,38.3929,0.0136,-0.0068,0.0019,0.4489,-0.1234,1.0309,hold
2021-09-21,40.8254,23049100,40.9412,41.2795,40.7186,0.0009,-0.0043,0.0348,0.0069,-0.0124,50.8792,0.0136,-0.0064,0.0019,0.4647,-0.2468,0.7667,buy
2021-09-22,41.9206,29430700,41.3953,42.4638,41.3775,0.0268,0.0094,0.0744,0.0265,0.0123,74.1678,0.0144,-0.0038,0.0034,0.6353,0.2769,0.9562,buy
2021-09-23,42.5617,21852800,42.2590,42.8912,41.9919,0.0153,0.0328,0.0775,0.0345,0.0264,72.7146,0.0145,-0.0006,0.0052,0.7553,-0.2575,0.7095,hold
2021-09-24,42.6686,20384700,42.5439,43.2473,42.4994,0.0025,0.0312,0.0810,0.0291,0.0276,77.4524,0.0144,0.0021,0.0063,0.7946,-0.0672,0.6631,sell
2021-09-27,42.3480,48927500,43.0782,43.5768,41.1015,-0.0075,0.0382,0.0393,0.0174,0.0184,73.0496,0.0122,0.0036,0.0063,0.7946,1.4002,1.5128,sell
2021-09-28,40.8877,49349100,41.8583,41.8761,40.1309,-0.0345,0.0015,-0.0028,-0.0174,-0.0180,62.8048,0.0172,0.0021,0.0038,0.5422,0.0086,1.4511,buy
2021-09-29,41.8761,21730200,41.3597,41.9830,40.8967,0.0242,-0.0011,0.0084,0.0055,0.0047,65.2223,0.0184,0.0026,0.0035,0.7301,-0.5597,0.6916,sell
2021-09-30,41.3241,22947500,41.9741,41.9830,41.0658,-0.0132,-0.0291,0.0028,-0.0080,-0.0089,61.1110,0.0188,0.0020,0.0023,0.5986,0.0560,0.8104,buy
2021-10-01,41.8672,18021700,41.4487,42.1254,41.3953,0.0131,-0.0188,0.0118,0.0038,0.0032,57.3770,0.0192,0.0025,0.0022,0.6969,-0.2147,0.6592,hold
2021-10-04,41.8672,22315200,41.8672,42.4638,41.5556,0.0000,-0.0114,0.0264,0.0013,0.0021,55.8788,0.0184,0.0028,0.0021,0.6773,0.2382,0.8154,buy
