date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,45.7911,15775200,46.2023,46.2148,45.6467,-0.0036,-0.0180,-0.0099,-0.0109,0.0083,27.1382,0.0066,0.0032,-0.0040,0.0691,-0.2935,0.6724,sell
2021-09-13,45.5306,19529400,45.9888,46.1866,45.3987,-0.0057,-0.0281,-0.0100,-0.0155,0.0017,27.5229,0.0066,0.0016,-0.0045,0.0244,0.2380,0.8262,sell
2021-09-14,45.2920,16533900,45.6624,45.7880,45.1728,-0.0052,-0.0202,-0.0230,-0.0184,-0.0042,29.4643,0.0059,-0.0001,-0.0049,-0.0005,-0.1534,0.7490,hold
2021-09-15,45.3705,14850000,45.2198,45.4333,45.1319,0.0017,-0.0197,-0.0240,-0.0143,-0.0032,30.6406,0.0058,-0.0013,-0.0049,0.0844,-0.1018,0.7326,buy
2021-09-16,45.5211,18428400,45.3360,45.6090,45.1006,0.0033,-0.0095,-0.0186,-0.0092,-0.0007,38.6938,0.0060,-0.0019,-0.0044,0.1835,0.2410,0.9317,sell
2021-09-17,45.4270,73032600,45.2418,45.8758,45.2041,-0.0021,-0.0080,-0.0258,-0.0087,-0.0035,40.8015,0.0055,-0.0026,-0.0041,0.1796,2.9630,3.2749,sell
2021-09-20,44.8024,25054500,45.0409,45.5714,44.4509,-0.0137,-0.0160,-0.0436,-0.0179,-0.0176,26.4706,0.0059,-0.0042,-0.0046,-0.0167,-0.6569,1.1094,buy
2021-09-21,44.8903,17437500,44.7898,45.3799,44.7804,0.0020,-0.0089,-0.0289,-0.0131,-0.0162,25.6233,0.0053,-0.0052,-0.0045,0.0621,-0.3040,0.7700,sell
2021-09-22,44.7867,15044400,45.0315,45.0723,44.6611,-0.0023,-0.0129,-0.0323,-0.0121,-0.0188,25.5987,0.0051,-0.0062,-0.0044,0.0780,-0.1372,0.6699,hold
2021-09-23,44.8118,15585300,44.9531,45.0817,44.7114,0.0006,-0.0156,-0.0249,-0.0091,-0.0185,20.2463,0.0050,-0.0068,-0.0040,0.1294,0.0360,0.7039,buy
2021-09-24,44.9374,13360500,44.7271,45.1006,44.7239,0.0028,-0.0108,-0.0186,-0.0044,-0.0160,17.7963,0.0053,-0.0070,-0.0033,0.2097,-0.1427,0.6175,sell
2021-09-27,44.6486,21250800,44.8432,45.0566,44.5199,-0.0064,-0.0034,-0.0194,-0.0089,-0.0225,20.0473,0.0053,-0.0076,-0.0032,0.1466,0.5906,0.9864,sell
2021-09-28,44.0993,20580900,44.5324,44.5921,43.9392,-0.0123,-0.0176,-0.0263,-0.0185,-0.0345,14.9896,0.0062,-0.0091,-0.0036,0.0313,-0.0315,0.9462,hold
2021-09-29,44.0805,21375600,44.1464,44.5168,44.0428,-0.0004,-0.0158,-0.0284,-0.0161,-0.0348,16.6292,0.0061,-0.0101,-0.0037,0.0814,0.0386,0.9912,sell
2021-09-30,43.7478,22457700,44.1433,44.4854,43.7070,-0.0075,-0.0237,-0.0390,-0.0196,-0.0419,15.7005,0.0058,-0.0114,-0.0040,0.0458,0.0506,1.0332,sell
2021-10-01,43.0164,30014400,43.7101,43.8262,42.6618,-0.0167,-0.0427,-0.0531,-0.0308,-0.0574,13.5575,0.0070,-0.0139,-0.0051,-0.0639,0.3365,1.3499,sell
2021-10-04,42.6021,29970300,43.0290,43.3868,42.2820,-0.0096,-0.0458,-0.0491,-0.0353,-0.0657,12.9001,0.0066,-0.0164,-0.0060,-0.0787,-0.0015,1.3103,buy
2021-10-05,42.8815,20597400,42.6712,43.2236,42.6555,0.0066,-0.0276,-0.0447,-0.0246,-0.0589,17.4735,0.0072,-0.0175,-0.0057,0.0542,-0.3127,0.9099,buy
2021-10-06,43.1953,19376700,42.7622,43.2487,42.7277,0.0073,-0.0201,-0.0355,-0.0139,-0.0514,20.8498,0.0082,-0.0175,-0.0046,0.1627,-0.0593,0.8563,buy
2021-10-07,43.7038,21068100,43.5594,44.1621,43.5532,0.0118,-0.0010,-0.0247,0.0003,-0.0399,30.4348,0.0095,-0.0162,-0.0028,0.3081,0.0873,0.9336,buy
2021-10-08,43.8357,13847400,43.8357,43.9706,43.6316,0.0030,0.0190,-0.0245,0.0058,-0.0368,37.6404,0.0095,-0.0150,-0.0013,0.3604,-0.3427,0.6163,hold
2021-10-11,43.7948,13048200,43.7917,44.1872,43.7666,-0.0009,0.0280,-0.0191,0.0069,-0.0373,35.8247,0.0094,-0.0139,-0.0002,0.3678,-0.0577,0.5892,hold
2021-10-12,43.7478,15789300,43.7352,44.0711,43.6505,-0.0011,0.0202,-0.0080,0.0066,-0.0381,36.3564,0.0086,-0.0130,0.0006,0.3725,0.2101,0.7142,sell
2021-10-13,43.4308,17937900,43.7854,43.9455,43.3554,-0.0072,0.0054,-0.0147,0.0008,-0.0444,33.1546,0.0089,-0.0128,0.0007,0.3029,0.1361,0.8057,buy
