date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,45.5948,15123700,46.6169,46.6506,45.5695,-0.0020,-0.0200,-0.0133,-0.0111,-0.0461,56.8736,0.0131,-0.0132,0.0009,0.3158,-0.2086,0.8157,buy
2021-09-13,46.7689,22052300,46.1607,47.2419,46.1354,0.0257,0.0091,-0.0072,0.0151,-0.0191,52.7912,0.0143,-0.0108,0.0024,0.7003,0.4581,1.1831,sell
2021-09-14,46.1016,19940300,47.0392,47.1068,45.9580,-0.0143,0.0005,-0.0105,0.0017,-0.0305,45.4545,0.0146,-0.0103,0.0025,0.4993,-0.0958,1.0613,buy
2021-09-15,47.6558,23240900,46.7689,47.7487,46.7182,0.0337,0.0438,0.0348,0.0319,0.0036,54.6511,0.0176,-0.0067,0.0045,0.9897,0.1655,1.2144,sell
2021-09-16,47.1490,17907200,47.6896,47.6896,46.8787,-0.0106,0.0320,0.0381,0.0171,-0.0057,55.4573,0.0173,-0.0050,0.0051,0.7949,-0.2295,0.9455,sell
2021-09-17,46.5915,30000400,46.7436,47.9345,46.5408,-0.0118,0.0219,0.0015,0.0049,-0.0161,46.8782,0.0163,-0.0046,0.0045,0.6022,0.6753,1.5879,sell
2021-09-20,45.3499,27555100,45.4259,45.7553,44.7333,-0.0266,-0.0303,-0.0215,-0.0197,-0.0400,43.0856,0.0184,-0.0064,0.0023,0.0983,-0.0815,1.4186,hold
2021-09-21,45.3076,19696800,45.9242,46.0425,44.9782,-0.0009,-0.0172,-0.0167,-0.0190,-0.0386,45.6175,0.0184,-0.0078,0.0008,0.1280,-0.2852,1.0191,buy
2021-09-22,46.6337,25690600,45.9749,47.2250,45.9242,0.0293,-0.0214,0.0215,0.0076,-0.0088,56.6298,0.0205,-0.0062,0.0017,0.6336,0.3043,1.3030,buy
2021-09-23,48.2133,23069400,46.8111,48.3484,46.6929,0.0339,0.0226,0.0553,0.0360,0.0253,58.7566,0.0228,-0.0023,0.0042,1.0986,-0.1020,1.1417,buy
2021-09-24,48.6440,22328600,47.8923,48.8383,47.8754,0.0089,0.0441,0.0669,0.0385,0.0347,61.6042,0.0226,0.0013,0.0062,1.0837,-0.0321,1.0771,buy
2021-09-27,50.0884,32972200,49.7083,50.5108,49.6830,0.0297,0.1045,0.0710,0.0618,0.0643,68.1160,0.0230,0.0063,0.0089,1.2057,0.4767,1.5273,buy
2021-09-28,50.6121,37619300,50.5952,51.0851,50.2658,0.0105,0.1171,0.0978,0.0627,0.0734,72.1845,0.0217,0.0109,0.0107,1.1241,0.1409,1.6525,hold
2021-09-29,50.5783,23422800,50.5445,50.8402,49.8772,-0.0007,0.0846,0.0613,0.0555,0.0708,71.8821,0.0202,0.0143,0.0114,1.0128,-0.3774,1.0373,sell
2021-09-30,49.6830,31289600,50.7810,50.8233,49.6745,-0.0177,0.0305,0.0537,0.0314,0.0511,67.0662,0.0209,0.0157,0.0102,0.8416,0.3359,1.3567,buy
2021-10-01,51.4652,24407300,50.1813,51.5159,50.1813,0.0359,0.0580,0.1046,0.0577,0.0870,68.6578,0.0220,0.0187,0.0106,0.9961,-0.2200,1.0557,buy
2021-10-04,52.1325,33946700,51.7946,52.4281,51.4821,0.0130,0.0408,0.1496,0.0567,0.0990,73.9597,0.0177,0.0219,0.0112,0.9875,0.3908,1.4072,hold
2021-10-05,52.0480,29641600,52.8082,52.9603,51.5412,-0.0016,0.0284,0.1488,0.0408,0.0956,69.7568,0.0178,0.0243,0.0109,0.9159,-0.1268,1.1910,sell
2021-10-06,51.0936,25284900,51.0767,51.6257,50.4685,-0.0183,0.0102,0.0956,0.0126,0.0742,67.0562,0.0196,0.0249,0.0089,0.7847,-0.1470,1.0028,hold
2021-10-07,51.2372,19513600,51.1949,51.5919,50.7979,0.0028,0.0313,0.0627,0.0094,0.0759,70.8333,0.0176,0.0248,0.0072,0.7714,-0.2283,0.7733,buy
2021-10-08,52.5210,22186900,51.7355,52.7238,51.7355,0.0251,0.0205,0.0797,0.0269,0.1013,82.0376,0.0186,0.0259,0.0069,0.8641,0.1370,0.8671,sell
2021-10-11,51.9974,22121500,53.2390,53.2643,51.9467,-0.0100,-0.0026,0.0381,0.0129,0.0884,78.6541,0.0176,0.0264,0.0058,0.7797,-0.0029,0.8644,hold
2021-10-12,51.7271,20198600,52.0058,52.3521,51.3976,-0.0052,-0.0062,0.0220,0.0054,0.0810,73.9856,0.0177,0.0260,0.0042,0.7290,-0.0869,0.7889,hold
2021-10-13,51.5835,14991700,51.3385,51.8538,50.8571,-0.0028,0.0096,0.0199,0.0007,0.0766,68.3532,0.0177,0.0252,0.0027,0.6935,-0.2578,0.5951,buy
2021-10-14,52.3690,18594500,52.1240,52.5548,51.6679,0.0152,0.0221,0.0541,0.0106,0.0907,69.5305,0.0167,0.0250,0.0022,0.7496,0.2403,0.7371,buy
2021-10-15,52.8673,16092600,52.9856,53.2728,52.7406,0.0095,0.0066,0.0272,0.0175,0.0987,66.1749,0.0130,0.0254,0.0023,0.7759,-0.1346,0.6560,hold
2021-10-18,52.8420,18282800,53.2897,53.3319,52.5971,-0.0005,0.0162,0.0136,0.0156,0.0960,63.7787,0.0125,0.0255,0.0019,0.7611,0.1361,0.7596,buy
2021-10-19,53.6360,18933200,53.1039,53.7289,52.9349,0.0150,0.0369,0.0305,0.0278,0.1097,67.2710,0.0132,0.0262,0.0023,0.8643,0.0356,0.7879,buy
2021-10-20,53.9316,14305200,53.1207,53.9485,52.9772,0.0055,0.0455,0.0555,0.0278,0.1133,75.7421,0.0108,0.0270,0.0026,0.9099,-0.2444,0.6098,sell
2021-10-21,52.9518,16564600,53.6107,53.7542,52.6646,-0.0182,0.0111,0.0335,0.0059,0.0911,59.9773,0.0132,0.0264,0.0013,0.7353,0.1579,0.7160,buy
2021-10-22,53.3150,14266800,53.0194,53.3995,52.6646,0.0069,0.0085,0.0151,0.0112,0.0963,58.2742,0.0109,0.0257,0.0006,0.7966,-0.1387,0.6276,buy
2021-10-25,54.3540,17939800,53.8218,54.4131,53.7036,0.0195,0.0286,0.0453,0.0264,0.1148,64.2337,0.0114,0.0260,0.0011,0.9603,0.2575,0.8162,buy
2021-10-26,55.6125,25585100,54.4722,55.6970,54.3624,0.0232,0.0369,0.0751,0.0425,0.1367,76.8845,0.0122,0.0275,0.0026,1.0864,0.4262,1.1968,sell
2021-10-27,54.1681,21764500,55.0381,55.1141,54.0414,-0.0260,0.0044,0.0501,0.0105,0.1039,65.1001,0.0160,0.0275,0.0015,0.7936,-0.1493,1.0220,hold
2021-10-28,54.3202,16626400,53.9063,54.4553,53.7458,0.0028,0.0258,0.0373,0.0097,0.1032,60.4927,0.0156,0.0268,0.0007,0.8087,-0.2361,0.8086,hold
2021-10-29,54.4553,23966300,54.9452,55.2071,54.3371,0.0025,0.0214,0.0300,0.0092,0.1015,65.0154,0.0154,0.0261,0.0000,0.8033,0.4415,1.1668,buy
2021-11-01,55.4351,19656400,54.9621,55.8152,54.9199,0.0180,0.0199,0.0491,0.0224,0.1164,70.8453,0.0161,0.0263,0.0005,0.9331,-0.1798,0.9915,sell
2021-11-02,54.7509,16300000,54.9283,55.2831,54.6158,-0.0123,-0.0155,0.0208,0.0078,0.0989,66.7861,0.0165,0.0258,-0.0002,0.7751,-0.1708,0.8508,sell
2021-11-03,53.9992,17372800,54.0921,54.4384,53.7711,-0.0137,-0.0031,0.0013,-0.0062,0.0807,58.6703,0.0171,0.0241,-0.0018,0.6177,0.0658,0.9259,buy
2021-11-04,54.4046,17720100,54.6327,54.8101,53.9147,0.0075,0.0016,0.0274,-0.0014,0.0855,58.2577,0.0160,0.0227,-0.0024,0.6793,0.0200,0.9489,buy
2021-11-05,54.9199,18565100,54.9452,55.1817,54.5313,0.0095,0.0085,0.0301,0.0051,0.0920,60.6034,0.0161,0.0220,-0.0023,0.7611,0.0477,1.0039,buy
2021-11-08,55.5111,17696000,55.3675,56.0686,55.2240,0.0108,0.0014,0.0213,0.0138,0.1001,59.7711,0.0153,0.0220,-0.0017,0.8495,-0.0468,0.9685,buy
2021-11-09,56.0517,18781300,55.5534,56.0602,55.1648,0.0097,0.0238,0.0079,0.0228,0.1067,60.7726,0.0138,0.0224,-0.0008,0.9234,0.0613,1.0319,sell
2021-11-10,54.9475,20177200,55.9148,56.1972,54.5879,-0.0197,0.0176,0.0144,0.0012,0.0811,60.0135,0.0125,0.0216,-0.0017,0.6723,0.0743,1.0931,hold
2021-11-11,55.0502,13319300,54.9475,55.4953,54.8019,0.0019,0.0119,0.0134,0.0018,0.0790,58.9402,0.0125,0.0204,-0.0022,0.6798,-0.3399,0.7320,sell
2021-11-12,54.6307,18158900,54.7506,55.1015,54.4253,-0.0076,-0.0053,0.0032,-0.0062,0.0674,51.5233,0.0128,0.0188,-0.0032,0.5479,0.3634,0.9923,buy
2021-11-15,55.1016,18849200,54.5794,55.4440,54.1171,0.0086,-0.0074,-0.0060,0.0030,0.0729,46.9209,0.0116,0.0178,-0.0032,0.6660,0.0380,1.0285,buy
2021-11-16,55.6579,17028700,55.0759,55.9576,55.0759,0.0101,-0.0070,0.0166,0.0115,0.0797,60.0540,0.0113,0.0175,-0.0026,0.8092,-0.0966,0.9340,sell
2021-11-17,55.0502,15497000,55.1101,55.8463,54.9389,-0.0109,0.0019,0.0195,-0.0015,0.0641,54.6411,0.0109,0.0166,-0.0030,0.6018,-0.0899,0.8472,sell
2021-11-18,54.4510,16948200,54.9218,55.2385,54.0230,-0.0109,-0.0109,0.0009,-0.0124,0.0489,49.9741,0.0114,0.0148,-0.0040,0.3638,0.0936,0.9256,sell
2021-11-19,51.9343,32035500,52.9786,53.0985,51.7117,-0.0462,-0.0494,-0.0544,-0.0530,-0.0020,32.2577,0.0180,0.0098,-0.0079,-0.3125,0.8902,1.6686,buy
