date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,301.5000,6094900,296.9100,306.2630,296.8100,0.0191,0.0217,-0.1149,-0.0124,-0.1494,32.4045,0.0562,-0.0612,-0.0063,0.2703,0.8193,1.0414,sell
2021-09-13,290.2400,4916100,300.1600,300.2750,289.8200,-0.0373,-0.0270,-0.1484,-0.0333,-0.1767,26.2069,0.0566,-0.0642,-0.0057,0.1857,-0.1934,0.8178,sell
2021-09-14,281.4400,6036800,290.3380,291.8800,280.9200,-0.0303,-0.0617,-0.1901,-0.0415,-0.1967,24.4415,0.0555,-0.0685,-0.0065,0.1371,0.2280,0.9748,hold
2021-09-15,279.1200,4647400,282.3300,283.0700,277.0200,-0.0082,-0.0493,-0.0359,-0.0461,-0.1978,24.4820,0.0198,-0.0707,-0.0065,0.1533,-0.2302,0.7347,hold
2021-09-16,278.2200,4676300,277.6800,279.2900,273.5000,-0.0032,-0.0596,-0.0435,-0.0450,-0.1950,22.3531,0.0196,-0.0717,-0.0059,0.1801,0.0062,0.7245,buy
2021-09-17,287.6800,5423400,279.7900,287.7800,278.3700,0.0340,-0.0458,-0.0251,-0.0100,-0.1629,28.2521,0.0224,-0.0665,-0.0022,0.2953,0.1598,0.8215,sell
2021-09-20,280.6700,3905300,278.6500,285.0000,276.9100,-0.0244,-0.0330,-0.0591,-0.0282,-0.1783,22.7158,0.0229,-0.0670,-0.0010,0.2515,-0.2799,0.5847,sell
2021-09-21,278.2400,4168300,281.0270,281.1700,275.0650,-0.0087,-0.0114,-0.0724,-0.0294,-0.1806,41.5844,0.0225,-0.0667,-0.0001,0.2509,0.0673,0.6147,hold
2021-09-22,277.9500,2973700,276.2000,279.3900,275.2500,-0.0010,-0.0042,-0.0533,-0.0251,-0.1765,40.1945,0.0220,-0.0654,0.0011,0.2691,-0.2866,0.4347,hold
2021-09-23,276.1900,2867900,279.9100,280.3590,275.4500,-0.0063,-0.0073,-0.0665,-0.0245,-0.1776,35.0852,0.0216,-0.0645,0.0019,0.2700,-0.0356,0.4167,sell
2021-09-24,272.3600,4051700,274.6400,275.9000,267.1910,-0.0139,-0.0533,-0.0967,-0.0280,-0.1849,29.7390,0.0196,-0.0647,0.0021,0.2402,0.4128,0.5922,hold
2021-09-27,272.8800,3084100,269.4900,275.2400,266.1100,0.0019,-0.0278,-0.0598,-0.0201,-0.1790,28.4532,0.0173,-0.0631,0.0028,0.2504,-0.2388,0.4508,sell
2021-09-28,261.8900,5212900,269.4900,270.6150,259.8000,-0.0403,-0.0588,-0.0695,-0.0529,-0.2077,26.5007,0.0191,-0.0672,0.0012,-0.0410,0.6902,0.7901,sell
2021-09-29,257.4100,4316300,262.3200,266.8600,256.8800,-0.0171,-0.0739,-0.0778,-0.0617,-0.2166,22.4136,0.0193,-0.0701,-0.0004,-0.0296,-0.1720,0.8490,buy
2021-09-30,261.5000,4733100,257.3870,264.8790,255.2500,0.0159,-0.0532,-0.0601,-0.0410,-0.1997,20.6487,0.0207,-0.0683,0.0002,0.1087,0.0966,1.0355,buy
2021-10-01,267.5100,8664800,268.7710,274.5700,262.7000,0.0230,-0.0178,-0.0701,-0.0116,-0.1765,31.9288,0.0186,-0.0637,0.0026,0.2497,0.8307,1.8547,sell
2021-10-04,259.5800,5004600,264.2400,264.5730,253.4100,-0.0296,-0.0487,-0.0751,-0.0334,-0.1960,32.3767,0.0192,-0.0649,0.0028,0.1384,-0.4224,1.0843,sell
2021-10-05,257.1200,3712100,259.8400,262.7400,256.8500,-0.0095,-0.0182,-0.0759,-0.0350,-0.1979,32.3037,0.0192,-0.0649,0.0028,0.1280,-0.2583,0.8090,sell
