date,close,volume,open,high,low,return_1d,return_5d,return_10d,price_vs_ma10,price_vs_ma50,rsi_14,volatility_10d,macd_norm,macd_hist_norm,bb_position,volume_change,volume_vs_avg20,label
2021-09-10,270.6400,4536200,289.0300,289.0300,269.5200,-0.0342,-0.0410,0.0137,-0.0303,0.1028,69.8624,0.0186,0.0401,-0.0005,0.5908,0.4561,2.7106,sell
2021-09-13,267.8400,2936100,267.6000,269.5500,260.1200,-0.0103,-0.0681,-0.0215,-0.0383,0.0866,64.3326,0.0169,0.0357,-0.0042,0.5321,-0.3527,1.6525,buy
2021-09-14,275.8000,2291100,269.9400,276.0000,269.0700,0.0297,-0.0251,-0.0085,-0.0089,0.1134,64.8065,0.0190,0.0330,-0.0046,0.6396,-0.2197,1.2433,sell
2021-09-15,273.4400,1429300,275.8700,278.0300,270.1600,-0.0086,-0.0257,-0.0176,-0.0156,0.0995,59.0506,0.0191,0.0308,-0.0057,0.5803,-0.3762,0.7678,hold
2021-09-16,274.3900,2276200,273.2500,274.6400,266.7100,0.0035,-0.0208,-0.0084,-0.0114,0.0992,56.8049,0.0191,0.0288,-0.0061,0.5768,0.5925,1.1780,hold
2021-09-17,275.6600,4428500,273.3300,276.5100,269.6700,0.0046,0.0185,-0.0232,-0.0045,0.1001,51.9682,0.0178,0.0272,-0.0060,0.5818,0.9456,2.1105,sell
2021-09-20,269.9800,1911700,268.0030,275.0000,267.2800,-0.0206,0.0080,-0.0606,-0.0188,0.0738,41.8540,0.0171,0.0245,-0.0075,0.4047,-0.5683,0.8946,buy
2021-09-21,272.3300,1227800,272.2300,275.7400,269.4800,0.0087,-0.0126,-0.0374,-0.0064,0.0793,44.2707,0.0173,0.0223,-0.0076,0.4262,-0.3577,0.5735,buy
2021-09-22,277.7000,1717300,273.9600,279.1700,271.1500,0.0197,0.0156,-0.0105,0.0142,0.0962,50.8810,0.0187,0.0215,-0.0062,0.5965,0.3987,0.8012,buy
2021-09-23,280.0200,1699800,279.9400,281.9000,276.3600,0.0084,0.0205,-0.0007,0.0228,0.1005,47.9441,0.0189,0.0215,-0.0048,0.6790,-0.0102,0.7885,hold
2021-09-24,279.9900,1126200,280.0000,280.4000,271.3000,-0.0001,0.0157,0.0345,0.0192,0.0952,42.2570,0.0147,0.0214,-0.0039,0.6594,-0.3375,0.5297,sell
2021-09-27,272.7300,1630600,277.7000,279.5730,271.2100,-0.0259,0.0102,0.0183,-0.0090,0.0625,39.9486,0.0169,0.0196,-0.0052,0.2884,0.4479,0.7612,sell
2021-09-28,258.7400,3149000,267.9900,268.0000,256.0100,-0.0513,-0.0499,-0.0619,-0.0540,0.0052,32.4246,0.0211,0.0140,-0.0096,-0.1781,0.9312,1.4157,hold
2021-09-29,258.8800,2244000,263.4100,265.4200,256.8000,0.0005,-0.0678,-0.0532,-0.0484,0.0034,32.8070,0.0211,0.0088,-0.0119,-0.0461,-0.2874,0.9943,buy
2021-09-30,262.2200,1355300,260.4100,263.5200,258.3000,0.0129,-0.0636,-0.0444,-0.0318,0.0139,42.4579,0.0218,0.0055,-0.0119,0.1189,-0.3960,0.6023,hold
2021-10-01,263.1600,1135300,263.1700,264.8500,257.0970,0.0036,-0.0601,-0.0453,-0.0238,0.0154,45.6635,0.0217,0.0032,-0.0113,0.1844,-0.1623,0.5097,sell
2021-10-04,251.8600,2245600,261.3500,261.3500,248.3300,-0.0429,-0.0765,-0.0671,-0.0594,-0.0292,29.1099,0.0245,-0.0021,-0.0138,-0.0701,0.9780,0.9979,buy
2021-10-05,258.5000,1506500,253.4500,260.0000,252.5000,0.0264,-0.0009,-0.0508,-0.0296,-0.0054,37.8694,0.0263,-0.0041,-0.0124,0.1594,-0.3291,0.6768,buy
2021-10-06,264.2500,1900600,256.2800,265.6150,255.1050,0.0222,0.0207,-0.0484,-0.0030,0.0143,42.3621,0.0266,-0.0038,-0.0096,0.3452,0.2616,0.8666,buy
2021-10-07,269.8800,1706700,266.0200,274.2400,265.5800,0.0213,0.0292,-0.0362,0.0222,0.0332,45.9146,0.0276,-0.0019,-0.0060,0.5308,-0.1020,0.8040,sell
2021-10-08,266.6600,1230200,272.3000,272.3000,266.0000,-0.0119,0.0133,-0.0476,0.0151,0.0186,47.5688,0.0277,-0.0014,-0.0045,0.4359,-0.2792,0.6285,hold
2021-10-11,267.7000,1224400,263.6000,271.1700,262.0200,0.0039,0.0629,-0.0184,0.0210,0.0201,46.5432,0.0267,-0.0007,-0.0030,0.4688,-0.0047,0.6541,buy
2021-10-12,277.7200,1889200,270.0800,278.3400,266.7650,0.0374,0.0744,0.0734,0.0516,0.0552,50.0140,0.0228,0.0028,0.0005,0.7770,0.5430,1.0202,buy
2021-10-13,286.6400,1960900,279.7800,287.9700,279.3200,0.0321,0.0847,0.1072,0.0741,0.0855,54.2317,0.0239,0.0078,0.0044,0.9800,0.0380,1.0440,buy
2021-10-14,293.8900,1544100,290.0000,294.4400,288.6600,0.0253,0.0890,0.1208,0.0884,0.1091,58.1344,0.0244,0.0133,0.0080,1.0611,-0.2126,0.8384,hold
2021-10-15,292.7000,1433200,294.5000,294.9900,291.6100,-0.0040,0.0977,0.1123,0.0722,0.1008,62.5803,0.0248,0.0174,0.0097,0.9640,-0.0718,0.8471,buy
2021-10-18,301.3100,1766300,292.5100,301.3300,291.6000,0.0294,0.1256,0.1963,0.0841,0.1282,78.7674,0.0165,0.0221,0.0117,1.0334,0.2324,1.0485,sell
2021-10-19,298.0300,1587600,301.5000,303.6100,297.4100,-0.0109,0.0731,0.1529,0.0573,0.1115,75.3792,0.0185,0.0253,0.0118,0.9127,-0.1012,0.9324,hold
2021-10-20,297.6700,789000,300.2080,301.7700,294.4000,-0.0012,0.0385,0.1265,0.0437,0.1054,73.9043,0.0189,0.0273,0.0110,0.8660,-0.5030,0.4764,buy
